time,ax,ay,az,aT,label
0.008,0.3219,-0.0064,-0.0889,0.33399999999999996,0
0.008,0.2923,0.0239,-0.0399,0.29600000000000004,0
0.018,0.2257,0.0496,-0.1077,0.255,0
0.027,0.2124,0.0018,-0.0887,0.23,0
0.038,0.0804,-0.0083,0.0186,0.083,0
0.093,-0.0263,-0.0276,0.0567,0.068,0
0.093,0.0228,-0.0179,0.0264,0.039,0
0.094,0.0524,-0.0383,0.0548,0.085,0
0.094,0.0309,-0.0097,-0.0242,0.04,0
0.094,0.01,0.0275,-0.0348,0.045,0
0.105,-0.0288,0.0345,-0.0552,0.071,0
0.108,-0.0386,0.0233,-0.0169,0.048,0
0.118,-0.0836,0.0409,0.0407,0.102,0
0.133,-0.1025,0.0391,0.0202,0.11199999999999999,0
0.139,-0.1069,0.0282,0.0189,0.11199999999999999,0
0.188,-0.0767,-0.0014,0.0082,0.077,0
0.189,-0.0648,0.0267,-0.0319,0.077,0
0.189,-0.0268,0.0362,-0.0032,0.045,0
0.189,0.0002,0.0443,0.0158,0.047,0
0.19,-0.0121,0.0252,0.0053,0.027999999999999997,0
0.204,-0.0143,0.0248,0.0342,0.045,0
0.207,-0.0364,0.0058,-0.0154,0.04,0
0.218,-0.0276,-0.0312,-0.0162,0.045,0
0.236,-0.0299,0.0083,0.0028,0.031,0
0.237,-0.0119,-0.0193,-0.0273,0.035,0
0.249,0.006,-0.0279,0.0504,0.057999999999999996,0
0.257,-0.0339,-0.0259,0.0203,0.047,0
0.305,-0.0065,-0.0538,0.0,0.054000000000000006,0
0.306,0.0572,-0.0231,0.0388,0.073,0
0.307,0.055,-0.0014,0.048,0.073,0
0.308,0.0218,-0.0481,0.0279,0.06,0
0.308,0.0198,-0.0362,-0.0315,0.052000000000000005,0
0.318,0.0256,-0.0439,-0.0222,0.055,0
0.337,0.0125,-0.0139,-0.003,0.019,0
0.338,0.0374,-0.0225,0.0357,0.055999999999999994,0
0.349,0.0338,0.0361,-0.0039,0.05,0
0.358,0.0673,0.0627,0.0351,0.098,0
0.397,0.0741,0.1115,0.0346,0.138,0
0.398,0.0315,0.0788,-0.0343,0.092,0
0.399,0.0222,0.0609,0.0041,0.065,0
0.399,0.0212,0.0495,0.0035,0.054000000000000006,0
0.408,0.0525,0.0034,0.0615,0.081,0
0.418,0.0699,-0.0248,0.0904,0.11699999999999999,0
0.427,0.1294,-0.0142,0.0505,0.14,0
0.438,0.1637,-0.0435,0.0208,0.171,0
0.449,0.1759,-0.0438,0.02,0.182,0
0.46,0.1756,-0.0452,-0.0197,0.182,0
0.492,0.1295,-0.0361,-0.0008,0.134,0
0.494,0.0658,-0.0466,0.0277,0.085,0
0.495,0.0262,-0.0181,0.1149,0.11900000000000001,0
0.497,0.0156,-0.001,0.163,0.16399999999999998,0
0.507,0.1038,0.0266,0.162,0.19399999999999998,0
0.518,0.1179,0.078,0.1713,0.222,0
0.536,0.1671,-0.024,0.2783,0.325,0
0.537,0.1161,-0.067,0.2776,0.308,0
0.549,0.0528,-0.1231,0.1295,0.18600000000000003,0
0.557,0.0507,-0.1465,0.1873,0.243,0
0.61,0.0225,-0.098,0.2747,0.293,0
0.611,-0.0151,-0.0305,0.2739,0.276,0
0.611,0.082,-0.0643,0.4107,0.424,0
0.611,0.1159,-0.0218,0.7244,0.7340000000000001,0
0.611,-0.0026,-0.0114,0.6655,0.6659999999999999,0
0.618,-0.0081,-0.0778,0.4594,0.466,0
0.629,-0.0065,-0.1762,0.5372,0.565,0
0.638,-0.1352,-0.2626,0.5666,0.639,0
0.653,-0.1516,-0.2164,0.5871,0.644,0
0.658,-0.0087,-0.1758,0.6078,0.633,0
0.668,0.2491,-0.1545,0.4821,0.564,0
0.73,0.29,-0.2061,0.4643,0.585,0
0.73,0.3035,-0.2302,0.3592,0.524,1
0.731,0.1711,-0.2386,0.2639,0.395,1
0.731,0.0828,-0.2102,0.2779,0.358,1
0.732,-0.0044,-0.1859,0.4395,0.47700000000000004,1
0.732,-0.1336,-0.1836,0.5343,0.581,1
0.738,-0.2609,-0.166,0.5908,0.667,1
0.748,-0.2905,-0.1116,0.5902,0.667,1
0.757,-0.2917,-0.1117,0.3847,0.496,1
0.77,-0.3135,-0.0892,0.2,0.382,1
0.778,-0.3504,0.0198,0.0764,0.359,1
0.787,-0.4546,0.077,0.0126,0.461,1
0.831,-0.5122,0.1294,0.0316,0.529,1
0.832,-0.5823,0.2041,0.1488,0.635,1
0.832,-0.6055,0.2041,0.203,0.67,1
0.833,-0.7079,0.1985,0.2169,0.767,1
0.838,-0.8664,0.2334,0.16,0.9109999999999999,1
0.847,-0.96,0.1734,0.1688,0.99,1
0.857,-0.9605,0.2246,0.2256,1.012,1
0.868,-0.9381,0.251,0.2482,1.002,1
0.915,-0.9582,0.316,0.3095,1.055,1
0.916,-0.9882,0.4259,0.3642,1.136,1
0.918,-1.0047,0.4935,0.399,1.188,1
0.918,-0.9321,0.6004,0.3665,1.168,1
0.919,-0.8044,0.5997,0.285,1.043,1
0.928,-0.6947,0.6116,0.0977,0.9309999999999999,1
0.937,-0.6099,0.585,0.1067,0.852,1
0.948,-0.5932,0.6122,0.0501,0.8540000000000001,1
0.957,-0.4868,0.631,0.0621,0.799,1
1.0,-0.3656,0.706,0.0278,0.7959999999999999,1
1.001,-0.3011,0.7676,-0.0068,0.825,1
1.002,-0.2358,0.7838,-0.0202,0.8190000000000001,1
1.002,-0.2686,0.7521,0.0722,0.802,1
1.008,-0.2279,0.7926,0.0882,0.8290000000000001,1
1.018,-0.2142,0.7006,0.1873,0.7559999999999999,1
1.032,-0.1964,0.7058,0.1609,0.75,1
1.043,-0.1673,0.6581,0.1389,0.693,1
1.088,-0.0512,0.5585,0.1593,0.583,1
1.088,0.0403,0.3735,0.0717,0.382,1
1.089,0.1949,0.2761,-0.0184,0.33799999999999997,1
1.089,0.3554,0.0985,-0.1333,0.392,1
1.089,0.4013,-0.0442,-0.0311,0.405,1
1.101,0.3847,-0.1405,-0.0261,0.41,1
1.108,0.4017,-0.1742,-0.0343,0.439,1
1.118,0.4427,-0.2484,-0.0819,0.514,1
1.133,0.6057,-0.323,-0.0822,0.691,1
1.137,0.699,-0.3875,-0.2122,0.8270000000000001,1
1.149,0.876,-0.4629,-0.3207,1.041,1
1.158,0.9878,-0.5653,-0.4141,1.2109999999999999,1
1.21,1.1364,-0.6402,-0.4427,1.3769999999999998,1
1.211,1.2044,-0.6811,-0.449,1.455,1
1.212,1.3995,-0.7747,-0.5332,1.686,1
1.212,1.5615,-0.8749,-0.6957,1.92,1
1.213,1.8172,-0.8812,-0.7547,2.156,1
1.218,1.8991,-0.8794,-0.9224,2.287,1
1.228,2.0303,-0.8453,-0.9767,2.406,1
1.238,1.9563,-0.7977,-1.0491,2.359,1
1.248,1.9222,-0.8601,-1.0013,2.332,1
1.257,1.8457,-0.8742,-0.9332,2.245,1
1.305,1.8443,-0.798,-0.8904,2.198,1
1.306,1.7798,-0.8096,-0.7891,2.109,1
1.306,1.8747,-0.8483,-0.7438,2.188,1
1.307,1.9298,-0.8658,-0.7411,2.241,1
1.308,2.1309,-0.7839,-0.8012,2.408,1
1.318,2.1929,-0.7266,-0.9036,2.481,1
1.332,2.1756,-0.5296,-0.9056,2.415,1
1.338,2.0214,-0.4092,-0.7775,2.204,1
1.38,1.9684,-0.2222,-0.7109,2.105,1
1.381,1.7613,-0.2553,-0.4937,1.847,1
1.381,1.6293,-0.3926,-0.379,1.7180000000000002,1
1.382,1.4992,-0.5166,-0.3329,1.62,1
1.388,1.4568,-0.5437,-0.2073,1.569,1
1.398,1.4281,-0.4186,-0.1517,1.496,1
1.407,1.4265,-0.352,-0.0858,1.472,1
1.419,1.2967,-0.3376,-0.061,1.341,1
1.468,1.2457,-0.3239,-0.0464,1.288,1
1.469,1.145,-0.3227,-0.1192,1.196,1
1.47,1.046,-0.2536,-0.0574,1.078,1
1.47,0.9471,-0.1902,0.0551,0.968,1
1.47,0.7884,-0.1272,0.1264,0.809,1
1.482,0.6139,-0.1568,0.0666,0.637,1
1.488,0.4186,-0.1732,0.0784,0.46,1
1.498,0.2905,-0.1686,0.0498,0.34,1
1.507,0.2358,-0.183,0.1864,0.35200000000000004,1
1.518,0.3054,-0.2679,0.4325,0.593,1
1.565,0.3304,-0.3219,0.4492,0.644,1
1.567,0.2959,-0.3191,0.3602,0.565,1
1.568,0.1044,-0.1559,0.3418,0.39,1
1.569,-0.1152,0.0749,0.6154,0.631,1
1.569,-0.2067,0.2613,1.1398,1.187,1
1.578,-0.1407,0.3377,1.3618,1.41,1
1.588,-0.1841,0.3743,1.2551,1.3230000000000002,1
1.598,-0.296,0.2818,0.9295,1.015,1
1.607,-0.2588,-0.072,0.4933,0.562,1
1.618,-0.073,-0.4777,0.6259,0.7909999999999999,1
1.665,0.3456,-0.8659,0.7658,1.207,1
1.667,0.7775,-1.0629,0.7206,1.501,1
1.667,1.1226,-0.9461,0.6067,1.589,1
1.667,1.1949,-0.6981,0.3079,1.4180000000000001,1
1.668,1.2286,-0.5171,-0.0356,1.3330000000000002,1
1.679,1.1506,-0.4012,-0.2815,1.251,1
1.687,1.0754,-0.4342,-0.4274,1.236,1
1.698,0.943,-0.3438,-0.2708,1.04,1
1.707,0.9849,-0.3148,-0.1138,1.04,1
1.718,1.0374,-0.3308,-0.2412,1.115,1
1.765,0.9603,-0.3106,-0.3363,1.064,1
1.766,0.6244,-0.3055,-0.5269,0.872,1
1.767,0.3857,-0.2163,-0.4674,0.643,1
1.768,-0.1097,-0.2198,-0.1197,0.273,1
1.769,-0.2545,-0.3319,0.0769,0.425,1
1.778,-0.2107,-0.3304,0.0182,0.392,1
1.788,-0.1976,-0.2885,-0.1828,0.395,1
1.798,-0.1695,-0.1758,-0.5047,0.561,1
1.808,-0.1843,-0.066,-0.5187,0.5539999999999999,1
1.818,-0.2398,0.0288,-0.3393,0.41600000000000004,1
1.831,-0.2534,0.0245,-0.1541,0.298,1
1.837,-0.2905,-0.0401,-0.0267,0.294,1
1.878,-0.2515,-0.1543,-0.0871,0.308,1
