time,ax,ay,az,aT
0.0080,0.2311,0.0458,-0.1414,0.275
0.0080,-0.0992,-0.0050,-0.1308,0.164
0.0140,0.1475,-0.0809,-0.0124,0.169
0.0230,0.1562,-0.0221,0.0072,0.158
0.0790,0.0550,0.0345,0.0469,0.080
0.0800,0.0944,0.0240,-0.0118,0.098
0.0810,0.1861,0.0122,-0.0502,0.193
0.0810,0.1875,0.0501,-0.1287,0.233
0.0810,0.1455,0.1041,-0.1379,0.226
0.0870,0.1291,0.0742,-0.1186,0.190
0.0930,0.0629,0.0248,-0.0306,0.074
0.1040,0.0001,-0.0521,0.0470,0.070
0.1130,-0.0493,-0.0763,0.0653,0.112
0.1240,-0.0522,-0.0560,0.0743,0.107
0.1690,-0.0713,-0.0430,0.0240,0.087
0.1690,-0.0351,0.0157,-0.0158,0.042
0.1690,0.0207,0.0815,-0.0458,0.096
0.1700,0.0750,0.1315,-0.0758,0.169
0.1730,0.1435,0.1085,-0.1050,0.208
0.1830,0.1400,0.0137,-0.0862,0.165
0.1930,0.0374,-0.0589,-0.0381,0.079
0.2050,-0.0055,-0.0957,-0.0095,0.096
0.2130,-0.0350,-0.1159,-0.0110,0.122
0.2230,-0.1063,-0.1327,0.0174,0.171
0.2550,-0.1504,-0.1035,0.0448,0.188
0.2560,-0.2310,-0.0908,0.1125,0.273
0.2560,-0.2245,-0.0349,0.1596,0.278
0.2670,-0.1986,-0.0122,0.2275,0.302
0.2780,-0.1584,0.0013,0.2164,0.268
0.2880,-0.0784,0.0120,0.1280,0.151
0.2930,-0.0462,-0.0058,0.0295,0.055
0.3050,-0.0262,-0.0051,-0.0293,0.040
0.3580,0.0503,0.0143,0.0100,0.053
0.3590,0.0900,-0.0143,0.0099,0.092
0.3590,0.1455,-0.0041,-0.0093,0.146
0.3590,0.1483,0.0357,-0.0586,0.163
0.3600,0.1374,0.0630,-0.1368,0.204
0.3700,0.1136,0.0244,-0.0491,0.126
0.3730,0.0509,0.0157,-0.0105,0.054
0.3870,0.0585,-0.0033,0.0181,0.061
0.3930,0.0179,-0.0295,0.0759,0.083
0.4030,-0.0532,-0.0113,0.1342,0.145
0.4230,-0.0899,-0.0373,0.0643,0.117
0.4230,-0.1613,-0.0476,0.0735,0.184
0.4710,-0.1956,-0.0721,0.0915,0.228
0.4730,-0.2210,-0.0732,0.0912,0.250
0.4730,-0.1725,-0.0790,0.0510,0.196
0.4740,-0.1335,-0.1006,0.0511,0.175
0.4750,-0.0540,-0.0690,0.0215,0.090
0.4890,-0.0567,-0.1099,-0.0075,0.124
0.4930,-0.0381,-0.0591,-0.0173,0.072
0.5420,-0.0602,0.0092,0.0122,0.062
0.5430,-0.0802,0.0372,0.0418,0.098
0.5440,-0.0648,0.0657,0.0814,0.123
0.5440,-0.0668,0.0919,0.0915,0.146
0.5440,-0.0231,0.0620,0.0332,0.074
0.5550,0.0191,0.0403,0.0045,0.045
0.5650,0.1497,-0.0586,0.0247,0.163
0.5730,0.2051,-0.0398,0.0456,0.214
0.5840,0.2502,-0.0407,-0.0226,0.254
0.5930,0.2301,0.0611,-0.1292,0.271
0.6050,0.2635,0.0807,-0.1099,0.297
0.6140,0.2135,0.0467,-0.0605,0.227
0.6230,0.1570,0.0082,0.0265,0.159
0.6650,0.0413,-0.0501,0.0745,0.099
0.6660,-0.0310,-0.0292,0.0534,0.068
0.6670,-0.0262,-0.0012,-0.0261,0.037
0.6670,-0.0208,-0.0005,-0.0275,0.034
0.6730,-0.0258,-0.0016,0.1576,0.160
0.6830,0.0170,-0.0620,0.1860,0.197
0.6930,0.0305,-0.1568,0.2534,0.300
0.7050,0.0340,-0.1816,0.1742,0.254
0.7140,0.0581,-0.1707,0.1338,0.225
0.7230,0.1827,-0.2269,0.4664,0.550
0.7520,0.3007,-0.1814,0.3187,0.474
0.7530,0.3118,-0.1228,0.3374,0.476
0.7530,0.3526,-0.0088,0.3766,0.516
0.7640,0.3413,0.0655,0.4050,0.534
0.7730,0.2954,-0.0032,0.4145,0.509
0.7830,0.2759,-0.1432,0.3939,0.502
0.7930,0.2668,-0.2767,0.3043,0.490
0.8050,0.3023,-0.4706,0.5582,0.790
0.8140,0.2964,-0.3512,0.3902,0.603
0.8230,0.3452,-0.2047,0.3110,0.508
0.8600,0.3772,-0.0606,0.2525,0.458
0.8610,0.2650,-0.1412,0.4782,0.565
0.8610,0.1688,-0.0799,0.5090,0.542
0.8630,0.0280,-0.0882,0.8153,0.821
0.8730,-0.0338,-0.1112,0.9955,1.002
0.8830,0.0088,-0.1434,0.9523,0.963
0.8930,0.0423,-0.0914,0.8619,0.868
0.9040,0.0392,-0.0459,0.7544,0.757
0.9360,-0.1299,0.0148,0.6005,0.615
0.9370,-0.2870,0.0211,0.5477,0.619
0.9370,-0.3343,-0.0414,0.5176,0.618
0.9430,-0.4398,-0.0777,0.5780,0.730
0.9530,-0.5690,-0.0176,0.4856,0.748
0.9630,-0.6754,0.0762,0.4833,0.834
0.9730,-0.7733,0.1273,0.5258,0.944
0.9830,-0.8612,0.1804,0.5289,1.027
0.9920,-0.8915,0.2740,0.5294,1.072
1.0040,-0.8961,0.3849,0.4392,1.070
1.0350,-0.7912,0.5141,0.2993,0.990
1.0350,-0.7234,0.5618,0.2143,0.941
1.0360,-0.6340,0.6130,0.1698,0.898
1.0430,-0.6307,0.6757,0.0826,0.928
1.0530,-0.5687,0.7189,0.0473,0.918
1.0640,-0.5392,0.7715,0.0269,0.942
1.0730,-0.5608,0.7450,0.0595,0.934
1.0830,-0.6142,0.7280,0.0673,0.955
1.0930,-0.6608,0.5975,0.0397,0.892
1.1040,-0.7003,0.5475,0.0346,0.890
1.1420,-0.7243,0.4513,0.0702,0.856
1.1430,-0.7679,0.3111,0.1271,0.838
1.1440,-0.6530,0.1444,0.1022,0.677
1.1440,-0.4900,0.0700,0.0810,0.502
1.1550,-0.3198,0.0729,-0.0490,0.332
1.1630,-0.1988,0.0993,-0.0967,0.242
1.1730,-0.0394,0.0840,-0.1289,0.159
1.1830,0.0903,0.0720,-0.1253,0.170
1.1930,0.2565,-0.0105,-0.2810,0.381
1.2040,0.3705,-0.0510,-0.4670,0.598
1.2380,0.4525,-0.1432,-0.4883,0.681
1.2390,0.5603,-0.1721,-0.6349,0.864
1.2390,0.5504,-0.2720,-0.7137,0.941
1.2430,0.6467,-0.3471,-0.7703,1.064
1.2530,0.6718,-0.3569,-0.8188,1.118
1.2630,0.7065,-0.3213,-0.8843,1.177
1.2730,0.6684,-0.3276,-0.8055,1.097
1.2830,0.6881,-0.4234,-0.6971,1.067
1.2930,0.7501,-0.5063,-0.6456,1.112
1.3040,0.8416,-0.5307,-0.6472,1.187
1.3130,0.9480,-0.5052,-0.5811,1.221
1.3230,1.0051,-0.4576,-0.5846,1.250
1.3720,1.0061,-0.4118,-0.5493,1.218
1.3730,1.0999,-0.4876,-0.5150,1.309
1.3740,1.1643,-0.6227,-0.6112,1.455
1.3740,1.2296,-0.6865,-0.6048,1.533
