time,ax,ay,az,aT
0.0090,0.0977,0.1669,-0.0853,0.211
0.0100,0.3043,-0.0184,-0.0566,0.310
0.0110,0.2753,-0.0281,0.0201,0.277
0.0170,0.2790,-0.0175,0.0196,0.280
0.0280,0.3238,0.0098,-0.0501,0.328
0.0370,0.3259,0.0301,-0.0009,0.327
0.0470,0.2716,0.0360,-0.0110,0.274
0.0570,0.1436,-0.0033,0.0485,0.152
0.0670,-0.0011,-0.0711,-0.0093,0.072
0.0860,-0.0653,0.0161,0.0311,0.074
0.0870,-0.0876,0.0048,-0.0066,0.088
0.0970,-0.0739,0.0516,-0.0348,0.097
0.1070,-0.0871,0.0953,-0.0626,0.143
0.1170,-0.1023,0.0751,-0.0319,0.131
0.1280,-0.1616,0.0714,0.0189,0.178
0.1370,-0.1461,0.0812,0.0694,0.181
0.1470,-0.1653,0.0587,0.0321,0.178
0.1570,-0.1787,0.0008,-0.0153,0.179
0.1670,-0.2172,0.0572,-0.0034,0.225
0.1860,-0.1558,0.0488,0.0075,0.163
0.1870,-0.0946,0.0278,-0.0107,0.099
0.1970,-0.0674,0.0180,-0.0295,0.076
0.2070,-0.0216,0.0359,-0.0288,0.051
0.2170,0.0432,0.0556,-0.0870,0.112
0.2280,0.0669,0.0815,-0.0669,0.125
0.2370,0.0549,0.0908,-0.0366,0.112
0.2470,0.0336,0.0402,0.0132,0.054
0.2570,-0.0232,0.0122,0.0046,0.027
0.2670,-0.0300,0.0218,-0.0429,0.057
0.2860,-0.0378,0.0425,0.0171,0.059
0.2870,-0.0262,0.0512,-0.0011,0.058
0.3140,-0.0259,-0.0171,0.0588,0.066
0.3150,-0.0244,-0.0537,0.0599,0.084
0.3200,-0.0246,-0.0146,0.0905,0.095
0.3280,-0.0050,-0.0234,0.0131,0.027
0.3370,0.0346,-0.0049,0.0143,0.038
0.3470,-0.0219,-0.0433,0.0059,0.049
0.3570,-0.0094,-0.0145,0.0271,0.032
0.3670,0.0325,-0.0539,0.0384,0.074
0.3850,0.0370,-0.0573,0.0304,0.075
0.3860,0.0584,0.0264,0.1987,0.209
0.3970,0.0446,-0.0354,0.1124,0.126
0.4070,0.1732,0.0081,-0.0428,0.179
0.4170,0.2232,0.0333,0.0579,0.233
0.4270,0.1884,0.0633,0.0600,0.208
0.4370,0.2203,0.0151,0.1122,0.248
0.4470,0.1632,-0.0023,0.1643,0.232
0.4570,0.1527,-0.0621,0.1980,0.258
0.4670,0.1135,-0.0037,0.0750,0.136
0.4880,0.1997,0.0440,0.0905,0.224
0.4890,0.2778,0.0781,0.1443,0.323
0.4970,0.2978,0.1438,0.1213,0.352
0.5070,0.2623,0.1371,0.0976,0.312
0.5210,0.2211,0.0580,0.1349,0.265
0.5290,0.1203,-0.0504,0.2017,0.240
0.5370,-0.0280,-0.1694,0.3001,0.346
0.5470,-0.0369,-0.1970,0.3992,0.447
0.5570,0.0665,-0.2720,0.4311,0.514
0.5670,0.1627,-0.1888,0.3150,0.402
0.5880,0.1875,-0.1740,0.3189,0.409
0.5890,0.0559,-0.1840,0.3328,0.384
0.5970,-0.1433,-0.2231,0.3796,0.463
0.6070,-0.3370,-0.1624,0.3322,0.500
0.6210,-0.5126,-0.0124,0.3449,0.618
0.6270,-0.6028,0.0441,0.4121,0.732
0.6370,-0.8121,0.0592,0.5663,0.992
0.6470,-1.0067,0.0772,0.5718,1.160
0.6570,-1.1034,0.1004,0.5741,1.248
0.6680,-1.0945,0.1287,0.4822,1.203
0.6880,-1.0898,0.1886,0.4176,1.182
0.6880,-1.0416,0.1469,0.4157,1.131
0.6970,-1.1632,0.0963,0.3987,1.233
0.7070,-1.2938,0.0595,0.2870,1.327
0.7170,-1.4542,-0.0423,0.2565,1.477
0.7270,-1.4829,-0.1883,0.2439,1.515
0.7370,-1.5034,-0.2346,0.2055,1.535
0.7470,-1.5363,-0.1134,0.0325,1.541
0.7570,-1.5759,-0.0675,-0.0506,1.578
0.7670,-1.5979,0.0261,-0.1081,1.602
0.7860,-1.7189,0.0990,0.0194,1.722
0.7870,-1.7989,0.1585,0.0065,1.806
0.7970,-1.9404,0.0919,0.0046,1.943
0.8070,-1.9509,-0.1045,-0.0445,1.954
0.8170,-1.8772,-0.2646,0.0566,1.897
0.8270,-1.7683,-0.2438,0.1672,1.793
0.8370,-1.5442,-0.0326,-0.0636,1.546
0.8470,-1.1305,0.2207,-0.2768,1.185
0.8570,-0.7217,0.3539,-0.4710,0.932
0.8670,-0.4822,0.4639,-0.6095,0.905
0.8820,-0.2573,0.4892,-0.7464,0.929
0.8870,-0.0371,0.5613,-0.7223,0.916
0.9040,0.0839,0.6177,-0.6246,0.882
0.9070,0.1091,0.7351,-0.4908,0.891
0.9170,0.1134,0.9215,-0.3597,0.996
0.9280,0.0414,0.9619,-0.2749,1.001
0.9370,0.0334,1.0364,-0.1992,1.056
0.9470,0.0648,0.9591,-0.0809,0.965
0.9570,0.1485,0.8053,-0.0130,0.819
0.9670,0.1423,0.6376,-0.0473,0.655
0.9810,0.2832,0.3938,0.0060,0.485
0.9870,0.4567,0.2435,0.0261,0.518
1.0040,0.7254,0.0572,0.0549,0.730
1.0070,0.8749,-0.0435,-0.1014,0.882
1.0170,1.0241,-0.1306,-0.2121,1.054
1.0280,1.1673,-0.3832,-0.2297,1.250
1.0370,1.3499,-0.5660,-0.2819,1.491
1.0470,1.4332,-0.8293,-0.2590,1.676
1.0570,1.5448,-1.0694,-0.1816,1.888
1.0670,1.4662,-1.2083,0.0943,1.902
1.0820,1.1051,-0.7830,0.4024,1.413
1.0870,0.8319,-0.0883,0.4094,0.931
1.1010,1.1500,-0.1824,0.2954,1.201
1.1070,1.6031,-0.7864,-0.2979,1.810
1.1170,2.1998,-1.4151,-0.6324,2.691
1.1270,2.3870,-1.7502,-0.8952,3.092
1.1370,2.3560,-1.6000,-0.8806,2.981
1.1470,2.2037,-1.4131,-0.9203,2.775
1.1570,2.1802,-1.3202,-0.8639,2.691
1.1670,2.0046,-1.2683,-0.7844,2.498
1.1810,1.8327,-1.0857,-0.5897,2.210
1.1870,1.4894,-0.8879,-0.3331,1.766
1.2040,1.1676,-0.6697,0.1260,1.352
1.2070,0.8200,-0.3966,0.5534,1.066
1.2170,0.6210,-0.1713,0.8474,1.064
1.2270,0.5522,-0.1527,0.9482,1.108
1.2370,0.7518,-0.4413,0.8958,1.250
1.2470,0.9186,-0.6722,0.6565,1.314
1.2570,1.1372,-0.7071,0.4230,1.404
1.2670,1.2814,-0.6732,0.2655,1.472
1.2820,1.3104,-0.4716,0.2804,1.421
1.2870,1.2598,-0.3988,0.3366,1.364
1.3040,1.2719,-0.5066,0.3842,1.422
1.3070,1.0477,-0.5631,0.2494,1.215
1.3170,0.8156,-0.5613,0.2922,1.032
1.3270,0.5772,-0.5428,0.2735,0.838
1.3370,0.3870,-0.4709,0.3955,0.727
1.3480,0.2593,-0.3989,0.6093,0.773
1.3570,0.3032,-0.4562,0.6094,0.819
1.3670,0.3388,-0.5498,0.6378,0.908
1.3840,0.3692,-0.5577,0.6789,0.953
1.3870,0.4005,-0.5057,0.4947,0.813
1.4110,0.5180,-0.4045,0.4105,0.775
1.4120,0.6314,-0.3766,0.3399,0.810
1.4170,0.7068,-0.3907,0.2713,0.852
1.4270,0.7484,-0.4519,0.1806,0.893
1.4370,0.7708,-0.4261,0.1543,0.894
1.4470,0.7237,-0.3529,0.0141,0.805
1.4570,0.6860,-0.3459,-0.1157,0.777
1.4670,0.5307,-0.2427,-0.0682,0.588
1.4810,0.3656,-0.2040,-0.0181,0.419
1.4870,0.3099,-0.3614,-0.1688,0.505
1.5050,0.2593,-0.3030,-0.1241,0.418
1.5070,0.1825,-0.1956,-0.1418,0.303
1.5190,0.0474,-0.0479,-0.1936,0.205
1.5270,-0.0110,0.0164,-0.2891,0.290
1.5370,0.0414,-0.0918,-0.4263,0.438
1.5470,0.0755,-0.1851,-0.4583,0.500
1.5570,0.1102,-0.1758,-0.5245,0.564
1.5670,0.1255,-0.2105,-0.4958,0.553
1.5810,0.0416,-0.1907,-0.4056,0.450
1.5870,-0.1070,-0.1030,-0.2525,0.293
1.5970,-0.2150,-0.0933,-0.0756,0.246
1.6070,-0.2618,-0.0806,0.0206,0.275
1.6170,-0.1452,-0.1022,0.0755,0.193
1.6270,0.0905,-0.1459,-0.1951,0.260
1.6370,0.1470,-0.0209,-0.6270,0.644
1.6470,0.1344,0.0710,-0.9620,0.974
1.6570,0.2673,0.0531,-0.9202,0.960
1.6670,0.3809,0.0134,-0.6720,0.773
1.6800,0.4965,-0.0221,-0.4445,0.667
1.6870,0.4798,0.0102,-0.4085,0.630
1.6970,0.3837,0.0643,-0.4741,0.613
1.7070,0.3288,-0.0289,-0.5894,0.676
1.7170,0.3916,-0.1298,-0.4696,0.625
1.7270,0.4382,-0.1016,-0.3397,0.564
1.7370,0.4694,-0.0742,-0.4090,0.627
1.7470,0.4664,-0.0373,-0.5128,0.694
1.7570,0.4368,0.0713,-0.5582,0.712
