time,ax,ay,az,aT
0.0090,0.1754,-0.0999,0.0174,0.203
0.0090,0.7284,0.0324,-0.3243,0.798
0.0090,0.5900,0.0501,-0.3629,0.694
0.0580,0.6294,0.0451,-0.0873,0.637
0.0590,0.5574,0.0242,-0.0384,0.559
0.0590,0.3953,0.0408,-0.0283,0.398
0.0590,0.2534,0.0417,-0.0484,0.261
0.0600,0.1286,0.0303,-0.0291,0.135
0.0690,-0.0389,-0.0065,-0.0002,0.039
0.0790,-0.1804,-0.0418,0.0676,0.197
0.0890,-0.2413,-0.0800,0.1456,0.293
0.0990,-0.2738,-0.0841,0.2135,0.357
0.1090,-0.2517,-0.0749,0.1349,0.295
0.1620,-0.1483,0.0042,0.0071,0.149
0.1630,-0.0935,0.0430,-0.0223,0.105
0.1630,-0.0097,0.0333,-0.0420,0.054
0.1630,0.0054,0.0054,-0.0029,0.008
0.1640,-0.0354,0.0167,0.0753,0.085
0.1710,-0.0180,0.0187,0.0653,0.070
0.1790,-0.0679,0.0299,0.0652,0.099
0.1890,-0.0722,0.0127,0.0552,0.092
0.2630,-0.0558,-0.0130,0.0354,0.067
0.2640,-0.0426,-0.0600,0.0549,0.092
0.2640,-0.0756,-0.0921,0.0252,0.122
0.2640,-0.0328,-0.0882,0.0446,0.104
0.2650,-0.0292,-0.0631,0.0444,0.082
0.2650,-0.0273,-0.0014,0.0149,0.031
0.2650,0.0227,-0.0182,0.0148,0.033
0.2730,0.0448,0.0224,0.0343,0.061
0.2790,0.0466,0.0517,0.0245,0.074
0.2890,0.0013,0.0922,0.0636,0.112
0.3690,-0.0133,0.0625,0.0048,0.064
0.3700,0.0108,0.0451,0.0243,0.052
0.3700,0.0333,-0.0015,0.0242,0.041
0.3710,-0.0220,0.0003,-0.0052,0.023
0.3710,0.0106,-0.0351,-0.0053,0.037
0.3710,0.0437,-0.0219,0.0238,0.054
0.3710,0.0168,-0.0282,0.0629,0.071
0.3720,-0.0379,-0.0156,0.1511,0.157
0.3870,0.0056,-0.0140,0.0628,0.065
0.3890,0.0590,0.0349,0.0431,0.081
0.4600,0.0619,0.0150,-0.0156,0.066
0.4600,0.0676,0.0438,-0.0744,0.110
0.4610,0.1199,0.0413,-0.0155,0.128
0.4610,0.1678,-0.0379,0.0236,0.174
0.4610,0.1340,-0.0280,0.0530,0.147
0.4620,0.0960,-0.0192,0.0335,0.103
0.4620,0.0480,-0.0196,0.0433,0.068
0.4700,0.0312,0.0173,0.0924,0.099
0.4920,0.0435,0.0436,0.1220,0.137
0.4920,0.0578,0.0214,0.1222,0.137
0.5000,0.0426,0.0273,0.0734,0.089
0.5090,0.0005,-0.0158,0.0932,0.095
0.5610,-0.0578,-0.0367,0.0347,0.077
0.5620,-0.0709,-0.1098,0.0644,0.146
0.5630,-0.1102,-0.0427,0.0549,0.130
0.5630,-0.0664,0.0026,0.0847,0.108
0.5630,-0.0238,0.0745,0.1636,0.181
0.5690,-0.0413,0.1004,0.1051,0.151
0.5800,0.0597,-0.0401,0.2722,0.282
0.5890,0.1002,-0.1365,0.0964,0.195
0.6050,-0.0002,-0.1018,0.1267,0.163
0.6090,0.0116,-0.0633,0.3338,0.340
0.6190,-0.0608,0.0044,0.3157,0.322
0.6280,-0.0786,0.0802,0.3271,0.346
0.6760,-0.0302,0.0275,0.1816,0.186
0.6780,-0.0058,0.0128,0.0459,0.048
0.6780,0.0838,-0.0301,-0.0310,0.094
0.6790,0.1185,-0.0654,0.0002,0.135
0.6790,0.1499,0.0067,0.1196,0.192
0.7440,0.0987,-0.0101,0.2689,0.287
0.7450,0.1135,-0.0367,0.2710,0.296
0.7470,0.1412,-0.0662,0.2735,0.315
0.7480,0.2055,-0.0932,0.2073,0.306
0.7490,0.2319,-0.0975,0.1422,0.289
0.7500,0.2664,-0.0696,0.1358,0.307
0.7510,0.2183,0.0154,0.0818,0.234
0.7590,0.1477,0.0945,0.0478,0.182
0.7700,0.0754,0.0898,-0.0344,0.122
0.7890,0.0788,0.0145,0.0404,0.090
0.7900,-0.0508,-0.0786,0.1747,0.198
0.8000,-0.2514,0.0421,0.1828,0.314
0.8090,-0.2911,0.1056,0.2397,0.392
0.8610,-0.3108,0.1352,0.3279,0.472
0.8620,-0.3554,0.0694,0.3571,0.509
0.8630,-0.2469,-0.0357,0.2698,0.367
0.8630,-0.2339,-0.1614,0.1430,0.318
