time,ax,ay,az,aT
0.0100,-0.3502,0.0874,-0.1302,0.384
0.0110,0.0649,0.0470,-0.0702,0.107
0.0300,0.3174,-0.0390,-0.1154,0.340
0.0310,0.3286,-0.1064,-0.0746,0.353
0.0390,0.2991,-0.0915,-0.0220,0.314
0.0540,0.2976,-0.0919,-0.0805,0.322
0.0560,0.2201,-0.0233,-0.0986,0.242
0.0730,0.1640,-0.0150,-0.0501,0.172
0.0760,0.0946,0.0122,-0.0696,0.118
0.0890,-0.0180,0.0205,-0.0117,0.030
0.0990,-0.0870,-0.0474,0.0160,0.100
0.1070,-0.1410,0.0000,0.0053,0.141
0.1310,-0.1215,-0.0109,0.0133,0.123
0.1310,-0.0990,0.0170,0.0422,0.109
0.1400,-0.1023,0.0058,0.0116,0.103
0.1510,-0.0521,-0.0049,-0.0278,0.059
0.1570,-0.0306,0.0133,-0.0379,0.050
0.1670,-0.0107,0.0125,-0.0576,0.060
0.1770,-0.0104,0.0019,-0.0087,0.014
0.1870,0.0478,0.0115,0.0011,0.049
0.2140,0.0919,-0.0268,-0.0273,0.100
0.2150,0.1597,-0.0174,-0.0370,0.165
0.2240,0.1707,-0.0358,-0.0943,0.198
0.2270,0.1229,-0.0265,-0.0749,0.146
0.2380,0.0824,0.0115,-0.0158,0.085
0.2540,0.0076,-0.0086,0.0030,0.012
0.2560,0.0018,0.0192,0.0023,0.019
0.2710,-0.0038,0.0380,-0.0180,0.042
0.2770,0.0190,0.0170,-0.0088,0.027
0.2880,0.0625,0.0166,-0.0782,0.101
0.3390,0.0638,0.0154,-0.0294,0.072
0.3410,0.0681,-0.0433,-0.0498,0.095
0.3420,0.0601,-0.0597,-0.0402,0.094
0.3420,0.0157,-0.0393,-0.0410,0.059
0.3430,-0.0176,-0.0272,0.0070,0.033
0.3570,-0.0323,-0.0066,-0.0232,0.040
0.3580,-0.0355,0.0131,-0.0243,0.045
0.3960,-0.0106,0.0236,0.0041,0.026
0.3970,0.0237,0.0419,-0.0064,0.049
0.3980,0.0506,0.0130,0.0020,0.052
0.3980,0.0277,0.0033,-0.0186,0.034
0.4070,0.0264,-0.0454,0.0191,0.056
0.4170,0.0340,-0.0528,0.0375,0.073
0.4270,0.0036,-0.0630,0.0066,0.063
0.4370,0.0023,-0.0326,0.0444,0.055
0.4470,-0.0683,-0.0531,0.0333,0.093
0.4570,-0.0959,-0.0613,0.0021,0.114
0.4670,-0.0899,-0.0332,0.0010,0.096
0.4770,-0.0536,-0.0427,-0.0098,0.069
0.4890,-0.0103,-0.0446,-0.0203,0.050
0.5300,0.0315,-0.0256,0.0576,0.070
0.5320,0.0449,-0.0279,0.0864,0.101
0.5320,0.0281,-0.0013,0.1055,0.109
0.5330,0.0503,-0.0241,0.1148,0.128
0.5410,0.0788,-0.0269,0.1247,0.150
0.5560,0.0997,-0.0510,0.1538,0.190
0.5570,0.1360,-0.1015,0.2523,0.304
0.5720,0.1465,-0.1182,0.2226,0.292
0.5770,0.1803,-0.0825,0.2430,0.314
