time,ax,ay,az,aT
0.0090,0.7223,0.0665,-0.4490,0.853
0.0100,0.6810,0.0157,-0.2698,0.733
0.0140,0.5257,-0.1513,-0.0346,0.548
0.0290,0.4012,-0.1542,0.0932,0.440
0.0340,0.3027,-0.0662,0.0826,0.321
0.0670,0.1702,-0.0549,0.0037,0.179
0.0680,-0.0037,-0.0752,-0.0168,0.077
0.0680,-0.1612,-0.0446,0.0011,0.167
0.0790,-0.2958,-0.0067,0.0884,0.309
0.0910,-0.3038,0.0031,0.0671,0.311
0.1120,-0.2861,0.0507,0.0862,0.303
0.1130,-0.2409,0.0115,0.0850,0.256
0.1140,-0.2547,0.0400,0.0356,0.260
0.1290,-0.2514,0.0296,0.0641,0.261
0.1700,-0.2301,0.0001,0.0443,0.234
0.1710,-0.1561,-0.0082,0.0635,0.169
0.1710,-0.0401,-0.0273,0.0342,0.059
0.1720,0.0248,-0.0348,-0.0440,0.061
0.1850,0.0806,-0.0140,-0.0536,0.098
0.1850,0.1606,-0.0131,-0.0628,0.173
0.1990,0.1396,-0.0227,-0.0333,0.145
0.2040,0.1356,0.0161,0.0159,0.137
0.2140,0.0587,-0.0138,0.0060,0.061
0.2530,-0.0067,-0.0318,0.0254,0.041
0.2540,-0.0539,-0.0131,0.0056,0.056
0.2550,-0.0598,-0.0027,-0.0142,0.062
0.2550,-0.0676,0.0368,0.0150,0.078
0.2670,0.0022,-0.0115,-0.0242,0.027
0.2820,0.0130,-0.0012,-0.0243,0.028
0.2840,0.0328,-0.0011,-0.0047,0.033
0.2970,0.0248,-0.0012,0.0245,0.035
0.3030,0.0355,-0.0387,0.0047,0.053
0.3140,0.0668,-0.0197,0.0046,0.070
0.3240,0.0573,-0.0188,0.0536,0.081
0.3330,0.0106,-0.0197,0.0338,0.041
0.3620,-0.0621,-0.0472,0.1216,0.144
0.3630,-0.0694,-0.0678,0.0528,0.110
0.3740,-0.0087,-0.0471,-0.0355,0.060
0.3750,-0.0080,-0.0280,-0.0747,0.080
0.3850,0.0020,0.0099,-0.0453,0.046
0.3990,0.0131,-0.0099,0.0036,0.017
0.4030,0.0050,-0.0387,0.0426,0.058
0.4140,0.0070,-0.0486,0.1112,0.122
0.4580,0.0657,-0.0480,0.1406,0.162
0.4580,0.0872,-0.0592,0.1209,0.160
0.4590,0.0581,-0.1162,0.0914,0.159
0.4590,0.0209,-0.0795,0.0521,0.097
0.4730,0.0520,-0.0333,-0.0557,0.083
