time,ax,ay,az,aT,label
0.008,0.2728,0.0098,-0.0891,0.287,0
0.009,0.1808,-0.0106,-0.138,0.228,0
0.016,0.2583,0.0186,-0.0399,0.262,0
0.027,0.2607,-0.0113,-0.0202,0.262,0
0.031,0.1678,0.049,-0.0105,0.175,0
0.079,0.121,0.0377,0.0287,0.13,0
0.08,0.0613,0.0301,0.0383,0.078,0
0.08,0.0109,-0.0082,0.0088,0.016,0
0.081,-0.0474,0.0035,0.0184,0.051,0
0.082,-0.0464,-0.0243,0.0085,0.053,0
0.093,-0.0766,0.0079,0.0377,0.086,0
0.101,-0.0492,-0.02,0.0278,0.06,0
0.111,-0.0526,-0.0073,0.0374,0.065,0
0.127,-0.0658,0.003,0.057,0.087,0
0.131,-0.0115,-0.0038,0.0568,0.057999999999999996,0
0.186,-0.0079,0.0061,-0.0019,0.01,0
0.186,-0.0049,0.0073,0.0371,0.038,0
0.186,-0.0026,-0.021,0.0174,0.027000000000000003,0
0.187,-0.0016,-0.0119,0.0469,0.048,0
0.187,-0.001,0.0169,0.0077,0.019,0
0.191,-0.0011,0.0461,-0.0118,0.048,0
0.201,0.0465,-0.0025,-0.0216,0.051,0
0.211,0.0965,-0.0018,-0.0118,0.09699999999999999,0
0.227,0.1042,-0.0203,0.037,0.11199999999999999,0
0.231,0.0482,0.01,0.0174,0.052000000000000005,0
0.242,0.0504,0.0196,-0.0021,0.054000000000000006,0
0.251,0.0069,0.0703,0.0271,0.076,0
0.278,-0.0166,0.0216,-0.0022,0.027000000000000003,0
0.279,-0.0013,0.0231,0.0074,0.024,0
0.287,0.0028,0.0137,0.0172,0.022000000000000002,0
0.299,-0.0035,0.044,0.0662,0.08,0
0.302,0.0085,0.0246,0.0466,0.053,0
0.311,0.0006,0.0158,0.0465,0.049,0
0.327,0.03,0.0064,0.0171,0.035,0
0.331,0.0307,0.0169,0.0072,0.036000000000000004,0
0.386,0.0298,0.0168,0.0072,0.035,0
0.386,0.0298,-0.0022,-0.0025,0.03,0
