time,ax,ay,az,aT
0.0080,0.4344,0.0046,-0.1874,0.473
0.0080,0.3436,-0.0649,-0.2038,0.405
0.0090,0.3320,-0.0911,-0.1591,0.379
0.0330,0.3220,-0.0331,-0.1001,0.339
0.0340,0.2914,-0.0515,-0.0875,0.309
0.0400,0.1991,-0.0134,-0.0890,0.218
0.0530,0.0668,0.0045,-0.0804,0.105
0.0590,-0.0304,0.0130,-0.0243,0.041
0.0690,-0.1130,0.0392,-0.0282,0.123
0.0850,-0.1617,0.0481,-0.0210,0.170
0.0890,-0.2114,0.0359,0.0624,0.223
0.1340,-0.2623,0.0451,0.0604,0.273
0.1350,-0.2536,0.0239,0.0852,0.269
0.1360,-0.2393,0.0233,0.0154,0.241
0.1360,-0.1899,0.0502,-0.0065,0.197
0.1440,-0.1312,0.0111,-0.0653,0.147
0.1530,-0.0714,-0.0174,-0.0558,0.092
0.1590,0.0243,-0.0270,0.0721,0.081
0.1700,0.0677,-0.0072,-0.0342,0.076
0.1850,0.1242,0.0124,-0.0925,0.155
0.1890,0.1437,0.0212,-0.1193,0.188
0.2340,0.1222,0.0015,-0.0894,0.151
0.2350,0.1158,0.0018,-0.0584,0.130
0.2350,0.0578,-0.0174,0.0001,0.060
0.2350,-0.0365,-0.0161,-0.0008,0.040
0.2410,-0.0821,-0.0155,-0.0017,0.084
0.2530,-0.1315,0.0042,-0.0139,0.132
0.2590,-0.1478,-0.0050,-0.0049,0.148
0.2690,-0.1677,0.0142,-0.0269,0.170
0.2850,-0.1265,0.0245,0.0215,0.131
0.2890,-0.0547,0.0053,0.0011,0.055
0.3380,0.0528,0.0550,-0.0576,0.096
0.3400,0.0682,0.0623,-0.0270,0.096
0.3400,0.1261,0.0041,-0.0366,0.131
0.3410,0.1571,0.0421,-0.0738,0.179
0.3410,0.1971,0.0432,-0.1230,0.236
0.3500,0.1533,0.0424,-0.0434,0.165
0.3590,0.1090,-0.0052,-0.0348,0.115
0.3690,0.0923,-0.0132,0.0035,0.093
