time,ax,ay,az,aT
0.0100,0.3688,-0.0480,-0.1623,0.406
0.0100,0.2795,-0.0193,-0.1810,0.334
0.0210,0.1960,0.1556,-0.0441,0.254
0.0510,0.1548,0.0164,0.0050,0.156
0.0520,0.0834,-0.0238,0.0436,0.097
0.0530,-0.0238,-0.0240,0.1016,0.107
0.0580,-0.0620,-0.0161,0.0321,0.072
0.0640,-0.0958,-0.0270,0.0408,0.108
0.0740,-0.0465,-0.0291,0.0008,0.055
0.0840,-0.0258,-0.0205,0.0196,0.038
0.0940,-0.0454,-0.0323,-0.0007,0.056
0.1100,-0.0904,-0.0144,0.0080,0.092
0.1140,-0.1495,-0.0164,0.0858,0.173
0.1240,-0.1630,0.0105,-0.0133,0.164
0.1520,-0.1559,-0.0302,0.0155,0.160
0.1530,-0.1065,0.0169,-0.0047,0.108
0.1580,-0.1121,-0.0132,0.0342,0.118
0.1640,-0.0476,-0.0411,0.0240,0.067
0.1740,0.0039,-0.0410,0.0336,0.053
0.1860,0.0061,-0.0015,0.0335,0.034
0.1940,-0.0104,0.0088,0.0136,0.019
0.2040,0.0116,-0.0098,-0.0257,0.030
0.2140,-0.0149,0.0102,-0.0357,0.040
0.2240,0.0167,-0.0176,0.0131,0.028
0.2360,-0.0289,0.0027,0.0227,0.037
0.2440,-0.0243,0.0125,0.0714,0.076
0.2610,-0.0311,-0.0362,0.0712,0.086
0.2640,-0.0175,-0.0347,0.1004,0.108
0.2740,0.0442,-0.0352,0.0904,0.107
0.2920,0.0358,-0.0439,0.0609,0.083
0.2940,0.0487,-0.0355,0.0607,0.086
0.3040,0.0885,-0.0359,0.0607,0.113
0.3140,0.0837,-0.0385,0.0408,0.101
0.3260,0.1038,-0.0393,0.0702,0.131
0.3360,0.1092,-0.0423,0.0404,0.124
0.3440,0.1104,-0.0250,0.0698,0.133
0.3730,0.0977,0.0297,0.0497,0.114
0.3750,0.0542,0.0240,-0.0093,0.060
0.3750,0.0153,0.0479,-0.0295,0.058
0.3910,-0.0137,0.0599,-0.0595,0.086
0.3940,-0.0905,0.1037,-0.0797,0.159
0.4330,-0.0849,0.0758,0.0076,0.114
0.4350,-0.1426,0.0520,0.0659,0.165
0.4360,-0.1739,0.0464,0.0846,0.199
0.4360,-0.2050,-0.0157,0.0744,0.219
0.4450,-0.1893,0.0193,0.1128,0.221
0.4550,-0.1450,-0.0522,0.0734,0.171
0.4640,-0.0705,-0.0712,0.0829,0.130
0.4740,-0.0603,-0.0644,0.0241,0.091
0.4860,-0.0208,-0.0268,0.0339,0.048
0.4940,0.0174,-0.0395,0.0438,0.061
0.5040,-0.0023,-0.0497,0.1320,0.141
0.5140,-0.0130,-0.0427,0.1125,0.121
0.5260,0.0411,-0.0437,0.0833,0.103
0.5570,0.1146,-0.0859,0.1326,0.195
0.5610,0.1050,-0.1137,0.0939,0.181
0.5610,0.0813,-0.0789,0.0549,0.126
0.5640,0.0465,-0.0145,-0.0133,0.050
0.5750,0.0345,-0.0006,0.0064,0.035
0.5920,-0.0343,0.0500,-0.0816,0.102
0.5940,-0.0174,0.1330,-0.1402,0.194
0.6090,-0.0203,0.1226,-0.0615,0.139
0.6140,0.0248,0.0893,-0.1200,0.152
0.6260,0.0390,0.0822,-0.1393,0.166
0.6660,0.0264,0.0015,-0.0410,0.049
0.6670,-0.0613,-0.0655,0.0765,0.118
0.6680,-0.1027,-0.0963,0.1453,0.202
0.6680,-0.1010,-0.1030,0.1942,0.242
0.6750,-0.0083,-0.0560,0.2043,0.212
0.6850,0.1171,-0.0371,0.2050,0.239
0.6940,0.2176,-0.0603,0.1467,0.269
0.7040,0.1933,-0.0247,0.0593,0.204
0.7140,0.2192,-0.0208,-0.0384,0.224
0.7250,0.1896,-0.0168,-0.0278,0.192
0.7350,0.1017,-0.0236,0.0212,0.107
0.7440,0.0520,0.0086,0.1391,0.149
0.7610,0.0725,-0.0083,0.1784,0.193
0.7640,0.1157,-0.0058,0.1298,0.174
0.7740,0.1533,-0.0340,0.1399,0.210
0.7850,0.1476,-0.0886,0.0620,0.183
0.7940,0.0936,-0.0896,-0.1145,0.173
0.8040,0.0389,-0.0028,-0.2125,0.216
0.8140,0.0065,-0.0031,-0.1440,0.144
0.8260,-0.0247,-0.0209,0.0125,0.035
0.8350,-0.0475,-0.0492,0.1006,0.122
0.8440,-0.0492,-0.0365,0.2180,0.226
0.8620,-0.1146,-0.0555,0.2475,0.278
0.8640,-0.1264,-0.0624,0.2571,0.293
0.8740,-0.1455,-0.0639,0.2084,0.262
0.8850,-0.0551,-0.0255,0.1988,0.208
0.8940,-0.0084,0.0205,0.2876,0.288
0.9040,0.1119,0.0542,0.3277,0.350
0.9140,0.1386,-0.0489,0.4853,0.507
0.9250,0.2179,-0.1473,0.5353,0.596
0.9530,0.2304,-0.2463,0.6046,0.692
0.9540,0.2393,-0.2773,0.5560,0.666
0.9540,0.2221,-0.2764,0.5271,0.635
0.9640,0.2193,-0.2564,0.4491,0.562
0.9740,0.1302,-0.2019,0.5085,0.562
0.9850,-0.0041,-0.1989,0.5185,0.555
