time,ax,ay,az,aT,label
0.016,0.1928,0.0778,-0.1011,0.231,0
0.017,0.1198,-0.0226,-0.1399,0.18600000000000003,0
0.017,0.1736,-0.0611,-0.0315,0.187,0
0.023,0.1478,-0.0426,0.0268,0.156,0
0.035,0.0717,-0.0137,0.0462,0.086,0
0.041,0.0099,-0.0426,0.0847,0.095,0
0.096,-0.0778,-0.032,0.113,0.141,0
0.097,-0.0904,-0.0513,0.1319,0.168,0
0.097,-0.092,-0.0123,0.0231,0.096,0
0.098,-0.04,0.0159,0.013,0.045,0
0.098,-0.0454,-0.0231,0.0616,0.08,0
0.104,-0.0717,0.0057,0.0907,0.11599999999999999,0
0.11,-0.0852,0.0052,0.0116,0.086,0
0.121,-0.0927,0.0541,0.0309,0.11199999999999999,0
0.135,-0.079,0.0615,0.0501,0.11199999999999999,0
0.14,-0.049,0.0218,0.0991,0.113,0
0.188,-0.0657,0.0214,0.0497,0.085,0
0.188,-0.0657,-0.0375,0.1085,0.132,0
0.189,-0.0444,-0.0358,0.1084,0.122,0
0.189,-0.017,-0.0469,0.0988,0.111,0
0.199,0.0199,-0.0549,0.0206,0.062,0
0.2,0.0178,-0.0465,0.0306,0.057999999999999996,0
0.211,0.0543,-0.0262,0.0701,0.092,0
0.221,0.0517,-0.0096,0.0507,0.073,0
0.231,0.0682,0.0283,0.0314,0.08,0
0.241,0.0571,0.0161,0.0315,0.067,0
0.268,0.0565,0.0063,0.0512,0.077,0
0.269,0.0185,0.0054,0.0608,0.064,0
0.28,0.0114,-0.0127,0.0606,0.063,0
0.281,0.0236,0.0063,0.0603,0.065,0
0.291,0.0069,-0.0023,0.0502,0.051,0
0.305,-0.0003,-0.0508,0.0304,0.059000000000000004,0
0.31,-0.0068,-0.0291,0.0595,0.067,0
0.355,-0.0248,-0.0492,0.0789,0.096,0
0.356,-0.0688,-0.0556,0.0687,0.11199999999999999,0
0.356,-0.0583,-0.0367,0.0686,0.09699999999999999,0
0.356,-0.0555,-0.0061,0.0487,0.07400000000000001,0
0.365,-0.037,-0.0462,0.0586,0.083,0
0.373,-0.0647,-0.0439,0.1075,0.133,0
0.381,-0.0276,-0.0548,0.0489,0.078,0
0.39,-0.0188,-0.0241,0.0294,0.042,0
0.404,0.0085,0.0053,0.0492,0.05,0
0.41,0.0257,-0.0039,0.0887,0.092,0
0.421,0.0133,-0.0441,0.0497,0.068,0
0.454,0.0683,0.005,0.0207,0.07200000000000001,0
0.455,0.067,-0.0247,0.0796,0.107,0
0.455,-0.0645,-0.0897,0.138,0.177,0
0.461,-0.0318,-0.1601,0.1964,0.255,0
0.47,-0.0174,-0.1353,0.1078,0.174,0
0.484,0.0507,-0.0492,0.0784,0.106,0
0.49,0.0671,-0.0304,0.0297,0.079,0
0.502,0.0372,-0.0322,0.118,0.128,0
0.51,0.019,-0.0614,0.1276,0.14300000000000002,0
0.521,0.0407,-0.0729,0.0783,0.114,0
0.568,0.0233,0.0028,0.0388,0.045,0
0.569,0.0374,0.0202,0.1168,0.124,0
0.569,0.0038,-0.0116,0.1162,0.11699999999999999,0
0.57,0.0288,-0.0136,0.096,0.10099999999999999,0
0.571,0.0226,-0.0255,0.1054,0.111,0
0.581,0.0745,0.0099,0.0364,0.084,0
0.591,0.0566,0.0248,0.0754,0.09699999999999999,0
0.603,0.1309,0.0017,0.1336,0.187,0
0.613,0.174,-0.0411,0.0939,0.20199999999999999,0
0.62,0.1719,-0.035,0.1029,0.203,0
0.648,0.2158,-0.0014,0.1121,0.243,0
0.649,0.2303,0.0529,0.1205,0.265,0
0.651,0.2295,0.0726,0.0508,0.24600000000000002,0
0.662,0.1525,0.0773,0.039,0.175,0
0.67,0.0936,0.0398,0.0175,0.10300000000000001,0
0.681,0.0696,0.0452,-0.0043,0.083,0
0.69,-0.0027,0.0291,0.0619,0.068,0
0.703,-0.0544,0.0256,0.1675,0.17800000000000002,0
0.712,-0.1024,-0.1027,0.3415,0.371,0
0.72,-0.0866,-0.1575,0.4964,0.528,0
0.761,-0.0306,-0.2079,0.6512,0.684,0
0.762,0.061,-0.2593,0.6592,0.711,0
0.762,0.1522,-0.258,0.7458,0.804,0
0.763,0.1917,-0.2308,0.6554,0.721,0
0.77,0.1578,-0.191,0.6236,0.6709999999999999,0
0.781,0.1368,-0.1398,0.65,0.679,0
0.79,0.0452,-0.1372,0.7352,0.7490000000000001,0
0.803,-0.0291,-0.1502,0.6929,0.71,0
0.812,-0.041,-0.0981,0.5726,0.5820000000000001,0
0.82,-0.032,-0.1074,0.4627,0.47600000000000003,0
0.847,-0.003,-0.1448,0.2356,0.27699999999999997,0
