time,ax,ay,az,aT
0.0090,0.1655,0.0607,-0.2962,0.345
0.0090,0.0221,0.1228,-0.1484,0.194
0.0200,0.0717,0.0154,-0.0111,0.074
0.0540,0.1365,-0.0696,0.0382,0.158
0.0550,0.1471,-0.0208,0.0283,0.151
0.0550,0.1329,-0.0013,-0.0496,0.142
0.0630,0.0873,0.0559,-0.0499,0.115
0.0680,0.0033,0.0340,-0.0798,0.087
0.0800,-0.0211,0.0424,-0.0313,0.057
0.0950,-0.0442,0.0025,-0.0418,0.061
0.0980,-0.0686,0.0218,-0.0031,0.072
0.1360,-0.0798,0.0113,0.0351,0.088
0.1370,-0.1142,0.0208,0.0444,0.124
0.1370,-0.0773,0.0290,-0.0151,0.084
0.1400,-0.0439,0.0287,-0.0155,0.055
0.1480,-0.0197,0.0556,0.0134,0.060
0.1580,-0.0357,0.0073,-0.0163,0.040
0.1680,-0.0410,0.0071,-0.0364,0.055
0.1780,-0.0576,0.0461,-0.0564,0.093
0.1970,-0.0239,0.0070,-0.0470,0.053
0.1980,-0.0007,-0.0326,-0.0179,0.037
0.2080,0.0211,-0.0401,-0.0280,0.053
0.2180,0.0439,-0.0208,-0.0283,0.056
0.2370,0.0740,-0.0099,0.0303,0.081
0.2380,0.0380,-0.0391,0.0104,0.056
0.2480,0.0592,0.0100,0.0494,0.078
0.2610,-0.0049,-0.0003,-0.0097,0.011
0.2680,0.0190,0.0093,-0.0200,0.029
0.2780,-0.0045,0.0091,-0.0304,0.032
0.2950,-0.0362,-0.0189,0.0080,0.042
0.2980,-0.0395,-0.0179,0.0073,0.044
0.3400,-0.0414,-0.0543,0.0163,0.070
0.3410,-0.0349,-0.0324,0.0451,0.066
0.3410,-0.0176,-0.0216,0.0247,0.037
0.3410,-0.0019,0.0198,0.0339,0.039
0.3480,0.0314,0.0190,-0.0448,0.058
0.3590,0.0556,0.0007,0.0135,0.057
0.3680,0.0298,-0.0276,0.0033,0.041
0.3790,0.0158,-0.0271,0.0322,0.045
0.3950,0.0027,-0.0081,0.0316,0.033
0.3980,0.0100,-0.0573,0.0603,0.084
0.4080,0.0747,-0.0468,0.0696,0.112
0.4190,0.0444,-0.0169,0.0687,0.084
0.4370,0.0427,-0.0092,0.1072,0.116
0.4380,-0.0069,0.0103,0.0378,0.040
0.4480,-0.0446,0.1100,-0.0415,0.126
0.4580,-0.0422,0.1469,-0.0720,0.169
0.4680,-0.0665,0.1749,-0.0829,0.205
0.4780,-0.0744,0.1926,-0.1231,0.240
0.4950,-0.1470,0.1816,-0.0850,0.249
0.4990,-0.2246,0.1816,-0.0271,0.290
0.5090,-0.2838,0.0879,0.0106,0.297
0.5190,-0.3547,0.0505,0.0884,0.369
0.5320,-0.3480,0.0296,0.1361,0.375
0.5400,-0.3462,-0.0073,0.2635,0.435
0.5480,-0.2519,-0.0259,0.2728,0.372
0.5580,-0.0921,-0.1132,0.2929,0.327
0.5680,0.0545,-0.1382,0.2838,0.320
0.5780,0.1818,-0.1195,0.1866,0.287
0.5950,0.2145,0.0128,0.0409,0.219
0.5980,0.2074,0.0985,-0.0467,0.234
0.6080,0.0548,0.1829,-0.1146,0.223
0.6190,-0.0953,0.1797,0.0523,0.210
0.6340,-0.2959,0.1302,0.1501,0.356
0.6400,-0.4707,0.0689,0.1900,0.512
0.6480,-0.5273,0.0798,0.3175,0.621
0.6580,-0.4908,0.1169,0.4665,0.687
0.6680,-0.3679,0.1271,0.4189,0.572
0.6780,-0.3171,0.1618,0.3822,0.522
0.6950,-0.3493,0.1675,0.5798,0.697
0.6980,-0.4796,-0.0253,1.0429,1.148
0.7090,-0.6565,-0.2224,1.1705,1.360
0.7180,-0.9465,-0.2858,1.3301,1.657
0.7350,-1.0429,-0.2562,1.3792,1.748
0.7420,-0.9861,-0.1492,1.4231,1.738
0.7480,-0.7032,-0.0270,1.1621,1.359
0.7580,-0.3895,-0.0171,0.8860,0.968
0.7680,-0.2542,-0.0774,0.5715,0.630
0.7780,-0.2430,-0.1117,0.2500,0.366
0.7920,-0.1861,-0.0890,0.1345,0.246
0.7980,-0.0426,-0.0691,0.3536,0.363
0.8220,-0.0632,-0.0790,0.8464,0.852
0.8230,-0.3382,-0.0748,0.8300,0.899
0.8280,-0.5862,-0.1888,1.2023,1.351
0.8380,-0.9687,-0.2539,1.5196,1.820
0.8480,-1.4992,-0.3506,1.2992,2.015
0.8590,-1.7251,-0.3845,1.3257,2.209
0.8680,-1.6602,-0.4053,1.3161,2.157
0.8780,-1.2014,-0.4088,1.1361,1.703
0.8940,-0.4376,-0.4139,0.8216,1.019
0.8980,0.2532,-0.3523,0.4400,0.618
0.9080,0.8618,-0.3277,0.3308,0.980
0.9190,1.1708,-0.2257,0.0966,1.196
0.9360,1.2672,0.0544,-0.2447,1.292
0.9380,1.2756,0.2811,-0.1476,1.315
0.9480,0.9400,0.4254,0.1139,1.038
0.9580,0.2205,0.5645,-0.0386,0.607
0.9680,-0.3676,0.5017,-0.0482,0.624
0.9790,-0.6895,0.3516,0.1091,0.782
0.9910,-0.6441,0.1579,0.1466,0.679
0.9980,-0.3125,0.0406,0.1653,0.356
1.0180,0.0606,-0.0143,0.0722,0.095
1.0190,0.3066,0.0679,-0.2912,0.428
1.0280,0.4450,0.1627,-0.3021,0.562
1.0390,0.4393,0.2874,-0.2032,0.563
1.0480,0.2110,0.4121,-0.5271,0.702
1.0580,0.0375,0.4235,-0.4294,0.604
1.0680,-0.0212,0.2173,-0.3555,0.417
1.0780,0.1121,-0.0022,-0.3164,0.336
1.0900,0.3678,-0.1749,-0.2533,0.480
1.0980,0.6091,-0.2825,-0.3406,0.753
1.1240,0.7398,-0.2546,-0.4858,0.921
1.1250,0.8581,-0.1745,-0.6221,1.074
1.1280,0.8401,-0.0380,-0.5981,1.032
1.1390,0.5856,0.1219,-0.8189,1.014
1.1480,0.1378,0.1472,-0.9220,0.944
1.1590,-0.2462,0.0735,-0.8840,0.921
1.1680,-0.3301,-0.0760,-0.7958,0.865
1.1780,-0.2216,-0.2126,-0.8478,0.902
1.1900,-0.0271,-0.2963,-0.8328,0.884
1.1980,0.2938,-0.4042,-0.9562,1.079
1.2200,0.6121,-0.5005,-1.0814,1.340
1.2210,0.8611,-0.5525,-1.1125,1.511
1.2280,0.8040,-0.3795,-1.4532,1.704
1.2380,0.7335,-0.1366,-1.6070,1.772
1.2480,0.5757,0.1106,-1.4610,1.574
1.2590,0.4551,-0.0296,-1.4008,1.473
1.2690,0.3432,-0.2644,-1.3523,1.420
1.2780,0.3077,-0.5263,-1.4345,1.559
1.2880,0.2893,-0.6754,-1.6267,1.785
1.2980,0.3572,-0.6971,-1.8015,1.964
1.3090,0.4556,-0.6020,-1.8450,1.993
1.3370,0.6064,-0.5676,-1.7845,1.968
1.3380,0.6822,-0.5635,-1.9620,2.152
1.3400,0.8435,-0.5079,-2.2599,2.465
1.3480,0.8446,-0.5896,-2.1557,2.389
1.3580,0.9083,-0.5356,-1.8096,2.094
1.3680,0.7087,-0.3975,-1.7866,1.963
1.3790,0.4435,-0.2285,-1.4619,1.545
1.3910,0.0153,0.0707,-0.9709,0.974
1.3980,-0.4223,0.4131,-0.5503,0.807
1.4200,-0.7319,0.5934,-0.2852,0.984
1.4210,-0.9949,0.5678,0.1528,1.156
1.4280,-1.1494,0.1540,0.3840,1.222
1.4390,-1.2290,-0.4180,0.7629,1.506
1.4480,-1.2393,-0.7952,1.0348,1.800
1.4590,-1.1436,-0.8326,1.2057,1.859
1.4690,-1.1283,-0.6947,0.9810,1.649
1.4800,-0.9744,-0.3843,0.7160,1.269
1.4880,-0.9409,-0.1263,0.6147,1.131
1.4980,-0.7578,0.0369,0.3120,0.820
1.5090,-0.6940,0.1495,0.1380,0.723
1.5390,-0.5896,0.1595,0.2236,0.650
1.5400,-0.5611,0.1191,0.2896,0.643
1.5400,-0.4512,0.0912,0.3563,0.582
1.5480,-0.4253,0.0680,0.3769,0.572
1.5580,-0.4314,0.1282,0.2469,0.513
1.5690,-0.4113,0.1530,0.2450,0.503
1.5780,-0.4247,0.1270,0.5249,0.687
1.5880,-0.4781,0.0300,0.7093,0.856
1.5980,-0.5087,0.0327,0.8890,1.025
1.6090,-0.6138,0.0867,0.8906,1.085
1.6360,-0.5632,0.0519,0.8007,0.980
1.6370,-0.4116,-0.1779,0.7729,0.894
1.6380,-0.1149,-0.3505,0.7656,0.850
1.6480,0.0109,-0.3212,0.5731,0.657
1.6580,0.0125,-0.1787,0.4612,0.495
1.6680,0.0182,-0.0693,0.3548,0.362
1.6780,0.2910,-0.0251,0.0902,0.306
1.6900,0.5326,-0.0024,-0.4484,0.696
1.6980,0.8683,0.0012,-0.8392,1.208
1.7210,0.9923,-0.0945,-0.9768,1.396
1.7220,1.2037,-0.1141,-0.8698,1.489
1.7280,1.0742,-0.2435,-0.8543,1.394
1.7380,0.9857,-0.2904,-0.8407,1.328
1.7480,0.8579,-0.4728,-0.5746,1.136
1.7580,0.9315,-0.5980,-0.3442,1.159
1.7690,0.8713,-0.6046,-0.3724,1.124
1.7780,0.9472,-0.5353,-0.3641,1.147
1.7880,0.9826,-0.4660,-0.3850,1.154
1.7980,1.2047,-0.4847,-0.4412,1.371
1.8090,1.2022,-0.6104,-0.1734,1.359
1.8430,1.9489,-0.9340,-0.0642,2.162
1.8450,2.8879,-1.1524,-0.0810,3.110
1.8460,3.6523,-1.3273,-0.8538,3.979
1.8480,4.4842,-1.2858,-1.2162,4.821
1.8590,5.1226,-0.8667,-1.8780,5.524
1.8690,5.1753,-0.3159,-2.1111,5.598
1.8790,4.7131,0.1613,-3.2114,5.705
1.8880,4.2269,0.2719,-3.8982,5.756
1.8980,3.9880,0.3052,-4.4613,5.992
1.9100,3.6662,0.1360,-4.6523,5.925
1.9440,3.6585,-0.0843,-4.3739,5.703
1.9460,3.3756,-0.1472,-3.8716,5.139
1.9470,2.9411,-0.2126,-3.2158,4.363
1.9480,2.4748,-0.2641,-2.5452,3.560
1.9590,2.3506,-0.2803,-1.7990,2.973
1.9700,2.0104,-0.2519,-1.0802,2.296
1.9780,1.8291,-0.2432,-0.9157,2.060
1.9880,1.4886,-0.1661,-0.8979,1.746
1.9980,1.4547,0.0295,-1.2775,1.936
2.0090,1.5406,0.0667,-1.2224,1.968
2.0440,1.7542,0.0702,-1.2662,2.165
2.0450,1.6138,0.0360,-1.2142,2.020
2.0460,1.2907,0.1080,-1.1496,1.732
2.0480,0.8208,0.2644,-1.1343,1.425
2.0590,0.3829,0.3737,-1.1245,1.245
2.0700,-0.2161,0.3892,-1.2148,1.294
2.0780,-0.5718,0.2704,-0.8654,1.072
2.0890,-0.6449,-0.0621,0.0565,0.650
2.0980,-0.5321,-0.4686,1.0027,1.228
2.1090,-0.3275,-0.5522,1.0461,1.227
2.1520,-0.1153,-0.3690,0.6711,0.774
2.1530,-0.0282,-0.0606,0.3679,0.374
2.1530,0.1042,0.1502,0.0551,0.191
2.1540,0.2051,0.1930,-0.0481,0.286
2.1580,0.3199,0.2114,-0.0350,0.385
2.1690,0.3779,0.1382,0.6135,0.734
2.1790,0.4997,0.0384,0.6875,0.851
2.1880,0.6130,-0.0128,0.8493,1.047
2.1980,0.6904,-0.0797,0.8528,1.100
2.2090,0.7586,0.0172,0.5651,0.946
2.2450,1.0314,0.0858,0.2225,1.059
2.2460,1.3136,0.1163,0.2418,1.341
2.2470,1.4969,0.2128,0.0081,1.512
2.2480,1.5168,0.0241,0.0313,1.517
2.2590,1.6317,-0.1516,0.3103,1.668
2.2690,1.6287,-0.2881,0.2358,1.671
2.2780,1.7873,-0.3928,0.1660,1.837
2.2880,1.7506,-0.3500,-0.0771,1.787
