time,ax,ay,az,aT
0.0090,0.4761,-0.0514,-0.4587,0.663
0.0090,0.3943,-0.1217,-0.4083,0.581
0.0200,0.2639,0.2286,-0.0551,0.353
0.0520,0.1425,0.1138,-0.0351,0.186
0.0530,0.0890,-0.1322,-0.0254,0.161
0.0530,0.0080,-0.1281,0.0721,0.147
0.0610,-0.0060,-0.0616,0.1210,0.136
0.0660,0.0558,-0.0246,0.0131,0.062
0.0790,0.0812,-0.0271,0.0326,0.092
0.0930,0.0841,-0.0202,-0.0066,0.087
0.0960,0.0438,0.0165,-0.0264,0.054
0.1100,0.0127,0.0410,-0.0559,0.070
0.1170,0.0128,0.0683,0.0025,0.070
0.1590,0.0044,0.0158,-0.0172,0.024
0.1590,-0.0648,0.0842,-0.0077,0.107
0.1600,-0.0818,0.0423,0.0213,0.095
0.1600,-0.1112,0.0215,-0.0573,0.127
0.1680,-0.1268,0.0200,-0.0381,0.134
0.1780,-0.1288,0.0576,-0.0579,0.153
0.1870,-0.1352,0.0463,-0.0287,0.146
0.1970,-0.1381,0.0360,-0.0583,0.154
0.2110,-0.1360,0.0265,0.0099,0.139
0.2160,-0.1213,-0.0219,0.0588,0.137
0.2270,-0.1126,-0.0386,0.0388,0.125
0.2530,-0.0510,-0.0086,0.0387,0.065
0.2540,0.0373,-0.0082,-0.0298,0.048
0.2600,0.0392,0.0313,-0.0593,0.078
0.2660,0.0400,0.0396,-0.0495,0.075
0.2770,0.0338,0.0403,-0.0692,0.087
0.2930,0.0462,0.0681,-0.0594,0.101
0.2970,-0.0081,0.0594,-0.0007,0.060
0.3090,-0.0495,0.0030,0.0480,0.069
0.3520,-0.0548,-0.0342,-0.0109,0.066
0.3530,-0.0965,0.0170,-0.0210,0.100
0.3530,-0.0928,0.0297,-0.0016,0.097
0.3530,-0.1338,0.0128,-0.0411,0.141
0.3590,-0.1411,0.0161,-0.0314,0.145
0.3660,-0.1730,0.0102,0.0466,0.179
0.3770,-0.1741,-0.0360,0.0465,0.184
0.3910,-0.1230,0.0161,0.0660,0.141
0.3960,-0.0688,0.0088,-0.0124,0.070
0.4390,-0.0339,0.0301,-0.0222,0.050
0.4400,-0.0105,-0.0260,0.0170,0.033
0.4400,0.0026,-0.0229,-0.0025,0.023
0.4410,0.0362,-0.0197,0.0268,0.049
0.4500,0.0760,-0.0647,0.0072,0.100
0.4610,0.1200,-0.0619,0.1151,0.177
0.4740,0.1575,-0.0406,0.0369,0.167
0.4760,0.1637,-0.0494,-0.0218,0.172
0.4900,0.1455,-0.0105,-0.0020,0.146
0.4960,0.0959,0.0190,-0.0412,0.106
0.5080,0.1211,-0.0016,0.0079,0.121
0.5180,0.0944,0.0180,0.0470,0.107
0.5270,0.0563,-0.0022,-0.0019,0.056
0.5630,-0.0077,0.0266,0.0469,0.054
0.5640,-0.0409,0.0629,0.0077,0.075
0.5640,-0.0650,0.0724,-0.0610,0.115
0.5700,-0.0773,0.0603,-0.0316,0.103
0.5770,-0.0729,-0.0083,0.0662,0.099
0.5870,-0.0576,-0.0365,0.1543,0.169
0.5960,-0.0057,-0.0664,0.0954,0.116
0.6090,0.0536,-0.0372,0.0464,0.080
0.6180,0.1337,-0.0206,-0.0123,0.136
0.6260,0.1418,0.0146,0.0270,0.145
0.6480,0.1181,0.0212,0.0368,0.126
0.6490,0.0368,0.0169,0.0369,0.055
0.6570,0.0294,-0.0049,0.0465,0.055
0.6670,0.0302,0.0199,0.1642,0.168
0.6770,0.0931,0.0167,0.1150,0.149
0.6870,0.0634,0.0100,0.0759,0.099
0.6960,0.0689,0.0047,0.1053,0.126
0.7060,0.1392,-0.0123,0.0957,0.169
0.7210,0.1304,-0.0092,0.0663,0.147
0.7270,0.1275,0.0110,0.1155,0.172
0.7630,0.1132,0.0615,0.0667,0.145
0.7640,0.0499,0.0407,0.1455,0.159
0.7650,0.0565,-0.0095,0.2538,0.260
0.7680,0.0431,-0.0672,0.2444,0.257
0.7770,0.0915,-0.1303,0.2942,0.335
0.7860,0.0741,-0.1118,0.3341,0.360
0.7970,0.0918,-0.1005,0.3452,0.371
0.8090,0.0367,-0.0579,0.4349,0.440
0.8170,-0.0815,-0.1102,0.5154,0.533
0.8270,-0.0921,-0.1198,0.6355,0.653
0.8470,-0.0743,-0.1607,0.6685,0.692
0.8480,-0.1600,-0.1663,0.7118,0.748
0.8570,-0.2641,-0.2151,0.7174,0.794
0.8680,-0.2715,-0.2080,0.7341,0.810
0.8770,-0.4031,-0.1394,0.7526,0.865
0.8870,-0.5313,-0.0958,0.6655,0.857
0.8960,-0.6754,-0.0347,0.6579,0.944
0.9070,-0.7924,0.0664,0.6246,1.011
0.9410,-0.8767,0.0447,0.5417,1.032
0.9420,-0.9364,0.0146,0.5903,1.107
0.9430,-1.0583,-0.0328,0.6177,1.226
0.9470,-1.1216,-0.0165,0.5910,1.268
0.9570,-1.1872,0.0508,0.6098,1.336
0.9680,-1.2151,0.1010,0.6239,1.370
0.9760,-1.2397,0.4573,1.0547,1.691
0.9870,-1.1135,0.9702,0.9048,1.732
0.9960,-0.9938,0.9112,0.6495,1.497
1.0070,-0.8176,0.8096,0.4709,1.243
1.0380,-0.7856,0.7122,0.3453,1.115
1.0390,-0.7738,0.6923,0.3066,1.083
1.0390,-0.7355,0.6536,0.2923,1.026
1.0460,-0.6550,0.6729,0.3939,1.018
1.0570,-0.5245,0.6826,0.5005,0.996
1.0670,-0.4014,0.6435,0.6526,1.001
1.0760,-0.3038,0.5248,0.7535,0.967
1.0870,-0.1945,0.3445,0.7884,0.882
1.0970,-0.0962,0.2670,0.7176,0.772
1.1080,-0.1307,0.2276,0.4638,0.533
1.1650,-0.2545,0.2534,0.2314,0.427
1.1670,-0.3457,0.3428,0.1716,0.516
1.1670,-0.3268,0.3799,0.0036,0.501
1.1680,-0.1840,0.3409,-0.0902,0.398
1.1680,-0.1071,0.2885,-0.1672,0.350
1.1690,-0.0296,0.1560,-0.2212,0.272
1.1770,0.1117,-0.0310,-0.1790,0.213
