time,ax,ay,az,aT,label
0.008,0.3207,-0.0226,-0.0935,0.335,0
0.01,0.2163,0.1031,-0.0734,0.251,0
0.01,0.2245,0.0588,-0.0625,0.24,0
0.02,0.255,-0.0601,-0.0919,0.278,0
0.032,0.2014,-0.0415,-0.0426,0.21,0
0.04,0.129,-0.0428,-0.0429,0.14300000000000002,0
0.077,0.0936,0.0233,-0.0331,0.102,0
0.077,0.0434,0.0615,-0.014,0.077,0
0.078,0.0598,0.0867,-0.0533,0.11800000000000001,0
0.086,0.0015,0.0761,-0.0343,0.083,0
0.09,-0.0629,0.0546,0.014,0.084,0
0.101,-0.0998,0.054,-0.0062,0.114,0
0.115,-0.1146,0.0154,0.0517,0.127,0
0.12,-0.1248,-0.0041,0.0218,0.127,0
0.17,-0.1118,-0.0031,0.0014,0.11199999999999999,0
0.17,-0.1041,-0.012,-0.0186,0.106,0
0.17,-0.0184,-0.0863,-0.0486,0.10099999999999999,0
0.171,0.0164,-0.0562,-0.0587,0.083,0
0.171,0.0406,-0.0249,-0.0297,0.055999999999999994,0
0.181,0.0078,-0.0435,-0.0399,0.06,0
0.192,0.0243,-0.05,-0.0306,0.063,0
0.209,0.051,-0.0296,-0.0408,0.07200000000000001,0
0.21,0.0385,-0.0078,-0.0412,0.057,0
0.226,0.0166,0.0226,-0.0122,0.031,0
0.23,-0.0127,-0.0041,0.0361,0.038,0
0.24,-0.0043,-0.0324,-0.0231,0.04,0
0.275,-0.0224,-0.0003,-0.0041,0.023,0
0.276,-0.0321,0.0114,-0.0635,0.07200000000000001,0
0.276,-0.0312,0.0608,-0.015,0.07,0
0.284,-0.0522,0.0235,-0.0546,0.079,0
0.289,-0.0507,-0.0022,-0.0063,0.051,0
0.3,-0.1013,0.0099,0.052,0.114,0
0.317,-0.0788,-0.0338,0.0708,0.111,0
0.32,-0.0625,0.0163,0.1294,0.145,0
0.375,0.0044,0.009,0.0505,0.051,0
0.376,0.0885,0.0779,-0.0183,0.11900000000000001,0
0.377,0.1482,0.1428,-0.0573,0.214,0
0.378,0.2225,0.1132,-0.0379,0.253,0
0.378,0.2138,0.0916,0.0013,0.233,0
0.381,0.175,0.0425,0.0598,0.19,0
0.39,0.1091,0.0428,0.1476,0.188,0
0.4,0.0877,0.0027,0.1962,0.215,0
0.415,0.0216,0.0417,0.2642,0.268,0
0.419,-0.0141,0.0793,0.3225,0.332,0
0.475,0.0012,0.1038,0.2928,0.311,0
0.475,0.0551,0.0302,0.0964,0.115,0
0.475,0.2314,0.0142,0.1847,0.29600000000000004,0
0.476,0.2602,-0.0443,0.5084,0.573,0
0.476,0.1256,0.0331,0.4008,0.42100000000000004,0
0.48,-0.0485,0.1567,0.4503,0.479,0
0.49,-0.0812,0.2371,0.5296,0.586,0
0.5,-0.1087,0.2428,0.4227,0.499,0
0.516,-0.138,0.259,0.2973,0.418,0
0.52,-0.2205,0.1522,0.3486,0.44,0
0.53,-0.2329,0.0357,0.381,0.44799999999999995,0
0.54,-0.253,-0.0383,0.2573,0.363,0
0.58,-0.255,-0.1344,0.3403,0.446,0
0.58,-0.2336,-0.0757,0.3757,0.449,0
0.581,-0.233,0.0432,0.3441,0.418,0
0.581,-0.1892,0.1093,0.392,0.449,0
0.592,-0.2199,0.0999,0.5202,0.574,0
0.6,-0.2669,-0.0011,0.4728,0.5429999999999999,0
0.61,-0.298,-0.256,0.6231,0.737,0
0.62,-0.3312,-0.4996,0.7458,0.9570000000000001,1
0.636,-0.441,-0.4978,0.7429,0.997,1
0.64,-0.523,-0.2956,0.7919,0.9940000000000001,1
0.65,-0.6278,0.008,0.9033,1.1,1
0.689,-0.8036,0.2745,1.0042,1.315,1
0.692,-0.9175,0.5377,1.1007,1.531,1
0.693,-0.9594,0.543,1.0836,1.546,1
0.695,-0.9153,0.362,0.992,1.3969999999999998,1
0.7,-0.8486,0.1602,0.8554,1.216,1
0.71,-0.8065,0.066,0.7717,1.1179999999999999,1
0.72,-0.7918,0.0812,0.6942,1.056,1
0.737,-0.6994,0.1994,0.5833,0.932,1
0.74,-0.6355,0.286,0.4403,0.8240000000000001,1
0.75,-0.5711,0.3322,0.2852,0.72,1
0.802,-0.5117,0.3556,0.1856,0.65,1
0.803,-0.3968,0.348,0.0836,0.534,1
0.804,-0.3315,0.2832,-0.0218,0.43700000000000006,1
0.805,-0.283,0.1176,-0.1026,0.32299999999999995,1
0.805,-0.3043,0.0248,-0.176,0.35200000000000004,1
0.814,-0.3476,0.0098,-0.2923,0.45399999999999996,1
0.82,-0.4479,0.0366,-0.305,0.5429999999999999,1
0.833,-0.5262,0.0353,-0.2515,0.584,1
0.84,-0.5615,0.0177,-0.2836,0.629,1
0.886,-0.48,-0.0636,-0.2905,0.565,1
0.887,-0.4644,-0.1545,-0.3145,0.5820000000000001,1
0.887,-0.365,-0.2536,-0.3165,0.546,1
0.888,-0.2404,-0.3692,-0.2646,0.514,1
0.898,-0.1457,-0.4574,-0.3517,0.595,1
0.9,-0.0762,-0.5693,-0.4488,0.7290000000000001,1
0.912,0.0004,-0.6387,-0.4816,0.8,1
0.92,0.045,-0.7371,-0.5708,0.9329999999999999,1
0.953,0.1892,-0.789,-0.5505,0.98,1
0.954,0.3762,-0.9526,-0.573,1.1740000000000002,1
0.955,0.5529,-1.014,-0.7382,1.371,1
0.965,0.7073,-1.0649,-0.8708,1.547,1
0.97,0.7702,-0.9884,-0.9989,1.6019999999999999,1
0.98,0.8509,-0.9131,-1.0735,1.646,1
0.99,0.8582,-0.8906,-1.045,1.619,1
1.0,0.9386,-0.883,-0.9725,1.614,1
1.014,0.8941,-0.8135,-0.8951,1.504,1
1.02,0.7297,-0.7477,-0.9494,1.412,1
1.03,0.6258,-0.7411,-0.8373,1.281,1
1.04,0.6412,-0.7797,-0.793,1.284,1
1.069,0.6689,-0.7508,-0.7132,1.2329999999999999,1
1.07,0.7537,-0.68,-0.6921,1.229,1
1.071,0.7976,-0.5609,-0.6831,1.1909999999999998,1
1.08,0.876,-0.4777,-0.6458,1.189,1
1.09,0.882,-0.3602,-0.5159,1.083,1
1.1,0.9201,-0.2622,-0.4554,1.06,1
1.112,0.9299,-0.2881,-0.3825,1.046,1
1.12,0.9565,-0.2543,-0.2305,1.016,1
1.153,0.9632,-0.2294,-0.2713,1.0270000000000001,1
1.154,1.0616,-0.1643,-0.3286,1.123,1
1.155,1.1549,-0.116,-0.3618,1.216,1
1.162,1.2037,-0.1075,-0.4398,1.286,1
1.17,1.1252,-0.0887,-0.5002,1.235,1
1.18,1.0915,-0.0701,-0.2132,1.114,1
1.19,0.9946,-0.0102,-0.1326,1.003,1
1.2,0.9628,0.0574,-0.0274,0.965,1
1.212,0.9712,0.0793,0.1438,0.985,1
1.22,1.084,0.0486,0.1539,1.0959999999999999,1
1.252,1.1212,0.0985,0.2275,1.148,1
1.252,1.0733,0.2041,0.0345,1.093,1
1.253,0.958,0.2737,-0.0393,0.997,1
1.263,0.9048,0.3716,0.0334,0.9790000000000001,1
1.27,0.782,0.3946,0.1399,0.887,1
1.28,0.7394,0.3285,0.275,0.855,1
1.293,0.6813,0.2709,0.2378,0.7709999999999999,1
1.3,0.731,0.1605,0.2578,0.792,1
1.31,0.6783,0.0313,0.0676,0.682,1
1.32,0.5873,-0.0001,-0.0653,0.591,1
1.332,0.4841,-0.1208,-0.0052,0.499,1
1.386,0.3843,-0.209,-0.0389,0.439,1
1.387,0.2937,-0.4114,0.1978,0.5429999999999999,1
1.388,0.4134,-0.5869,0.5302,0.892,1
1.388,0.4717,-0.6429,0.5843,0.9890000000000001,1
1.388,0.4462,-0.6557,0.377,0.878,1
1.397,0.2955,-0.6303,0.1296,0.708,1
1.4,0.28,-0.5957,0.0028,0.6579999999999999,1
1.413,0.2687,-0.5275,-0.0195,0.5920000000000001,1
1.42,0.248,-0.405,-0.3048,0.564,1
1.46,0.35,-0.3644,-0.2765,0.5760000000000001,1
1.461,0.4399,-0.3479,-0.1929,0.593,1
1.462,0.4616,-0.2506,-0.297,0.603,1
1.462,0.5031,-0.1811,-0.396,0.665,1
1.47,0.4518,-0.0569,-0.3988,0.605,1
1.48,0.4376,0.0078,-0.3029,0.532,1
1.491,0.5079,-0.0301,-0.3162,0.599,1
1.5,0.5638,-0.02,-0.4422,0.7170000000000001,1
1.51,0.5148,-0.0936,-0.5265,0.742,1
1.52,0.5899,-0.1575,-0.576,0.8390000000000001,1
1.531,0.533,-0.1741,-0.3974,0.687,1
1.592,0.4406,-0.1567,-0.4231,0.631,1
1.593,0.3508,-0.1838,-0.5291,0.6609999999999999,1
1.593,0.2128,-0.1817,-0.4327,0.515,1
1.594,0.1056,-0.125,-0.471,0.499,1
1.594,-0.0475,-0.0591,-0.2718,0.282,1
1.594,-0.1407,-0.0611,0.0848,0.175,1
1.6,-0.1776,-0.0489,0.256,0.315,1
1.61,0.0519,-0.0493,0.0606,0.094,1
1.619,0.2515,-0.0801,-0.0855,0.27699999999999997,1
1.631,0.2594,0.116,-0.3749,0.47,1
1.67,0.3507,0.3047,-0.3816,0.601,1
1.671,0.6108,0.2609,-0.5984,0.894,1
1.671,0.632,0.1893,-0.5683,0.871,1
1.672,1.0641,-0.0268,-0.348,1.12,1
1.681,0.8079,-0.0833,-0.8745,1.193,1
1.692,0.0735,-0.038,-1.0089,1.012,1
1.7,-0.1008,-0.0515,-0.9658,0.972,1
1.71,-0.0058,-0.0985,-0.6081,0.616,1
1.72,-0.035,-0.0957,-0.4997,0.51,1
1.73,0.0601,-0.0885,-0.6792,0.688,1
1.796,0.0341,0.0847,-0.8372,0.8420000000000001,1
1.797,-0.079,0.2154,-0.8658,0.8959999999999999,1
1.798,-0.2782,0.2019,-0.6452,0.731,1
1.798,-0.3055,0.0748,-0.4618,0.5589999999999999,1
1.798,-0.1495,-0.0311,-0.3949,0.423,1
1.799,-0.1996,0.082,-0.4273,0.479,1
1.8,-0.2543,0.2869,-0.6175,0.727,1
1.81,-0.2447,0.4071,-0.6838,0.833,1
1.82,-0.2286,0.4654,-0.7353,0.9,1
1.83,-0.3259,0.5452,-0.7153,0.9570000000000001,1
1.87,-0.3459,0.6363,-0.3766,0.816,1
1.871,-0.2374,0.6129,0.1845,0.6829999999999999,1
1.871,-0.0683,0.4278,0.4475,0.623,1
1.871,0.1282,0.1986,0.5309,0.581,1
1.881,0.2922,0.1484,0.5788,0.665,1
1.892,0.3533,0.1135,0.4445,0.579,1
1.9,0.3883,0.1506,0.0632,0.42100000000000004,1
1.91,0.5086,0.1504,0.0515,0.5329999999999999,1
1.92,0.487,0.0919,-0.022,0.496,1
1.93,0.4134,0.0571,-0.0533,0.42100000000000004,1
1.94,0.3714,-0.029,-0.2065,0.426,1
1.95,0.3265,-0.1524,-0.225,0.425,1
1.997,0.1149,-0.2174,-0.266,0.36200000000000004,1
1.998,-0.2623,-0.1886,-0.334,0.465,1
2.0,-0.5678,-0.1169,-0.3848,0.696,1
2.0,-0.793,-0.117,-0.1903,0.8240000000000001,1
2.001,-0.793,-0.1454,-0.0066,0.8059999999999999,1
2.01,-0.8416,-0.0697,0.0914,0.8490000000000001,1
2.02,-0.9353,-0.0538,0.1653,0.951,1
2.031,-0.8556,0.0151,0.3213,0.914,1
2.072,-0.5562,-0.0241,0.7076,0.9,1
2.074,-0.1933,-0.1162,0.7573,0.79,1
2.074,-0.138,-0.14,0.7589,0.784,1
2.074,-0.0467,-0.1867,0.7419,0.7659999999999999,1
2.08,0.1921,-0.2643,0.7196,0.79,1
2.09,0.5046,-0.3928,0.4914,0.8059999999999999,1
2.1,0.5623,-0.3967,0.3307,0.763,1
2.11,0.4366,-0.2778,0.2162,0.561,1
2.12,0.4116,-0.0268,0.0501,0.41600000000000004,1
2.13,0.5793,0.0878,0.1139,0.597,1
2.172,0.7293,0.0645,0.3133,0.7959999999999999,1
2.172,0.7796,-0.1237,0.5409,0.9570000000000001,1
2.172,0.5893,-0.2828,0.5163,0.833,1
2.172,0.2821,-0.4115,0.476,0.69,1
2.183,0.016,-0.4074,0.154,0.436,1
2.196,-0.3072,-0.262,-0.0112,0.40399999999999997,1
2.199,-0.5294,0.0786,-0.4713,0.713,1
2.213,-0.5364,0.4548,-1.1598,1.3559999999999999,1
2.22,-0.3201,0.4004,-0.7218,0.885,1
2.23,-0.1781,0.2105,-0.88,0.922,1
