time,ax,ay,az,aT
0.0160,0.2256,0.1671,-0.1168,0.304
0.0170,0.2866,0.0989,-0.0576,0.309
0.0170,0.2708,-0.0460,0.0018,0.275
0.0270,0.2414,-0.0843,0.0801,0.268
0.0370,0.1970,-0.0900,0.0212,0.218
0.0470,0.2009,-0.0604,-0.0084,0.210
0.0570,0.1793,-0.0403,-0.0770,0.199
0.0670,0.1551,0.0269,-0.0477,0.164
0.0770,0.0439,0.0068,-0.0088,0.045
0.0940,-0.0067,-0.0628,0.0300,0.070
0.0970,-0.0723,-0.0700,0.0683,0.122
0.1070,-0.0740,-0.0518,0.0484,0.102
0.1170,-0.0540,0.0247,-0.0009,0.059
0.1270,-0.0556,0.0334,-0.0208,0.068
0.1440,-0.0177,0.0310,-0.0209,0.041
0.1460,-0.0284,0.0500,0.0080,0.058
0.1570,-0.0571,0.0477,0.0176,0.076
0.1670,-0.0779,0.0374,-0.0219,0.089
0.1770,-0.0395,0.0451,-0.0220,0.064
0.1870,-0.0021,0.0359,-0.0323,0.048
0.1970,0.0497,0.0626,-0.0321,0.086
0.2070,0.0467,0.0249,-0.0228,0.058
0.2170,-0.0340,0.0058,0.0062,0.035
0.2270,-0.0471,0.0257,0.0059,0.054
0.2440,-0.0759,-0.0217,-0.0142,0.080
0.2460,-0.1200,-0.0231,0.0248,0.125
0.2570,-0.1652,-0.0115,0.0339,0.169
0.2670,-0.1032,-0.0228,0.0143,0.107
0.2770,-0.0669,0.0260,-0.0054,0.072
0.2870,-0.0357,0.0547,-0.0054,0.066
0.2970,-0.0221,0.0440,0.0141,0.051
0.3110,-0.0386,0.0351,-0.0155,0.054
0.3170,-0.0443,0.0161,-0.0647,0.080
0.3270,-0.0218,0.0377,-0.0062,0.044
0.3450,-0.0102,0.0193,-0.0260,0.034
0.3460,-0.0075,0.0123,-0.0166,0.022
0.3570,-0.0146,-0.0237,0.0221,0.036
0.3670,-0.0613,-0.0215,0.0708,0.096
0.3770,-0.0767,0.0379,-0.0078,0.086
0.3870,-0.0464,0.0300,-0.0178,0.058
0.3970,-0.0165,0.0402,0.0016,0.043
0.4070,0.0125,0.1206,-0.0573,0.134
0.4170,0.0299,0.0899,-0.0375,0.102
0.4270,-0.0101,0.0724,-0.0279,0.078
0.4440,-0.0194,0.0638,0.0601,0.090
0.4470,-0.0019,0.0557,-0.0085,0.056
0.4570,-0.0120,-0.0094,0.0204,0.025
0.4670,0.0243,0.0027,-0.0090,0.026
0.4770,0.0498,-0.0322,0.0004,0.059
0.4870,0.0076,-0.0195,-0.0292,0.036
0.4970,0.0060,-0.0536,0.0095,0.055
0.5070,0.0140,-0.0116,0.0190,0.026
0.5170,0.0036,-0.0175,0.0285,0.034
0.5270,-0.0656,-0.0239,0.0772,0.104
0.5440,-0.1006,-0.0850,0.1939,0.234
0.5470,-0.1214,-0.0830,0.1937,0.243
0.5570,-0.1078,-0.1158,0.0556,0.168
0.5670,-0.0235,-0.0863,0.0362,0.096
0.5780,0.0394,-0.0452,0.0166,0.062
0.5870,0.0130,0.0128,0.0071,0.020
0.5970,0.0067,0.0218,-0.0513,0.056
0.6070,-0.0591,-0.0281,-0.0314,0.073
0.6170,-0.1172,-0.0070,-0.0217,0.119
0.6270,-0.1505,0.0230,-0.0217,0.154
0.6440,-0.1781,0.0145,-0.0807,0.196
0.6460,-0.1258,0.0852,-0.0022,0.152
0.6570,-0.1302,0.1037,-0.0215,0.168
0.6670,-0.0626,0.0768,0.0570,0.114
0.6770,-0.0348,0.0383,-0.0896,0.103
0.6870,-0.0603,-0.0595,-0.1183,0.146
0.6970,-0.0350,-0.0571,-0.3337,0.340
0.7080,0.0073,0.0121,0.0199,0.024
0.7170,-0.0925,0.1114,0.8245,0.837
0.7270,-0.4222,0.1440,0.5798,0.732
0.7440,-0.3758,-0.0831,-0.1073,0.400
0.7470,-0.0746,-0.2585,-0.2043,0.338
0.7570,0.0432,-0.3170,0.0707,0.328
0.7670,-0.0674,-0.2573,-0.0059,0.266
0.7770,-0.0007,-0.2473,0.0832,0.261
0.7870,0.1342,-0.1791,-0.0127,0.224
0.7970,0.3176,-0.1950,-0.1279,0.394
0.8070,0.3968,-0.1179,-0.2042,0.462
0.8170,0.3350,-0.0425,-0.0536,0.342
0.8270,0.2213,0.0244,0.0072,0.223
0.8430,0.1723,0.0402,0.0198,0.178
0.8470,0.1523,0.0384,0.0707,0.172
0.8570,0.0546,0.0163,0.1216,0.134
0.8670,0.0292,0.0337,0.0840,0.095
0.8770,0.0496,-0.0183,0.0075,0.053
0.8870,0.1405,-0.0122,-0.0493,0.149
0.8960,0.1668,0.0688,0.0025,0.180
0.9070,0.1331,0.1818,0.0729,0.237
0.9180,0.0311,0.1614,0.0851,0.185
0.9270,-0.0074,0.1179,0.0963,0.152
0.9370,-0.0166,0.0613,0.1568,0.169
0.9460,-0.0643,0.0561,0.2269,0.242
0.9570,-0.1098,0.0207,0.2575,0.281
0.9670,-0.1009,-0.0538,0.1122,0.160
0.9840,-0.0541,-0.1069,0.0354,0.125
0.9880,0.0110,0.0133,0.1552,0.156
