time,ax,ay,az,aT,label
0.01,0.2078,0.0769,-0.2636,0.344,0
0.011,0.1345,0.1011,-0.1064,0.19899999999999998,0
0.011,0.2275,-0.116,0.0014,0.255,0
0.02,0.0838,-0.064,0.0895,0.138,0
0.031,-0.0675,0.0328,0.1091,0.132,0
0.04,-0.0022,0.041,0.0208,0.046,0
0.068,0.0236,0.0015,-0.0772,0.081,0
0.068,-0.0092,0.0105,-0.038,0.04,0
0.078,-0.0819,-0.0002,0.0011,0.08199999999999999,0
0.08,-0.0723,-0.0282,-0.0185,0.08,0
0.09,-0.0659,-0.0094,0.0108,0.067,0
0.126,-0.0289,0.0102,-0.0186,0.036000000000000004,0
0.127,-0.0522,0.0301,0.0107,0.061,0
0.127,-0.0349,-0.0171,0.0596,0.071,0
0.136,-0.0395,-0.0163,-0.0188,0.047,0
0.139,-0.0331,-0.0053,-0.0385,0.051,0
0.15,-0.0575,-0.0137,-0.019,0.062,0
0.166,-0.0608,-0.0208,-0.0191,0.067,0
0.169,-0.0494,-0.0406,0.02,0.067,0
0.184,-0.0463,-0.0746,0.0492,0.10099999999999999,0
0.19,-0.0289,-0.0755,0.0983,0.127,0
0.2,-0.0196,-0.0239,0.0492,0.057999999999999996,0
0.243,-0.0132,0.0038,-0.0193,0.024,0
0.243,-0.0144,0.0232,-0.0585,0.065,0
0.244,0.042,0.0129,-0.0487,0.066,0
0.244,0.0304,0.0037,-0.0585,0.066,0
0.25,-0.0105,-0.0259,0.0395,0.048,0
0.266,-0.029,-0.0514,0.0687,0.091,0
0.269,-0.03,-0.0805,0.0393,0.094,0
0.283,-0.0294,-0.0381,0.049,0.069,0
0.29,-0.0309,-0.0476,0.0196,0.06,0
0.301,0.0068,-0.0167,0.0293,0.034,0
0.344,0.035,-0.0059,0.0293,0.046,0
0.345,0.0709,0.0138,0.0097,0.073,0
0.345,0.0809,0.025,-0.0099,0.085,0
0.346,0.0505,-0.0129,-0.0394,0.065,0
0.353,-0.006,0.0085,0.0291,0.031,0
0.366,-0.0031,0.0095,0.029,0.031,0
