time,ax,ay,az,aT,label
0.011,1.1121,-0.2072,-0.4203,1.207,1
0.012,0.5458,-0.0404,-0.2714,0.611,1
0.013,0.1905,0.0362,0.0437,0.19899999999999998,1
0.029,0.2875,-0.1416,0.1702,0.363,1
0.031,0.1318,-0.127,0.1504,0.237,1
0.077,-0.0507,0.0582,0.0519,0.09300000000000001,1
0.079,-0.0805,0.0814,0.0315,0.11900000000000001,1
0.08,-0.0926,0.0784,0.0209,0.12300000000000001,1
0.08,-0.1665,0.0724,0.0195,0.183,1
0.08,-0.2005,0.0505,0.0485,0.212,1
0.102,-0.2057,0.0745,0.0471,0.22399999999999998,1
0.102,-0.1622,0.0825,-0.0022,0.182,1
0.146,-0.1243,0.0778,-0.0128,0.147,1
0.148,-0.0642,0.0576,0.0262,0.09,1
0.149,-0.0513,-0.0014,0.0651,0.083,1
0.15,-0.0312,-0.0117,0.0847,0.091,1
0.151,0.0174,-0.002,0.0553,0.057999999999999996,1
0.162,0.0466,0.0468,0.0161,0.068,1
0.179,0.0354,0.007,-0.0424,0.055999999999999994,1
0.18,-0.0025,0.0364,-0.023,0.043,1
0.194,0.0186,0.0447,-0.0035,0.049,1
0.21,0.0108,-0.0037,0.0649,0.066,1
0.211,0.0129,-0.0122,0.0254,0.031,1
0.247,0.0545,-0.0214,0.0447,0.07400000000000001,1
0.248,0.0729,0.0272,-0.0041,0.078,1
0.249,0.1149,0.038,0.0151,0.122,1
0.263,0.0762,0.0089,0.0249,0.081,1
0.263,0.0026,-0.0098,0.044,0.045,1
0.277,-0.0204,-0.0178,0.0531,0.06,1
0.293,-0.0347,-0.0267,0.082,0.09300000000000001,1
0.293,-0.0185,-0.0248,0.1009,0.106,1
0.308,0.0253,-0.0049,0.0808,0.085,1
0.311,0.0567,-0.0235,0.0708,0.094,1
0.32,0.0907,-0.0239,0.0606,0.11199999999999999,1
0.346,0.0738,0.0233,0.0309,0.083,1
0.348,0.0221,0.003,0.0303,0.038,1
0.359,-0.0184,0.0211,0.0197,0.034,1
0.361,-0.0309,0.0308,-0.0005,0.044000000000000004,1
0.371,-0.0419,0.0391,-0.0111,0.057999999999999996,1
0.381,-0.0453,0.0496,-0.0019,0.067,1
0.4,-0.0835,0.0388,0.0362,0.099,1
0.401,-0.0765,0.0102,0.0356,0.085,1
0.41,-0.0665,-0.0268,0.0836,0.11,1
0.42,-0.0703,-0.0555,0.0733,0.11599999999999999,1
0.444,-0.0246,-0.0525,0.053,0.079,1
0.444,0.0194,-0.0619,0.0427,0.078,1
0.46,0.0515,-0.0494,0.0326,0.078,1
0.46,0.057,-0.0495,0.0812,0.111,1
0.475,0.0508,-0.057,0.0808,0.111,1
0.49,0.0173,-0.0774,0.0803,0.113,1
0.49,0.0503,-0.1125,0.0309,0.127,1
0.5,0.0169,-0.0746,0.0402,0.086,1
0.532,0.0599,-0.0348,0.0203,0.07200000000000001,1
0.533,0.0665,0.0127,0.0884,0.111,1
0.533,0.0802,0.0389,0.1176,0.14800000000000002,1
0.548,0.0684,0.0369,0.1464,0.166,1
0.564,0.0559,-0.0233,0.2439,0.251,1
0.564,0.0165,-0.0272,0.2138,0.21600000000000003,1
0.58,0.0539,0.0257,0.2427,0.25,1
0.581,0.0338,-0.0292,0.1931,0.198,1
0.597,0.0417,-0.0436,0.2024,0.21100000000000002,1
0.613,0.0409,-0.0807,0.143,0.16899999999999998,1
