time,ax,ay,az,aT
0.0160,0.1928,0.0778,-0.1011,0.231
0.0170,0.1198,-0.0226,-0.1399,0.186
0.0170,0.1736,-0.0611,-0.0315,0.187
0.0230,0.1478,-0.0426,0.0268,0.156
0.0350,0.0717,-0.0137,0.0462,0.086
0.0410,0.0099,-0.0426,0.0847,0.095
0.0960,-0.0778,-0.0320,0.1130,0.141
0.0970,-0.0904,-0.0513,0.1319,0.168
0.0970,-0.0920,-0.0123,0.0231,0.096
0.0980,-0.0400,0.0159,0.0130,0.045
0.0980,-0.0454,-0.0231,0.0616,0.080
0.1040,-0.0717,0.0057,0.0907,0.116
0.1100,-0.0852,0.0052,0.0116,0.086
0.1210,-0.0927,0.0541,0.0309,0.112
0.1350,-0.0790,0.0615,0.0501,0.112
0.1400,-0.0490,0.0218,0.0991,0.113
0.1880,-0.0657,0.0214,0.0497,0.085
0.1880,-0.0657,-0.0375,0.1085,0.132
0.1890,-0.0444,-0.0358,0.1084,0.122
0.1890,-0.0170,-0.0469,0.0988,0.111
0.1990,0.0199,-0.0549,0.0206,0.062
0.2000,0.0178,-0.0465,0.0306,0.058
0.2110,0.0543,-0.0262,0.0701,0.092
0.2210,0.0517,-0.0096,0.0507,0.073
0.2310,0.0682,0.0283,0.0314,0.080
0.2410,0.0571,0.0161,0.0315,0.067
0.2680,0.0565,0.0063,0.0512,0.077
0.2690,0.0185,0.0054,0.0608,0.064
0.2800,0.0114,-0.0127,0.0606,0.063
0.2810,0.0236,0.0063,0.0603,0.065
0.2910,0.0069,-0.0023,0.0502,0.051
0.3050,-0.0003,-0.0508,0.0304,0.059
0.3100,-0.0068,-0.0291,0.0595,0.067
0.3550,-0.0248,-0.0492,0.0789,0.096
0.3560,-0.0688,-0.0556,0.0687,0.112
0.3560,-0.0583,-0.0367,0.0686,0.097
0.3560,-0.0555,-0.0061,0.0487,0.074
0.3650,-0.0370,-0.0462,0.0586,0.083
0.3730,-0.0647,-0.0439,0.1075,0.133
0.3810,-0.0276,-0.0548,0.0489,0.078
0.3900,-0.0188,-0.0241,0.0294,0.042
0.4040,0.0085,0.0053,0.0492,0.050
0.4100,0.0257,-0.0039,0.0887,0.092
0.4210,0.0133,-0.0441,0.0497,0.068
0.4540,0.0683,0.0050,0.0207,0.072
0.4550,0.0670,-0.0247,0.0796,0.107
0.4550,-0.0645,-0.0897,0.1380,0.177
0.4610,-0.0318,-0.1601,0.1964,0.255
0.4700,-0.0174,-0.1353,0.1078,0.174
0.4840,0.0507,-0.0492,0.0784,0.106
0.4900,0.0671,-0.0304,0.0297,0.079
0.5020,0.0372,-0.0322,0.1180,0.128
0.5100,0.0190,-0.0614,0.1276,0.143
0.5210,0.0407,-0.0729,0.0783,0.114
0.5680,0.0233,0.0028,0.0388,0.045
0.5690,0.0374,0.0202,0.1168,0.124
0.5690,0.0038,-0.0116,0.1162,0.117
0.5700,0.0288,-0.0136,0.0960,0.101
0.5710,0.0226,-0.0255,0.1054,0.111
0.5810,0.0745,0.0099,0.0364,0.084
0.5910,0.0566,0.0248,0.0754,0.097
0.6030,0.1309,0.0017,0.1336,0.187
0.6130,0.1740,-0.0411,0.0939,0.202
0.6200,0.1719,-0.0350,0.1029,0.203
0.6480,0.2158,-0.0014,0.1121,0.243
0.6490,0.2303,0.0529,0.1205,0.265
0.6510,0.2295,0.0726,0.0508,0.246
0.6620,0.1525,0.0773,0.0390,0.175
0.6700,0.0936,0.0398,0.0175,0.103
0.6810,0.0696,0.0452,-0.0043,0.083
0.6900,-0.0027,0.0291,0.0619,0.068
0.7030,-0.0544,0.0256,0.1675,0.178
0.7120,-0.1024,-0.1027,0.3415,0.371
0.7200,-0.0866,-0.1575,0.4964,0.528
0.7610,-0.0306,-0.2079,0.6512,0.684
0.7620,0.0610,-0.2593,0.6592,0.711
0.7620,0.1522,-0.2580,0.7458,0.804
0.7630,0.1917,-0.2308,0.6554,0.721
0.7700,0.1578,-0.1910,0.6236,0.671
0.7810,0.1368,-0.1398,0.6500,0.679
0.7900,0.0452,-0.1372,0.7352,0.749
0.8030,-0.0291,-0.1502,0.6929,0.710
0.8120,-0.0410,-0.0981,0.5726,0.582
0.8200,-0.0320,-0.1074,0.4627,0.476
0.8470,-0.0030,-0.1448,0.2356,0.277
0.8480,0.0197,-0.1567,0.1269,0.203
0.8510,0.0336,-0.1757,0.1365,0.225
0.8620,-0.0067,-0.1299,0.2057,0.243
0.8700,-0.0651,-0.1311,0.2952,0.329
0.8810,-0.1638,-0.0484,0.3465,0.386
0.8900,-0.1609,0.0037,0.4477,0.476
0.9010,-0.1884,-0.0291,0.5104,0.545
0.9450,-0.2131,-0.0757,0.4958,0.545
0.9470,-0.3296,-0.0966,0.5509,0.649
0.9470,-0.4817,-0.1951,0.6173,0.807
0.9470,-0.6833,-0.2723,0.6357,0.972
0.9500,-0.7395,-0.2976,0.6955,1.058
0.9620,-0.8633,-0.2955,0.6481,1.119
0.9710,-0.8705,-0.2143,0.6231,1.092
0.9810,-0.8299,-0.1278,0.4803,0.967
0.9900,-0.6882,-0.0103,0.4389,0.816
1.0020,-0.6147,0.1047,0.3187,0.700
1.0420,-0.5800,0.1639,0.2031,0.636
1.0430,-0.5689,0.2873,0.1358,0.652
1.0430,-0.5297,0.3681,0.1330,0.659
1.0440,-0.5039,0.4502,0.0894,0.682
1.0500,-0.4457,0.4594,0.0908,0.646
1.0620,-0.3708,0.4925,0.1094,0.626
1.0710,-0.4037,0.5369,0.1051,0.680
1.0810,-0.4684,0.5995,0.1364,0.773
1.0900,-0.5018,0.5579,0.2043,0.778
1.1020,-0.5314,0.5631,0.2379,0.810
1.1560,-0.5105,0.4956,0.3276,0.783
1.1570,-0.4369,0.5101,0.3634,0.764
1.1570,-0.4072,0.5764,0.3472,0.787
1.1570,-0.3709,0.5594,0.2866,0.730
1.1570,-0.3493,0.4306,0.2225,0.597
1.1650,-0.2915,0.3229,0.1242,0.452
1.1710,-0.1936,0.1988,0.0883,0.291
1.1810,-0.1545,0.1691,0.0198,0.230
1.1900,-0.1261,0.0889,0.0412,0.160
1.2020,-0.1364,0.0602,-0.0377,0.154
1.2450,-0.1098,0.0124,0.0307,0.115
1.2460,-0.0851,0.0228,-0.0501,0.101
1.2470,-0.0365,0.0117,-0.1702,0.174
1.2490,0.1220,0.1153,-0.2526,0.303
1.2510,0.2622,0.1547,-0.3857,0.491
1.2620,0.4133,0.2095,-0.4526,0.648
1.2700,0.5358,0.1511,-0.4032,0.687
1.2810,0.6338,0.1683,-0.5393,0.849
1.2910,0.6869,0.0909,-0.6583,0.956
1.3020,0.7720,0.0516,-0.5794,0.967
1.3420,0.8081,0.0082,-0.7300,1.089
1.3430,0.8435,0.0309,-0.7889,1.155
1.3440,0.8840,-0.0005,-0.8226,1.208
1.3440,0.9467,-0.0028,-0.7948,1.236
1.3500,0.8782,0.0005,-0.8296,1.208
1.3620,0.9212,-0.0549,-0.7349,1.180
1.3700,0.8502,-0.0862,-0.5700,1.027
1.3810,0.9098,-0.1742,-0.4888,1.047
1.3900,0.9489,-0.2046,-0.5166,1.100
1.4020,0.9746,-0.3080,-0.3403,1.077
1.4450,0.8692,-0.3573,-0.5090,1.069
1.4460,0.7741,-0.4479,-0.5407,1.045
1.4470,0.7575,-0.5070,-0.4781,1.029
1.4470,0.8786,-0.5165,-0.3863,1.090
1.4510,0.9411,-0.5047,-0.4376,1.154
1.4610,1.1115,-0.4814,-0.3205,1.253
1.4710,1.1005,-0.5130,-0.2798,1.246
1.4810,1.0618,-0.5845,-0.1552,1.222
1.4900,0.8507,-0.6571,-0.2826,1.111
1.5010,0.7573,-0.7393,-0.1391,1.067
1.5510,0.6773,-0.7690,-0.1217,1.032
1.5520,0.8204,-0.7684,0.0304,1.124
1.5520,0.9942,-0.7409,0.2197,1.259
1.5520,1.1912,-0.6552,0.1164,1.364
1.5520,1.3884,-0.5592,0.1222,1.502
1.5610,1.6126,-0.4831,0.2456,1.701
1.5700,1.5397,-0.3893,0.2359,1.606
1.5810,1.7043,-0.4416,0.2651,1.780
1.5910,1.7326,-0.3900,0.1438,1.782
1.6020,1.9085,-0.2891,0.2681,1.949
1.6440,1.8601,-0.1162,0.2495,1.880
1.6460,1.8241,0.0409,0.3960,1.867
1.6470,1.7128,0.0094,0.5468,1.798
1.6470,1.7414,-0.0672,0.7314,1.890
1.6500,1.6081,-0.0632,0.9430,1.865
1.6610,1.5661,0.0030,1.0461,1.883
1.6710,1.4050,0.0509,1.0104,1.731
1.6810,1.3216,0.0438,0.9632,1.636
1.6910,1.2054,0.0008,1.0119,1.574
1.7010,1.1638,-0.0208,0.9618,1.510
1.7390,1.0824,-0.0679,0.9186,1.421
1.7400,1.0285,-0.1238,0.8168,1.319
