time,ax,ay,az,aT,label
0.009,0.2029,0.0461,-0.2022,0.29,0
0.009,0.2757,-0.1791,-0.1429,0.358,0
0.023,0.2435,-0.0679,-0.1417,0.29,0
0.028,0.1086,0.0293,-0.0341,0.11800000000000001,0
0.037,0.0701,-0.0287,0.0344,0.083,0
0.054,0.0641,-0.0881,-0.0247,0.11199999999999999,0
0.057,-0.0191,0.0086,-0.0055,0.022000000000000002,0
0.07,-0.0828,0.0174,-0.0452,0.096,0
0.077,-0.15,0.0254,-0.0658,0.166,0
0.089,-0.1367,0.0253,0.0123,0.14,0
0.12,-0.138,0.0246,0.0115,0.141,0
0.12,-0.1074,0.0055,0.0408,0.115,0
0.121,-0.1115,-0.013,0.0404,0.11900000000000001,0
0.129,-0.0532,0.0166,0.011,0.057,0
0.138,0.0047,0.0067,0.0111,0.013999999999999999,0
0.152,0.0132,-0.0221,-0.0378,0.046,0
0.157,0.0394,0.0261,-0.0375,0.06,0
0.17,0.0774,0.017,-0.0472,0.092,0
0.177,0.0357,0.0168,-0.0372,0.054000000000000006,0
0.187,0.075,0.027,-0.0568,0.098,0
0.222,0.0627,-0.0016,-0.0468,0.078,0
0.223,0.0148,0.0089,-0.0567,0.059000000000000004,0
0.223,-0.0121,-0.0094,0.0117,0.019,0
0.23,-0.0096,-0.0087,0.0017,0.013000000000000001,0
0.238,-0.0257,0.0017,0.0112,0.027999999999999997,0
0.247,-0.0631,-0.0269,0.0306,0.075,0
0.257,-0.0307,-0.0342,0.001,0.046,0
0.267,-0.0293,-0.0042,-0.0481,0.055999999999999994,0
0.277,-0.0269,-0.0035,0.0105,0.028999999999999998,0
0.288,-0.0066,0.0071,0.0104,0.013999999999999999,0
0.298,0.0318,0.0077,-0.0091,0.034,0
0.307,0.0226,0.0183,-0.0581,0.065,0
0.323,0.003,0.0276,-0.0091,0.028999999999999998,0
0.327,0.0332,0.0088,-0.0288,0.045,0
0.337,0.0045,0.0091,-0.0092,0.013999999999999999,0
0.347,-0.0038,0.0,-0.0192,0.02,0
0.357,0.0167,-0.0087,0.0003,0.019,0
0.371,0.0283,-0.0179,-0.0292,0.044000000000000004,0
0.377,0.029,0.0021,0.0001,0.028999999999999998,0
0.387,0.0219,-0.0271,-0.0099,0.036000000000000004,0
0.409,0.0241,-0.0164,-0.0002,0.028999999999999998,0
0.41,0.0276,-0.0457,0.0092,0.054000000000000006,0
0.419,0.0297,-0.0438,0.0286,0.06,0
0.427,0.0428,-0.0048,-0.0206,0.048,0
0.437,0.0628,0.0231,-0.0598,0.09,0
0.447,0.0371,0.0325,-0.0209,0.054000000000000006,0
0.457,0.0116,0.0213,-0.0213,0.032,0
0.467,-0.0023,-0.0083,-0.0021,0.009000000000000001,0
0.477,-0.0338,-0.0365,0.0266,0.055999999999999994,0
0.498,-0.0376,-0.0075,0.0261,0.046,0
0.499,-0.0024,-0.0356,0.0158,0.039,0
0.508,0.0417,-0.0459,0.0449,0.077,0
0.521,0.0352,-0.0541,0.0937,0.114,0
0.527,0.0891,-0.1139,0.0835,0.16699999999999998,0
0.537,0.0813,-0.073,0.0539,0.122,0
0.553,0.1264,-0.1047,0.0632,0.17600000000000002,0
0.557,0.1086,-0.0372,0.0337,0.12,0
0.567,0.1457,0.0376,0.0527,0.159,0
0.577,0.1768,0.032,0.2094,0.276,0
0.588,0.07,0.0076,0.0125,0.07200000000000001,0
0.598,0.0813,0.0199,0.1979,0.215,0
0.607,0.1193,0.0424,0.2554,0.285,0
0.626,0.1878,-0.0611,0.3626,0.413,0
0.628,0.2521,-0.2667,0.4988,0.619,0
0.637,0.2698,-0.427,0.7434,0.899,1
0.647,0.3283,-0.5903,1.203,1.38,1
0.657,0.369,-0.7784,1.6436,1.8559999999999999,1
0.67,0.4714,-0.9176,1.7009,1.989,1
0.677,0.5882,-0.8857,1.622,1.939,1
0.687,0.5157,-0.8398,1.4731,1.7719999999999998,1
0.707,0.4379,-0.7619,1.1873,1.4769999999999999,1
0.708,0.5042,-0.6455,0.7637,1.12,1
0.718,0.5637,-0.5492,0.4884,0.9259999999999999,1
0.727,0.6103,-0.48,0.3309,0.8440000000000001,1
0.737,0.4907,-0.4049,0.3117,0.708,1
0.747,0.3466,-0.4603,0.3132,0.6559999999999999,1
0.757,0.0767,-0.3752,0.4132,0.563,1
0.771,-0.212,-0.3194,0.435,0.58,1
0.777,-0.4423,-0.0771,0.4505,0.636,1
0.787,-0.7582,-0.0377,0.5274,0.924,1
0.812,-0.9759,0.0212,0.6358,1.165,1
0.813,-1.051,0.0354,0.7269,1.278,1
0.817,-1.1362,0.0297,0.7719,1.374,1
0.827,-1.2526,0.0174,0.6907,1.431,1
0.838,-1.3839,0.0341,0.6631,1.535,1
0.847,-1.5718,0.2016,0.4201,1.639,1
0.857,-1.5705,0.3271,0.2835,1.629,1
0.867,-1.5906,0.4032,0.1625,1.649,1
0.877,-1.5622,0.4334,0.0812,1.6230000000000002,1
0.902,-1.5783,0.4707,0.1002,1.65,1
0.904,-1.4998,0.4616,-0.1046,1.5730000000000002,1
0.907,-1.4753,0.4429,-0.3,1.569,1
0.917,-1.3671,0.3766,-0.5711,1.5290000000000001,1
0.927,-1.2837,0.4232,-0.4728,1.432,1
0.937,-1.2046,0.4226,-0.4705,1.361,1
0.947,-1.1821,0.4274,-0.2956,1.291,1
0.957,-1.0637,0.406,-0.3451,1.19,1
0.968,-0.8858,0.3285,-0.2701,0.983,1
0.977,-0.7421,0.2418,-0.2762,0.828,1
0.994,-0.5426,0.2094,-0.193,0.613,1
0.998,-0.2506,0.1538,-0.0774,0.304,1
1.007,0.01,0.0371,0.0158,0.042,1
1.017,0.1595,-0.0548,-0.0005,0.16899999999999998,1
1.027,0.2034,0.0695,-0.2313,0.316,1
1.037,0.2512,0.2951,-0.4064,0.562,1
1.047,0.3367,0.5123,-0.6071,0.863,1
1.057,0.422,0.6595,-0.8984,1.192,1
1.068,0.5301,0.6272,-0.9312,1.242,1
1.09,0.5524,0.4309,-0.726,1.0090000000000001,1
1.09,0.5828,0.1221,-0.5526,0.812,1
1.097,0.5472,-0.1861,-0.5458,0.795,1
1.107,0.5336,-0.2638,-0.5689,0.823,1
1.117,0.5198,-0.122,-0.6281,0.8240000000000001,1
1.127,0.5346,-0.04,-0.6412,0.836,1
1.137,0.6744,-0.2049,-0.6532,0.961,1
1.147,0.7875,-0.3523,-0.6975,1.109,1
1.157,0.7722,-0.5027,-0.7935,1.216,1
1.168,0.7373,-0.6162,-0.8684,1.295,1
1.197,0.6796,-0.6344,-0.9362,1.319,1
1.198,0.652,-0.5893,-0.9819,1.318,1
1.198,0.6056,-0.5233,-1.0172,1.294,1
1.207,0.6638,-0.5535,-1.0934,1.3940000000000001,1
1.218,0.7239,-0.5604,-1.0326,1.38,1
1.229,0.7567,-0.6237,-1.141,1.504,1
1.237,0.6937,-0.6456,-1.239,1.56,1
1.247,0.5865,-0.6053,-1.3014,1.55,1
1.259,0.4103,-0.5614,-1.2415,1.423,1
1.269,0.216,-0.5484,-1.0656,1.218,1
1.304,0.0495,-0.6015,-0.9794,1.15,1
1.305,-0.0327,-0.6913,-0.7967,1.055,1
