time,ax,ay,az,aT
0.0110,-0.2170,0.0789,0.0288,0.233
0.0110,-0.3155,0.0774,0.0757,0.334
0.0120,-0.2655,0.0638,0.0711,0.282
0.0180,-0.2683,0.0534,0.1284,0.302
0.0410,-0.2138,0.0134,0.0955,0.235
0.0420,-0.1025,-0.0258,0.0752,0.130
0.1230,-0.0395,0.0220,0.0154,0.048
0.1240,0.0405,-0.0071,-0.0045,0.041
0.1250,0.1248,-0.0629,0.0158,0.141
0.1260,0.1657,-0.0136,0.0253,0.168
0.1270,0.2079,-0.0130,-0.0026,0.208
0.1280,0.2311,-0.0130,-0.0132,0.232
0.1280,0.1976,-0.0031,-0.0319,0.200
0.1280,0.1450,-0.0328,0.0157,0.149
0.1290,0.0710,-0.0316,0.0147,0.079
0.1930,-0.0083,-0.0321,0.0029,0.033
0.1940,-0.0828,-0.0031,0.0293,0.088
0.1950,-0.1164,0.0745,0.1044,0.173
0.1960,-0.1057,0.0523,0.1021,0.156
0.1970,-0.1055,0.0422,0.1293,0.172
0.1970,-0.0723,0.0310,0.0970,0.125
0.1980,-0.0537,-0.0082,0.0951,0.110
0.2100,0.0130,-0.0174,0.0836,0.086
0.2270,0.0397,-0.0179,0.0527,0.068
0.2300,0.0356,-0.0554,0.0612,0.090
0.3130,0.1009,-0.0957,0.0991,0.171
0.3140,0.1038,-0.1115,0.0592,0.163
0.3150,0.0625,-0.0548,-0.0502,0.097
0.3150,0.0486,0.0104,-0.0807,0.095
0.3160,0.0188,0.0764,-0.0630,0.101
0.3160,-0.0294,0.1361,-0.0649,0.154
0.3170,-0.1174,0.1638,-0.0669,0.212
0.3170,-0.1967,0.1840,-0.0117,0.270
0.3180,-0.2662,0.1552,0.0452,0.311
0.3750,-0.3331,0.0847,-0.0080,0.344
0.3770,-0.3190,0.0193,0.0302,0.321
0.3770,-0.2754,-0.0714,0.0762,0.295
0.3780,-0.1786,-0.1064,0.0959,0.229
0.3780,-0.0893,-0.0507,0.1151,0.154
0.3790,0.0029,-0.0468,0.1456,0.153
0.3860,0.1291,-0.0228,0.1379,0.190
0.3960,0.2108,-0.0201,0.0803,0.226
0.4060,0.2065,-0.0266,0.0634,0.218
0.4170,0.2119,-0.0353,0.0937,0.234
0.4920,0.2089,-0.0425,-0.0115,0.213
0.4950,0.1472,-0.0619,-0.0403,0.165
0.4950,0.1189,0.0067,-0.0876,0.148
0.4960,0.0480,0.0562,-0.1067,0.130
0.4970,0.0161,0.1016,-0.0473,0.113
0.4970,-0.0132,0.0344,0.0702,0.079
0.4970,-0.0955,0.0255,0.1082,0.147
0.4980,-0.1042,-0.0021,0.1570,0.188
0.5060,-0.0705,-0.0283,0.1364,0.156
0.5510,-0.0040,-0.0856,0.1074,0.137
0.5520,0.0024,-0.1088,0.0589,0.124
0.5520,0.0078,-0.0880,0.0205,0.091
0.5530,0.0776,0.0103,-0.0462,0.091
0.5560,0.1412,0.0600,-0.0354,0.157
0.5720,0.1588,0.0492,-0.0427,0.172
0.6240,0.1172,0.0211,-0.0030,0.119
0.6250,0.0567,-0.0440,0.1050,0.127
0.6260,0.0273,-0.0818,0.0755,0.115
0.6260,0.0064,-0.0489,0.0365,0.061
0.6260,0.0136,-0.0381,-0.0708,0.082
0.6270,0.0672,0.0023,0.0381,0.077
0.6360,0.0753,0.0326,0.0973,0.127
0.6460,0.0634,0.0410,0.1468,0.165
0.6560,-0.0057,-0.0179,0.1273,0.129
0.6680,-0.0621,-0.0924,0.1267,0.169
0.7430,-0.1235,-0.0144,-0.0099,0.125
0.7440,-0.1139,0.0517,-0.0981,0.159
0.7440,-0.0413,0.1215,-0.0969,0.161
0.7450,-0.0551,0.1275,0.0020,0.139
0.7450,-0.0026,0.0710,0.1112,0.132
0.7460,0.0017,-0.0236,0.1417,0.144
0.7470,0.0338,-0.0512,0.1529,0.165
0.7470,-0.0121,0.0087,0.0465,0.049
0.7560,-0.0306,0.0099,-0.0300,0.044
0.7660,-0.1057,-0.0260,-0.0973,0.146
0.7840,-0.1076,0.0064,-0.0458,0.117
0.7880,-0.1240,-0.0090,0.0633,0.140
0.8520,-0.1476,-0.0145,0.1055,0.182
0.8530,-0.1181,-0.0094,0.0781,0.142
0.8530,-0.0275,-0.0147,0.0328,0.045
0.8540,0.0419,-0.0285,0.1251,0.135
0.8540,0.0629,-0.0340,0.0801,0.107
0.8550,0.1285,-0.0381,0.0950,0.164
0.8560,0.1598,-0.0444,0.1677,0.236
0.8710,0.1573,-0.0579,0.1629,0.234
0.8910,0.2786,-0.1140,0.1764,0.349
0.8930,0.1809,-0.0982,0.1809,0.274
0.9760,0.1304,-0.0496,0.0757,0.159
0.9770,0.1715,-0.0403,-0.0082,0.176
0.9780,0.1429,-0.0244,-0.0550,0.155
0.9780,0.0170,-0.0455,0.1039,0.115
0.9780,0.0673,0.0979,-0.0998,0.155
0.9790,0.1032,0.1464,-0.1062,0.208
0.9790,0.1729,0.0855,-0.0256,0.195
0.9790,0.0453,-0.0031,0.1141,0.123
0.9800,0.0372,-0.0911,0.2632,0.281
0.9860,0.0402,-0.1712,0.2745,0.326
0.9980,0.1185,-0.1817,0.1887,0.288
1.0060,0.1784,-0.1385,0.1345,0.263
1.0720,0.2334,-0.1815,0.1184,0.318
1.0730,0.0033,-0.0379,-0.1622,0.167
1.0740,-0.1126,0.1612,-0.1894,0.273
1.0740,-0.1782,0.1289,-0.1899,0.291
1.0750,-0.2195,0.1529,-0.1206,0.293
1.0760,-0.1675,0.1801,-0.1113,0.270
1.0770,-0.0049,0.1492,-0.0612,0.161
1.0860,0.1402,0.0680,0.1379,0.208
1.0990,0.2861,-0.0295,0.2585,0.387
1.1060,0.3058,-0.0569,0.4596,0.555
1.1670,0.2581,-0.1084,0.4128,0.499
1.1680,0.2253,-0.2199,0.7568,0.820
1.1690,0.1489,-0.3140,0.8937,0.959
1.1690,0.2225,-0.4422,0.9805,1.098
1.1700,0.1206,-0.4595,1.0578,1.160
1.1700,-0.0320,-0.4357,1.1694,1.248
1.1860,-0.4553,-0.4093,1.2735,1.413
1.1870,-0.4703,-0.3740,1.4371,1.558
1.2570,-0.4974,-0.4501,1.4430,1.591
1.2580,-0.3005,-0.4534,1.3756,1.479
1.2590,-0.3576,-0.3859,1.2772,1.381
1.2600,-0.4077,-0.1789,1.1826,1.264
1.2600,-0.5034,-0.1548,1.3015,1.404
1.2610,-0.5195,-0.1828,1.4133,1.517
1.2610,-0.4870,-0.3132,1.4183,1.532
1.2660,-0.3779,-0.2858,1.2817,1.366
1.2760,-0.3277,-0.1823,1.1838,1.242
1.2860,-0.3673,-0.0683,1.1196,1.180
1.2980,-0.5203,-0.0564,1.0320,1.157
1.3060,-0.6209,-0.0829,0.9259,1.118
1.3760,-0.5520,-0.0924,0.7503,0.936
1.3770,-0.4282,-0.0134,0.4922,0.653
1.3770,-0.3173,0.0216,0.2119,0.382
1.3780,-0.3452,0.1749,0.0584,0.391
1.3780,-0.3841,0.3545,-0.0624,0.526
1.3790,-0.4087,0.3976,-0.1828,0.599
1.3790,-0.4833,0.5101,-0.3912,0.804
1.3860,-0.5861,0.6382,-0.6058,1.057
1.3980,-0.6916,0.7852,-0.6087,1.211
1.4060,-0.7738,0.7309,-0.5886,1.216
1.4530,-0.7686,0.5455,-0.7114,1.181
1.4540,-0.7017,0.3209,-0.7940,1.107
1.4550,-0.6682,0.2353,-0.9688,1.200
1.4560,-0.6829,0.2808,-1.1188,1.340
1.4560,-0.7354,0.3586,-1.0770,1.353
1.4720,-0.6839,0.3373,-1.1728,1.399
1.5290,-0.6039,0.3137,-1.3038,1.471
1.5310,-0.4830,0.2179,-1.2381,1.347
1.5310,-0.3977,0.0807,-1.2787,1.342
1.5320,-0.2568,-0.0709,-1.4001,1.425
1.5320,0.0176,-0.2147,-1.3722,1.389
1.5330,0.3598,-0.3681,-1.3622,1.456
1.5360,0.5457,-0.4182,-1.3575,1.522
1.5490,0.6465,-0.4375,-1.4111,1.613
1.5580,0.7459,-0.4332,-1.4211,1.662
1.5680,0.8385,-0.4588,-1.1010,1.458
