time,ax,ay,az,aT
0.0080,0.1013,0.0579,-0.0584,0.130
0.0090,0.1139,-0.0579,-0.0878,0.155
0.0490,0.1624,-0.1291,-0.0093,0.208
0.0500,0.0761,-0.0210,0.0102,0.080
0.0510,-0.0169,0.0174,0.1475,0.149
0.0510,0.0086,-0.0217,0.0984,0.101
0.0590,-0.0033,-0.0613,0.0984,0.116
0.0740,0.0045,-0.0694,0.0493,0.085
0.0790,0.0612,-0.0127,0.0003,0.063
0.0890,0.0190,0.0514,-0.0289,0.062
0.1310,-0.0036,0.0669,-0.0190,0.070
0.1310,-0.0130,0.0533,-0.0189,0.058
0.1320,-0.0519,0.0316,0.0399,0.073
0.1320,-0.0962,0.0205,0.0791,0.126
0.1390,-0.0963,-0.0099,0.0890,0.132
0.1560,-0.0837,0.0000,0.1381,0.161
0.1580,-0.0359,0.0095,0.1087,0.115
0.1720,-0.0089,0.0087,0.0695,0.071
0.1790,0.0670,0.0084,-0.0284,0.073
0.1900,0.0703,0.0256,0.0109,0.076
0.2480,0.0759,0.0055,0.0403,0.086
0.2490,0.0593,-0.0240,0.0698,0.095
0.2500,0.0845,-0.0547,0.1287,0.163
0.2500,0.0973,-0.0545,0.1778,0.210
0.2500,0.0947,-0.0271,0.1092,0.147
0.2500,0.1089,-0.0860,0.1289,0.189
0.2590,0.1678,-0.0710,0.0409,0.187
0.2720,0.1175,-0.0916,-0.0276,0.152
0.2790,0.0520,-0.0659,0.0805,0.116
0.3310,0.0748,-0.0299,0.1690,0.187
0.3320,0.0335,0.0628,0.1596,0.175
0.3320,0.0109,0.1415,0.0229,0.144
0.3320,-0.0606,0.0884,-0.0256,0.110
0.3320,-0.1657,-0.0208,0.1121,0.201
0.3390,-0.2092,-0.1030,-0.0246,0.234
0.3550,-0.1502,-0.1210,-0.0928,0.214
0.3580,-0.1115,-0.0837,-0.0141,0.140
0.3710,-0.1301,-0.0246,0.1823,0.225
0.3790,-0.1751,-0.0475,0.3002,0.351
0.3890,-0.2306,-0.0474,0.3496,0.421
0.4450,-0.2569,-0.1716,0.3597,0.474
0.4450,-0.2065,-0.2464,0.4874,0.584
0.4460,-0.1099,-0.2478,0.5367,0.601
0.4460,0.1006,-0.2322,0.6054,0.656
0.4470,0.3031,-0.2892,0.6745,0.794
0.4550,0.3430,-0.2158,0.5963,0.721
0.4590,0.2956,-0.2430,0.4310,0.576
0.4690,0.2239,-0.2258,0.3343,0.461
0.4790,-0.0360,-0.1807,0.3762,0.419
0.4960,-0.1466,-0.1130,0.4284,0.467
0.4990,-0.1838,-0.0335,0.4124,0.453
0.5090,-0.2759,0.0163,0.5049,0.576
0.5470,-0.4510,0.1118,0.5089,0.689
0.5480,-0.5559,0.1444,0.6611,0.876
0.5480,-0.6753,0.1287,0.7142,0.991
0.5490,-0.8002,0.0825,0.8078,1.140
0.5590,-0.9129,0.1013,0.7917,1.213
0.5720,-0.8666,0.0048,0.7764,1.164
0.5780,-0.8614,0.0106,0.6613,1.086
0.6270,-0.8368,0.1036,0.6748,1.080
0.6280,-0.8500,0.1672,0.5003,1.000
0.6280,-0.7145,0.1492,0.4058,0.835
0.6290,-0.4281,0.1846,0.1732,0.497
0.6290,-0.1269,0.1886,-0.1160,0.255
0.6390,0.0351,0.2151,-0.2880,0.361
0.6490,-0.0084,0.3569,-0.5349,0.643
0.6590,-0.1780,0.3541,-0.6951,0.800
0.6690,-0.3861,0.2777,-0.5682,0.741
0.6790,-0.4683,0.2626,-0.2675,0.600
0.6900,-0.3920,0.3222,-0.0820,0.514
0.6990,-0.2896,0.3708,-0.0952,0.480
0.7090,-0.3265,0.5414,-0.3983,0.747
0.7450,-0.3748,0.5978,-0.6654,0.970
0.7460,-0.3249,0.4244,-0.6651,0.853
0.7470,-0.2527,0.2948,-0.4234,0.574
0.7490,-0.1909,0.3146,-0.2785,0.461
0.7590,-0.2121,0.3812,-0.3325,0.549
0.7690,-0.2647,0.4039,-0.4428,0.655
0.7780,-0.3252,0.4075,-0.5368,0.748
0.7890,-0.3892,0.3848,-0.6085,0.818
0.8020,-0.4509,0.2732,-0.5655,0.773
0.8090,-0.4547,0.0298,-0.3382,0.567
0.8440,-0.3686,-0.1298,0.0656,0.396
0.8460,-0.1545,-0.1803,0.2515,0.346
0.8460,0.0811,-0.1995,0.2635,0.340
0.8490,0.2182,-0.1230,0.2557,0.358
0.8590,0.1985,-0.0329,0.1810,0.271
0.8690,0.1805,-0.0206,0.0483,0.188
0.8790,0.1141,-0.1466,0.0039,0.186
0.8900,0.0041,-0.2438,-0.0225,0.245
0.9290,-0.1591,-0.3196,0.1484,0.387
0.9300,-0.1256,-0.3750,0.4815,0.623
0.9300,-0.0132,-0.4593,0.6822,0.823
0.9310,0.1406,-0.5121,0.7621,0.929
0.9390,0.2815,-0.5139,0.7010,0.914
0.9490,0.3617,-0.5243,0.6083,0.881
0.9590,0.4566,-0.5425,0.5490,0.897
0.9690,0.4267,-0.4272,0.4881,0.776
0.9790,0.4109,-0.2662,0.4973,0.698
0.9890,0.2865,-0.1592,0.2509,0.413
1.0390,0.1490,-0.2675,0.1905,0.361
1.0400,0.1172,-0.3958,0.2641,0.490
1.0400,0.0963,-0.4348,0.3706,0.579
1.0410,0.2379,-0.4157,0.3680,0.604
1.0410,0.3698,-0.3876,0.2813,0.605
1.0510,0.3748,-0.2423,0.1375,0.467
1.0590,0.3662,-0.2862,-0.0061,0.465
1.0700,0.4104,-0.3941,-0.1299,0.584
1.0790,0.4595,-0.5087,-0.1760,0.708
1.0890,0.4339,-0.5625,-0.2919,0.768
1.1000,0.4944,-0.4902,-0.3105,0.762
1.1090,0.5031,-0.2894,-0.3267,0.666
1.1470,0.5687,-0.1460,-0.3857,0.702
