time,ax,ay,az,aT
0.0080,0.2728,0.0098,-0.0891,0.287
0.0090,0.1808,-0.0106,-0.1380,0.228
0.0160,0.2583,0.0186,-0.0399,0.262
0.0270,0.2607,-0.0113,-0.0202,0.262
0.0310,0.1678,0.0490,-0.0105,0.175
0.0790,0.1210,0.0377,0.0287,0.130
0.0800,0.0613,0.0301,0.0383,0.078
0.0800,0.0109,-0.0082,0.0088,0.016
0.0810,-0.0474,0.0035,0.0184,0.051
0.0820,-0.0464,-0.0243,0.0085,0.053
0.0930,-0.0766,0.0079,0.0377,0.086
0.1010,-0.0492,-0.0200,0.0278,0.060
0.1110,-0.0526,-0.0073,0.0374,0.065
0.1270,-0.0658,0.0030,0.0570,0.087
0.1310,-0.0115,-0.0038,0.0568,0.058
0.1860,-0.0079,0.0061,-0.0019,0.010
0.1860,-0.0049,0.0073,0.0371,0.038
0.1860,-0.0026,-0.0210,0.0174,0.027
0.1870,-0.0016,-0.0119,0.0469,0.048
0.1870,-0.0010,0.0169,0.0077,0.019
0.1910,-0.0011,0.0461,-0.0118,0.048
0.2010,0.0465,-0.0025,-0.0216,0.051
0.2110,0.0965,-0.0018,-0.0118,0.097
0.2270,0.1042,-0.0203,0.0370,0.112
0.2310,0.0482,0.0100,0.0174,0.052
0.2420,0.0504,0.0196,-0.0021,0.054
0.2510,0.0069,0.0703,0.0271,0.076
0.2780,-0.0166,0.0216,-0.0022,0.027
0.2790,-0.0013,0.0231,0.0074,0.024
0.2870,0.0028,0.0137,0.0172,0.022
0.2990,-0.0035,0.0440,0.0662,0.080
0.3020,0.0085,0.0246,0.0466,0.053
0.3110,0.0006,0.0158,0.0465,0.049
0.3270,0.0300,0.0064,0.0171,0.035
0.3310,0.0307,0.0169,0.0072,0.036
0.3860,0.0298,0.0168,0.0072,0.035
0.3860,0.0298,-0.0022,-0.0025,0.030
0.3870,0.0383,0.0266,0.0268,0.054
0.3870,0.0582,0.0367,-0.0221,0.072
0.3870,0.0572,0.0172,0.0268,0.065
0.3910,0.0303,-0.0005,0.0169,0.035
0.4010,0.0323,0.0100,0.0365,0.050
0.4110,0.0269,-0.0066,0.0266,0.038
0.4260,0.0386,-0.0244,0.0363,0.058
0.4310,0.0418,0.0165,0.0264,0.052
0.4770,0.0427,-0.0023,0.0362,0.056
0.4780,0.0552,0.0188,-0.0030,0.058
0.4780,0.0842,0.0182,0.0165,0.088
0.4790,0.1077,0.0291,0.0067,0.112
0.4900,0.1186,0.0279,0.0068,0.122
0.5020,0.0567,0.0079,0.0460,0.073
0.5040,0.0633,0.0078,0.0853,0.107
0.5120,0.0826,-0.0816,0.2031,0.234
0.5260,0.1286,-0.0698,-0.0126,0.147
0.5310,0.2182,0.0358,-0.0418,0.225
0.5410,0.2421,0.1083,-0.0120,0.265
0.5510,0.2470,0.0850,0.0863,0.275
0.5820,0.2587,0.0331,0.2239,0.344
0.5830,0.3116,-0.0700,0.2833,0.427
0.5840,0.3393,-0.0806,0.1954,0.400
0.5920,0.4120,-0.0759,0.1570,0.447
0.6010,0.4001,-0.0604,0.1676,0.438
0.6110,0.3399,-0.0458,0.2377,0.417
0.6270,0.3136,-0.1092,0.3962,0.517
0.6310,0.3721,-0.0486,0.3594,0.520
0.6410,0.4010,0.0450,0.3131,0.511
0.6510,0.4601,0.1045,0.2776,0.547
0.6790,0.4134,0.0332,0.3993,0.576
0.6800,0.3904,-0.0090,0.5327,0.661
0.6820,0.3635,-0.1099,0.6959,0.793
0.6920,0.3378,-0.1495,0.5973,0.702
0.7030,0.2530,-0.1968,0.5290,0.619
0.7110,0.2366,-0.2752,0.4941,0.613
0.7220,0.1855,-0.3062,0.4509,0.576
0.7310,0.0730,-0.3335,0.4914,0.598
0.7450,-0.0994,-0.2168,0.5643,0.613
0.7530,-0.2193,-0.1031,0.5432,0.595
0.7610,-0.3841,-0.0002,0.5669,0.685
0.7990,-0.5448,0.0368,0.4756,0.724
0.8020,-0.6731,0.1098,0.4419,0.813
0.8030,-0.7970,0.1231,0.4184,0.909
0.8030,-0.9319,0.1057,0.4553,1.043
0.8110,-1.1018,0.1420,0.3825,1.175
0.8210,-1.2070,0.1834,0.3839,1.280
0.8310,-1.3276,0.2312,0.3210,1.385
0.8430,-1.3213,0.2413,0.2282,1.362
0.8950,-1.3446,0.3077,0.0586,1.381
0.8960,-1.2123,0.3798,-0.0005,1.270
0.8960,-1.2187,0.3504,0.0268,1.268
0.8970,-1.5446,0.3500,-0.2329,1.601
0.8980,-1.6754,0.2738,-0.2057,1.710
0.9050,-1.5914,0.2136,0.0284,1.606
0.9110,-1.4430,0.1684,0.2138,1.468
0.9230,-1.3060,0.2090,0.2391,1.344
0.9310,-1.3187,0.2852,0.2809,1.378
0.9680,-1.2429,0.4884,0.2482,1.358
0.9690,-1.1031,0.6191,0.2111,1.282
0.9700,-0.9174,0.5669,0.2364,1.104
0.9720,-0.7212,0.4870,0.1483,0.883
0.9810,-0.5826,0.3945,0.1442,0.718
0.9920,-0.4233,0.3007,0.0623,0.523
1.0020,-0.2994,0.1528,0.0049,0.336
