time,ax,ay,az,aT,label
0.009,0.7223,0.0665,-0.449,0.853,1
0.01,0.681,0.0157,-0.2698,0.733,1
0.014,0.5257,-0.1513,-0.0346,0.5479999999999999,1
0.029,0.4012,-0.1542,0.0932,0.44,1
0.034,0.3027,-0.0662,0.0826,0.321,1
0.067,0.1702,-0.0549,0.0037,0.179,1
0.068,-0.0037,-0.0752,-0.0168,0.077,1
0.068,-0.1612,-0.0446,0.0011,0.16699999999999998,1
0.079,-0.2958,-0.0067,0.0884,0.309,1
0.091,-0.3038,0.0031,0.0671,0.311,1
0.112,-0.2861,0.0507,0.0862,0.303,1
0.113,-0.2409,0.0115,0.085,0.256,1
0.114,-0.2547,0.04,0.0356,0.26,1
0.129,-0.2514,0.0296,0.0641,0.261,1
0.17,-0.2301,0.0001,0.0443,0.23399999999999999,1
0.171,-0.1561,-0.0082,0.0635,0.16899999999999998,1
0.171,-0.0401,-0.0273,0.0342,0.059000000000000004,1
0.172,0.0248,-0.0348,-0.044,0.061,1
0.185,0.0806,-0.014,-0.0536,0.098,1
0.185,0.1606,-0.0131,-0.0628,0.17300000000000001,1
0.199,0.1396,-0.0227,-0.0333,0.145,1
0.204,0.1356,0.0161,0.0159,0.13699999999999998,1
0.214,0.0587,-0.0138,0.006,0.061,1
0.253,-0.0067,-0.0318,0.0254,0.040999999999999995,1
0.254,-0.0539,-0.0131,0.0056,0.055999999999999994,1
0.255,-0.0598,-0.0027,-0.0142,0.062,1
0.255,-0.0676,0.0368,0.015,0.078,1
0.267,0.0022,-0.0115,-0.0242,0.027000000000000003,1
0.282,0.013,-0.0012,-0.0243,0.027999999999999997,1
0.284,0.0328,-0.0011,-0.0047,0.033,1
0.297,0.0248,-0.0012,0.0245,0.035,1
0.303,0.0355,-0.0387,0.0047,0.053,1
0.314,0.0668,-0.0197,0.0046,0.07,1
0.324,0.0573,-0.0188,0.0536,0.081,1
0.333,0.0106,-0.0197,0.0338,0.040999999999999995,1
0.362,-0.0621,-0.0472,0.1216,0.14400000000000002,1
0.363,-0.0694,-0.0678,0.0528,0.11,1
0.374,-0.0087,-0.0471,-0.0355,0.06,1
0.375,-0.008,-0.028,-0.0747,0.08,1
0.385,0.002,0.0099,-0.0453,0.046,1
0.399,0.0131,-0.0099,0.0036,0.017,1
0.403,0.005,-0.0387,0.0426,0.057999999999999996,1
0.414,0.007,-0.0486,0.1112,0.122,1
0.458,0.0657,-0.048,0.1406,0.162,1
0.458,0.0872,-0.0592,0.1209,0.16,1
0.459,0.0581,-0.1162,0.0914,0.159,1
0.459,0.0209,-0.0795,0.0521,0.09699999999999999,1
0.473,0.052,-0.0333,-0.0557,0.083,1
0.474,0.0961,-0.0355,-0.056,0.11699999999999999,1
0.487,0.0967,-0.0858,-0.0756,0.15,1
0.494,0.0355,0.0975,-0.1153,0.155,1
0.503,0.0897,0.2115,-0.0759,0.242,1
0.516,0.0499,0.1101,-0.0568,0.134,1
0.524,-0.0848,0.1406,0.0112,0.165,1
0.534,-0.1529,0.0899,0.0204,0.179,1
0.561,-0.1884,0.0567,0.0099,0.19699999999999998,1
0.563,-0.2415,0.0568,0.0389,0.251,1
0.563,-0.2017,0.0161,0.0187,0.203,1
0.576,-0.1889,0.0471,0.0675,0.20600000000000002,1
0.584,-0.1258,0.0157,0.1654,0.20800000000000002,1
0.594,-0.106,0.025,0.2046,0.23199999999999998,1
0.611,-0.0462,-0.0647,0.1948,0.21,1
0.614,-0.0358,-0.0077,0.1262,0.131,1
0.642,0.0127,-0.022,0.0675,0.07200000000000001,1
