time,ax,ay,az,aT,label
0.009,0.0365,-0.0746,0.1121,0.14,0
0.009,0.0214,-0.1178,0.0735,0.14,0
0.019,0.0836,0.0069,-0.0041,0.084,0
0.023,0.1224,0.0027,-0.1316,0.18,0
0.033,0.083,-0.0465,-0.1119,0.147,0
0.043,-0.0217,-0.0307,0.0543,0.066,0
0.053,-0.0554,-0.0025,0.0929,0.10800000000000001,0
0.063,-0.0339,-0.0253,0.0927,0.102,0
0.073,-0.0115,-0.0066,0.0335,0.036000000000000004,0
0.092,0.0098,-0.009,0.0431,0.045,0
0.093,0.0212,-0.0098,-0.006,0.024,0
0.107,-0.0447,-0.0304,-0.0259,0.06,0
0.123,-0.0308,-0.011,0.0127,0.035,0
0.124,-0.0479,-0.0405,0.0615,0.08800000000000001,0
0.153,0.023,-0.0488,0.1004,0.114,0
0.153,0.0549,-0.0603,0.0413,0.091,0
0.154,0.0276,-0.0496,0.0313,0.065,0
0.169,0.0499,-0.0328,0.0015,0.06,0
0.183,0.0329,-0.0135,0.011,0.037000000000000005,0
0.184,0.0661,-0.0158,0.0106,0.069,0
0.2,-0.0171,-0.0158,0.0297,0.038,0
0.217,-0.0621,-0.0471,0.0684,0.10400000000000001,0
0.217,-0.0651,-0.0174,0.0579,0.08900000000000001,0
0.234,-0.032,-0.0186,0.0379,0.053,0
0.235,-0.0278,-0.0187,0.008,0.034,0
0.269,-0.0153,-0.0195,0.0959,0.099,0
0.269,-0.0789,-0.0194,0.066,0.105,0
0.27,-0.0577,-0.0219,0.0266,0.067,0
0.284,-0.0451,-0.0218,-0.0227,0.055,0
0.285,-0.0056,-0.0238,-0.0227,0.033,0
0.298,0.0046,-0.023,-0.0326,0.04,0
0.317,-0.0335,-0.024,0.0457,0.062,0
0.318,-0.0398,-0.0232,0.0943,0.105,0
0.323,-0.0573,-0.0231,0.0843,0.105,0
0.337,-0.0344,-0.0224,0.0545,0.068,0
0.343,0.0162,-0.0526,-0.0044,0.055,0
0.353,0.0551,-0.0327,-0.0338,0.07200000000000001,0
0.373,0.1059,-0.0245,-0.083,0.13699999999999998,0
0.374,0.1346,0.0129,-0.0535,0.145,0
0.385,0.1112,0.0212,-0.0247,0.11599999999999999,0
0.393,0.0586,0.0483,-0.0058,0.076,0
0.403,0.0291,-0.0208,0.0421,0.055,0
0.416,0.001,-0.0292,0.0508,0.059000000000000004,0
0.423,0.0216,-0.0578,0.0104,0.063,0
0.45,0.0681,-0.1681,-0.0197,0.182,0
0.451,0.089,-0.2272,-0.011,0.244,0
0.465,0.088,-0.2556,0.0468,0.27399999999999997,0
0.466,0.0206,-0.2374,0.0849,0.253,0
0.48,-0.0719,-0.1715,0.0638,0.19699999999999998,0
0.495,-0.0602,-0.076,0.0529,0.11,0
0.496,-0.0571,-0.0078,0.032,0.066,0
0.509,-0.0672,-0.0103,0.0213,0.071,0
0.516,-0.0652,-0.0107,0.0104,0.067,0
0.523,-0.0265,-0.0114,0.0193,0.035,0
0.552,-0.027,-0.0106,-0.0108,0.031,0
0.552,0.0003,0.0487,-0.0214,0.053,0
0.553,0.0642,0.0379,0.0173,0.077,0
0.567,0.1221,0.0396,0.0165,0.129,0
0.582,0.167,-0.009,0.0749,0.183,0
0.583,0.2004,-0.0082,0.0442,0.205,0
0.6,0.1811,-0.0095,0.0532,0.18899999999999997,0
0.616,0.1405,-0.0106,0.0614,0.154,0
0.617,0.0889,-0.0127,0.0796,0.12,0
0.623,0.0702,-0.0253,0.1662,0.182,0
0.634,0.0419,-0.0747,0.2136,0.23,0
0.669,0.0437,-0.1284,0.2316,0.268,0
0.67,0.0712,-0.1473,0.2498,0.299,0
0.67,0.0559,-0.1035,0.2089,0.24,0
0.673,0.0274,-0.1263,0.1584,0.204,0
0.685,0.0388,-0.1426,0.2158,0.262,0
0.7,-0.0079,-0.1281,0.2046,0.242,0
0.702,-0.0052,-0.0882,0.1934,0.213,0
0.716,0.0268,-0.0595,0.192,0.203,0
0.723,0.0126,-0.0638,0.1416,0.156,0
0.733,0.0488,-0.038,0.2579,0.265,0
0.768,0.0387,-0.1029,0.4232,0.43700000000000006,0
0.769,0.1427,-0.1157,0.6181,0.645,0
0.769,0.1415,-0.1545,0.6464,0.68,0
0.773,0.111,-0.1977,0.8218,0.853,0
0.783,-0.01,-0.3317,0.8306,0.894,1
0.798,-0.2047,-0.2909,0.6819,0.769,1
0.803,-0.1566,-0.2164,0.779,0.8240000000000001,1
0.816,-0.2914,-0.1292,0.8958,0.951,1
0.822,-0.5938,-0.2113,1.0724,1.244,1
0.834,-0.8125,-0.1916,1.1215,1.3980000000000001,1
0.845,-0.6619,-0.1387,1.2506,1.422,1
0.853,-0.6007,-0.2084,1.2034,1.361,1
0.882,-0.8528,-0.2267,1.1087,1.4169999999999998,1
0.883,-0.9384,-0.2473,1.1714,1.521,1
0.883,-1.0415,-0.2386,1.0888,1.525,1
0.897,-0.9906,-0.223,1.0467,1.4580000000000002,1
0.903,-1.0891,-0.216,1.1045,1.5659999999999998,1
0.914,-1.2108,-0.2012,1.1058,1.652,1
0.923,-1.2928,-0.2052,1.1383,1.735,1
0.934,-1.3084,-0.163,0.9878,1.6469999999999998,1
0.971,-1.3125,-0.1567,0.7599,1.525,1
0.972,-1.2746,-0.1316,0.7219,1.4709999999999999,1
0.973,-1.2686,-0.0149,0.5801,1.395,1
0.973,-1.1504,0.0709,0.4637,1.242,1
0.986,-1.0662,0.0237,0.3978,1.138,1
1.0,-0.9257,-0.0384,0.2275,0.9540000000000001,1
1.003,-0.75,-0.1255,0.0946,0.7659999999999999,1
1.015,-0.5666,-0.1457,-0.066,0.589,1
1.023,-0.5424,-0.0235,-0.0021,0.5429999999999999,1
1.033,-0.5263,0.0979,0.035,0.536,1
1.07,-0.4954,0.1549,-0.0683,0.524,1
1.071,-0.3431,0.1936,-0.2463,0.465,1
1.073,-0.0858,0.1763,-0.3501,0.401,1
1.073,0.2487,0.119,-0.4605,0.537,1
1.085,0.5219,0.0859,-0.5824,0.787,1
1.1,0.5765,0.091,-0.6331,0.861,1
1.103,0.6307,0.1233,-0.8125,1.036,1
1.115,0.6714,0.1759,-0.8883,1.127,1
1.123,0.7478,0.166,-0.9389,1.212,1
1.133,0.776,0.139,-0.867,1.172,1
1.17,0.8142,0.1073,-0.8487,1.181,1
1.171,0.8183,0.0034,-0.9154,1.228,1
1.171,0.9003,-0.0904,-0.9563,1.317,1
1.173,0.8916,-0.2851,-0.9982,1.368,1
1.185,1.0202,-0.4005,-1.1391,1.581,1
1.199,1.1052,-0.455,-1.1266,1.642,1
1.203,1.2419,-0.4732,-1.1721,1.7719999999999998,1
1.215,1.1932,-0.4433,-1.21,1.756,1
1.223,1.2239,-0.4045,-1.405,1.9069999999999998,1
1.233,1.1421,-0.3391,-1.5475,1.953,1
1.272,1.1227,-0.2907,-1.677,2.039,1
1.274,1.0566,-0.3124,-1.5382,1.892,1
1.276,1.0299,-0.387,-1.4576,1.8259999999999998,1
1.277,0.8739,-0.4925,-1.4364,1.7519999999999998,1
1.287,0.7919,-0.5837,-1.2829,1.617,1
1.301,0.7415,-0.7323,-1.2536,1.63,1
1.303,0.716,-0.7941,-1.2419,1.639,1
1.315,0.6559,-0.785,-1.2762,1.636,1
1.323,0.6552,-0.7296,-1.3377,1.659,1
1.333,0.6573,-0.6653,-1.2965,1.599,1
1.366,0.7448,-0.6739,-1.2471,1.601,1
1.367,0.7194,-0.7999,-1.1785,1.5959999999999999,1
1.368,0.6732,-0.8805,-0.9992,1.492,1
1.373,0.5294,-0.8929,-0.8036,1.3130000000000002,1
1.383,0.5495,-0.8256,-0.3733,1.06,1
1.395,0.5735,-0.7855,-0.1132,0.9790000000000001,1
1.403,0.6352,-0.8627,-0.0459,1.072,1
1.413,0.6594,-0.8483,-0.0505,1.0759999999999998,1
1.423,0.84,-0.7683,-0.0551,1.14,1
1.433,0.7705,-0.7033,-0.1237,1.051,1
1.444,0.8232,-0.6315,-0.093,1.042,1
1.453,0.7371,-0.5538,0.0383,0.9229999999999999,1
1.484,0.7972,-0.4701,0.1527,0.938,1
1.485,0.7195,-0.3974,0.4146,0.9209999999999999,1
1.486,0.7567,-0.361,0.5046,0.9790000000000001,1
1.499,0.7028,-0.2983,0.4177,0.87,1
1.503,0.8633,-0.1428,0.277,0.9179999999999999,1
1.513,0.8303,-0.0364,0.1655,0.847,1
1.523,0.9104,0.1158,0.1248,0.9259999999999999,1
1.533,0.9157,0.1837,0.1137,0.941,1
1.565,1.0087,0.1852,0.1435,1.036,1
1.566,1.0002,0.1454,0.1812,1.0270000000000001,1
1.566,1.0206,0.0806,0.2301,1.0490000000000002,1
1.572,1.0109,0.0033,0.1205,1.018,1
1.583,1.0307,-0.0147,-0.163,1.044,1
1.594,1.0373,-0.017,-0.3204,1.0859999999999999,1
1.603,1.025,0.0755,-0.3989,1.102,1
1.613,0.9626,0.1563,-0.5153,1.103,1
1.623,0.9438,0.2922,-0.4767,1.097,1
1.633,0.9536,0.4005,-0.3171,1.082,1
1.674,0.907,0.3934,-0.1116,0.995,1
1.675,0.7719,0.3145,-0.0211,0.8340000000000001,1
1.676,0.5444,0.239,-0.0591,0.597,1
1.677,0.3443,0.2417,0.0037,0.42100000000000004,1
1.683,0.1597,0.225,0.0564,0.282,1
1.693,0.0381,0.2308,0.1805,0.295,1
1.703,-0.0991,0.2828,0.1764,0.348,1
1.714,-0.2861,0.257,0.1664,0.419,1
1.723,-0.5726,0.2766,0.1939,0.665,1
1.757,-0.6578,0.2491,0.2562,0.7490000000000001,1
1.758,-0.6134,0.2654,0.3643,0.7609999999999999,1
1.758,-0.4577,0.2745,0.4177,0.6779999999999999,1
1.763,-0.4681,0.3179,0.5368,0.78,1
1.773,-0.6365,0.3321,0.475,0.861,1
1.783,-0.901,0.3811,0.3106,1.026,1
1.793,-1.1599,0.378,0.1845,1.234,1
1.803,-1.3877,0.3748,0.0869,1.44,1
1.814,-1.4542,0.3709,0.1855,1.5119999999999998,1
1.823,-1.1573,0.2295,0.3883,1.242,1
1.848,-0.483,0.0063,0.8064,0.94,1
1.849,-0.0577,-0.0996,0.8107,0.8190000000000001,1
1.853,-0.1273,-0.0932,0.586,0.607,1
1.863,-0.4857,-0.0686,0.2436,0.5479999999999999,1
1.873,-0.5623,-0.0317,0.1391,0.58,1
1.883,-0.1854,-0.0089,0.0506,0.192,1
1.893,0.2346,-0.0246,0.0383,0.239,1
1.903,0.6416,0.0484,-0.11,0.653,1
1.914,0.7791,0.1144,-0.3107,0.847,1
1.923,0.9343,0.2025,-0.6255,1.1420000000000001,1
