time,ax,ay,az,aT
0.0080,0.3207,-0.0226,-0.0935,0.335
0.0100,0.2163,0.1031,-0.0734,0.251
0.0100,0.2245,0.0588,-0.0625,0.240
0.0200,0.2550,-0.0601,-0.0919,0.278
0.0320,0.2014,-0.0415,-0.0426,0.210
0.0400,0.1290,-0.0428,-0.0429,0.143
0.0770,0.0936,0.0233,-0.0331,0.102
0.0770,0.0434,0.0615,-0.0140,0.077
0.0780,0.0598,0.0867,-0.0533,0.118
0.0860,0.0015,0.0761,-0.0343,0.083
0.0900,-0.0629,0.0546,0.0140,0.084
0.1010,-0.0998,0.0540,-0.0062,0.114
0.1150,-0.1146,0.0154,0.0517,0.127
0.1200,-0.1248,-0.0041,0.0218,0.127
0.1700,-0.1118,-0.0031,0.0014,0.112
0.1700,-0.1041,-0.0120,-0.0186,0.106
0.1700,-0.0184,-0.0863,-0.0486,0.101
0.1710,0.0164,-0.0562,-0.0587,0.083
0.1710,0.0406,-0.0249,-0.0297,0.056
0.1810,0.0078,-0.0435,-0.0399,0.060
0.1920,0.0243,-0.0500,-0.0306,0.063
0.2090,0.0510,-0.0296,-0.0408,0.072
0.2100,0.0385,-0.0078,-0.0412,0.057
0.2260,0.0166,0.0226,-0.0122,0.031
0.2300,-0.0127,-0.0041,0.0361,0.038
0.2400,-0.0043,-0.0324,-0.0231,0.040
0.2750,-0.0224,-0.0003,-0.0041,0.023
0.2760,-0.0321,0.0114,-0.0635,0.072
0.2760,-0.0312,0.0608,-0.0150,0.070
0.2840,-0.0522,0.0235,-0.0546,0.079
0.2890,-0.0507,-0.0022,-0.0063,0.051
0.3000,-0.1013,0.0099,0.0520,0.114
0.3170,-0.0788,-0.0338,0.0708,0.111
0.3200,-0.0625,0.0163,0.1294,0.145
0.3750,0.0044,0.0090,0.0505,0.051
0.3760,0.0885,0.0779,-0.0183,0.119
0.3770,0.1482,0.1428,-0.0573,0.214
0.3780,0.2225,0.1132,-0.0379,0.253
0.3780,0.2138,0.0916,0.0013,0.233
0.3810,0.1750,0.0425,0.0598,0.190
0.3900,0.1091,0.0428,0.1476,0.188
0.4000,0.0877,0.0027,0.1962,0.215
0.4150,0.0216,0.0417,0.2642,0.268
0.4190,-0.0141,0.0793,0.3225,0.332
0.4750,0.0012,0.1038,0.2928,0.311
0.4750,0.0551,0.0302,0.0964,0.115
0.4750,0.2314,0.0142,0.1847,0.296
0.4760,0.2602,-0.0443,0.5084,0.573
0.4760,0.1256,0.0331,0.4008,0.421
0.4800,-0.0485,0.1567,0.4503,0.479
0.4900,-0.0812,0.2371,0.5296,0.586
0.5000,-0.1087,0.2428,0.4227,0.499
0.5160,-0.1380,0.2590,0.2973,0.418
0.5200,-0.2205,0.1522,0.3486,0.440
0.5300,-0.2329,0.0357,0.3810,0.448
0.5400,-0.2530,-0.0383,0.2573,0.363
0.5800,-0.2550,-0.1344,0.3403,0.446
0.5800,-0.2336,-0.0757,0.3757,0.449
0.5810,-0.2330,0.0432,0.3441,0.418
0.5810,-0.1892,0.1093,0.3920,0.449
0.5920,-0.2199,0.0999,0.5202,0.574
0.6000,-0.2669,-0.0011,0.4728,0.543
0.6100,-0.2980,-0.2560,0.6231,0.737
0.6200,-0.3312,-0.4996,0.7458,0.957
0.6360,-0.4410,-0.4978,0.7429,0.997
0.6400,-0.5230,-0.2956,0.7919,0.994
0.6500,-0.6278,0.0080,0.9033,1.100
0.6890,-0.8036,0.2745,1.0042,1.315
0.6920,-0.9175,0.5377,1.1007,1.531
0.6930,-0.9594,0.5430,1.0836,1.546
0.6950,-0.9153,0.3620,0.9920,1.397
0.7000,-0.8486,0.1602,0.8554,1.216
0.7100,-0.8065,0.0660,0.7717,1.118
0.7200,-0.7918,0.0812,0.6942,1.056
0.7370,-0.6994,0.1994,0.5833,0.932
0.7400,-0.6355,0.2860,0.4403,0.824
0.7500,-0.5711,0.3322,0.2852,0.720
0.8020,-0.5117,0.3556,0.1856,0.650
0.8030,-0.3968,0.3480,0.0836,0.534
0.8040,-0.3315,0.2832,-0.0218,0.437
