time,ax,ay,az,aT,label
0.017,-0.1951,0.0543,-0.0601,0.21100000000000002,0
0.018,-0.0371,-0.06,-0.2526,0.262,0
0.018,0.219,-0.0198,-0.3367,0.402,0
0.018,0.3924,0.049,-0.3185,0.508,1
0.028,0.4473,0.0233,-0.3554,0.5720000000000001,1
0.038,0.3634,0.0266,-0.3202,0.485,1
0.047,0.2701,-0.0242,-0.2135,0.345,1
0.057,0.1892,-0.0634,-0.0558,0.207,1
0.067,0.1767,-0.0339,0.0007,0.18,1
0.077,0.12,-0.0527,-0.0196,0.133,1
0.1,0.0211,-0.0327,0.0659,0.077,1
0.101,-0.1027,-0.0516,0.0519,0.126,1
0.109,-0.1692,0.0165,0.019,0.171,1
0.116,-0.21,-0.0056,-0.0054,0.21,1
0.127,-0.2294,-0.0083,0.0019,0.23,1
0.138,-0.2423,-0.0007,-0.0417,0.24600000000000002,1
0.15,-0.2413,-0.0039,-0.0246,0.243,1
0.156,-0.2019,0.0148,0.0019,0.20199999999999999,1
0.166,-0.1771,0.0153,0.0102,0.17800000000000002,1
0.176,-0.122,0.0429,-0.05,0.139,1
0.188,-0.0613,0.0049,-0.0311,0.069,1
0.196,0.0065,0.0046,-0.0309,0.032,1
0.21,0.0643,-0.0243,-0.0307,0.075,1
0.216,0.0986,0.0141,-0.0291,0.10400000000000001,1
0.226,0.0681,-0.0255,-0.1072,0.13,1
0.238,0.1313,-0.0161,-0.0761,0.153,1
0.247,0.0918,-0.0076,-0.115,0.147,1
0.256,0.0617,-0.008,-0.0657,0.09,1
0.266,0.0733,-0.0001,-0.0364,0.08199999999999999,1
0.281,0.0074,-0.1994,-0.1463,0.247,1
0.289,0.0906,-0.0723,0.1563,0.195,1
0.296,0.0207,0.007,0.1144,0.11599999999999999,1
0.329,0.0492,-0.1504,0.0532,0.16699999999999998,1
0.329,0.0835,-0.128,0.1003,0.183,1
0.33,0.0601,-0.112,0.0698,0.145,1
0.343,0.1721,-0.0545,0.2258,0.289,1
0.346,0.2128,0.1181,0.135,0.278,1
0.36,0.1977,-0.0625,-0.0223,0.209,1
