time,ax,ay,az,aT
0.0080,0.2735,-0.0798,-0.0534,0.290
0.0100,0.1232,0.0070,-0.0627,0.138
0.0230,0.0577,0.0664,-0.0534,0.103
0.0300,0.0210,0.0347,-0.0240,0.047
0.0700,0.0162,0.0059,-0.0050,0.018
0.0710,-0.0269,0.0530,0.0631,0.087
0.0710,-0.0219,0.0529,0.0527,0.078
0.0720,0.0111,0.0411,0.0133,0.045
0.0800,-0.0144,0.0114,0.0031,0.019
0.0900,-0.0100,0.0012,0.0026,0.010
0.1060,-0.0239,0.0116,-0.0078,0.028
0.1100,-0.0085,0.0202,0.0015,0.022
0.1240,0.0269,0.0209,0.0105,0.036
0.1290,0.0495,0.0100,-0.0190,0.054
0.1420,0.0047,-0.0005,0.0001,0.005
0.1510,0.0090,0.0077,-0.0491,0.051
0.1600,-0.0158,0.0162,0.0191,0.030
0.1810,-0.0013,-0.0136,-0.0695,0.071
0.1820,0.0127,-0.0346,-0.0012,0.037
0.1900,0.0270,-0.0056,-0.0212,0.035
0.2010,0.0033,0.0034,-0.0414,0.042
0.2100,0.0187,0.0025,-0.0419,0.046
0.2200,-0.0037,0.0311,-0.0327,0.045
0.2300,-0.0625,0.0208,-0.0043,0.066
0.2420,-0.0647,0.0206,-0.0050,0.068
0.2510,-0.0267,-0.0361,0.0134,0.047
0.2600,-0.0299,-0.0356,0.0127,0.048
0.2870,-0.0031,-0.0621,0.0313,0.070
0.2880,0.0130,-0.0327,-0.0281,0.045
0.2900,0.0190,-0.0219,-0.0091,0.030
0.3020,0.0257,-0.0119,-0.0196,0.034
0.3100,0.0217,0.0550,0.0191,0.062
0.3200,-0.0306,0.0055,0.0283,0.042
0.3300,-0.0795,0.0247,-0.0019,0.083
0.3420,-0.0624,0.0149,-0.0418,0.077
0.3510,-0.1010,0.0243,-0.0035,0.104
0.3600,-0.1247,0.0044,0.0155,0.126
0.3980,-0.1057,0.0046,0.0637,0.123
0.4000,-0.1009,0.0047,-0.0053,0.101
0.4000,-0.0563,-0.0432,-0.0255,0.075
0.4010,-0.0227,-0.0720,-0.0456,0.088
0.4100,-0.0193,-0.0605,-0.0069,0.064
0.4250,-0.0645,-0.0586,0.0514,0.101
0.4300,-0.0600,-0.0470,0.0312,0.082
0.4770,0.0205,0.0023,0.0015,0.021
0.4780,-0.0371,0.0672,0.0018,0.077
0.4790,-0.0557,0.1162,-0.0668,0.145
0.4800,-0.0539,0.1011,-0.0861,0.143
0.4800,-0.0439,0.1094,-0.0958,0.152
0.4920,-0.0043,0.0391,-0.0368,0.054
0.5000,0.0645,0.0498,0.0317,0.087
0.5100,0.0903,0.0209,0.0908,0.130
0.5200,0.1376,0.0323,0.1006,0.173
0.5300,0.1965,0.0591,0.0036,0.205
0.5420,0.2357,0.0998,-0.0160,0.256
0.5500,0.1623,0.0855,-0.0250,0.185
0.5600,0.0512,0.0570,-0.0060,0.077
0.5890,0.0025,-0.0115,0.1008,0.101
0.5900,-0.1015,-0.0398,0.2368,0.261
0.5900,-0.1705,-0.0475,0.2153,0.279
0.6000,-0.1601,0.0087,0.3226,0.360
0.6100,-0.0620,0.0721,0.2536,0.271
0.6250,0.0713,0.0378,0.1654,0.184
0.6290,0.1788,-0.0270,0.1954,0.266
0.6400,0.2266,-0.1128,0.2642,0.366
0.6720,0.1091,-0.1189,0.2444,0.293
0.6730,-0.0077,-0.0908,0.3027,0.316
0.6740,-0.1710,-0.0984,0.4873,0.526
0.6790,-0.3560,-0.1998,0.5257,0.666
0.6900,-0.2670,-0.1865,0.3961,0.513
0.7000,0.0228,-0.1252,0.2296,0.263
0.7100,0.2562,-0.0659,0.1527,0.305
0.7200,0.3440,-0.1081,0.1743,0.401
0.7300,0.2826,-0.1406,0.2163,0.383
0.7420,0.2849,-0.1113,0.2190,0.376
0.7500,0.2014,-0.0156,0.3200,0.378
0.7600,0.1720,0.0886,0.3910,0.436
0.7880,0.1252,0.0730,0.3839,0.410
0.7900,0.2271,0.0389,0.3763,0.441
0.7910,0.2307,-0.0266,0.2712,0.357
0.8020,0.2110,-0.1615,0.1865,0.325
0.8100,0.1396,-0.2928,0.1685,0.366
0.8240,-0.0033,-0.3464,0.2119,0.406
0.8300,-0.1336,-0.3894,0.3031,0.511
0.8400,-0.1537,-0.3315,0.3096,0.479
0.8650,-0.2210,-0.3027,0.4430,0.580
0.8660,-0.3664,-0.2710,0.5508,0.715
0.8700,-0.3588,-0.2219,0.5802,0.717
0.8800,-0.2346,-0.1379,0.6225,0.679
0.8900,-0.0417,-0.1193,0.4883,0.504
0.9000,0.1031,-0.0599,0.3268,0.348
0.9100,0.1565,0.0806,0.1179,0.212
0.9200,0.1859,0.2335,-0.0315,0.300
0.9300,0.1618,0.3144,-0.1580,0.387
0.9540,0.1202,0.4388,-0.2368,0.513
0.9550,-0.0254,0.4384,-0.1831,0.476
0.9600,-0.1952,0.4765,-0.1225,0.529
0.9700,-0.3589,0.3849,-0.0664,0.530
0.9800,-0.4929,0.3358,-0.0033,0.596
0.9900,-0.5757,0.3065,-0.0618,0.655
1.0000,-0.5617,0.2757,-0.0841,0.631
1.0100,-0.5367,0.3214,-0.1484,0.643
1.0210,-0.5114,0.3579,-0.2557,0.675
1.0300,-0.4199,0.3787,-0.3350,0.657
1.0520,-0.3350,0.3869,-0.4398,0.675
1.0530,-0.2586,0.3307,-0.4190,0.593
1.0600,-0.3103,0.3896,-0.4627,0.680
1.0700,-0.3931,0.3711,-0.5250,0.754
1.0800,-0.5328,0.3623,-0.4582,0.791
1.0900,-0.6454,0.2933,-0.3808,0.805
1.1000,-0.7280,0.2771,-0.2437,0.816
1.1100,-0.7461,0.2556,-0.0587,0.791
1.1210,-0.7785,0.2317,-0.0196,0.812
1.1300,-0.7497,0.1684,0.0453,0.770
1.1570,-0.6981,0.1273,0.0529,0.712
1.1580,-0.6391,0.0872,0.0162,0.645
1.1600,-0.6034,0.0673,-0.0771,0.612
1.1700,-0.4956,0.0103,-0.1477,0.517
1.1800,-0.3710,-0.0237,-0.2070,0.426
1.1900,-0.3338,-0.1125,-0.1481,0.382
1.2000,-0.3616,-0.1247,-0.1627,0.416
1.2100,-0.3090,-0.1782,-0.1096,0.373
1.2200,-0.2136,-0.3267,-0.0495,0.393
1.2300,-0.1119,-0.4007,0.0042,0.416
1.2510,0.0018,-0.3913,-0.0761,0.399
1.2520,0.0663,-0.4449,-0.0665,0.455
1.2600,0.1859,-0.4436,-0.0405,0.483
1.2710,0.3139,-0.4500,-0.1513,0.569
1.2790,0.5132,-0.5150,-0.1872,0.751
1.2900,0.6395,-0.5585,-0.2748,0.892
1.3000,0.7444,-0.5515,-0.2744,0.966
1.3100,0.7813,-0.5521,-0.2481,0.988
1.3200,0.9108,-0.5902,-0.1523,1.096
1.3300,0.9313,-0.6320,-0.1404,1.134
1.3590,1.0127,-0.6566,-0.2224,1.227
1.3600,1.0313,-0.6487,-0.3083,1.257
1.3610,1.0485,-0.6218,-0.3704,1.274
1.3700,1.0592,-0.6320,-0.3380,1.279
1.3800,1.1517,-0.7581,-0.2533,1.402
1.3900,1.3202,-0.9032,-0.2086,1.613
1.4000,1.5381,-1.0775,-0.2226,1.891
1.4100,1.5623,-1.1114,-0.3662,1.952
1.4210,1.6292,-0.9927,-0.5352,1.981
1.4300,1.5606,-0.8323,-0.5234,1.844
1.4610,1.5757,-0.6838,-0.5243,1.796
1.4620,1.5798,-0.5873,-0.5473,1.772
1.4620,1.6178,-0.4463,-0.4998,1.751
1.4710,1.5830,-0.3444,-0.5587,1.714
1.4800,1.6219,-0.2591,-0.4831,1.712
1.4900,1.5898,-0.2418,-0.4349,1.666
1.5000,1.6118,-0.2256,-0.3420,1.663
1.5100,1.4412,-0.1283,-0.4100,1.504
1.5210,1.3879,-0.0013,-0.4063,1.446
1.5300,1.3491,0.0193,-0.3464,1.393
1.5590,1.3824,0.1515,-0.2672,1.416
1.5600,1.3768,0.3562,-0.1571,1.431
1.5610,1.4437,0.5302,-0.1975,1.551
1.5700,1.4678,0.6223,-0.1927,1.606
1.5800,1.5607,0.6522,-0.3427,1.726
1.5900,1.4596,0.6714,-0.4813,1.677
1.6000,1.3377,0.7618,-0.6212,1.660
1.6100,1.1571,0.8267,-0.6171,1.550
1.6200,0.9659,0.8326,-0.5808,1.401
1.6300,0.8571,0.8079,-0.4410,1.258
1.6610,0.7947,0.7683,-0.3853,1.171
1.6620,0.7316,0.6711,-0.4133,1.075
1.6620,0.6510,0.7490,-0.4240,1.079
1.6710,0.5105,0.7938,-0.4459,1.044
1.6800,0.3415,0.8995,-0.5120,1.090
1.6900,0.1445,1.0478,-0.7863,1.318
1.7000,-0.0700,1.1351,-0.7425,1.358
1.7100,-0.1919,1.0185,-0.5664,1.181
1.7200,-0.2585,0.8359,-0.3652,0.948
1.7300,-0.2432,0.5865,-0.1702,0.657
1.7410,-0.2758,0.3625,-0.2008,0.498
1.7850,-0.3493,0.1649,-0.3124,0.497
1.7860,-0.3162,-0.0089,-0.2819,0.424
1.7860,-0.2176,-0.0994,-0.2985,0.383
1.7870,-0.1275,-0.1459,-0.3825,0.429
1.7900,-0.1192,-0.2242,-0.4274,0.497
1.8010,-0.0522,-0.2544,-0.4684,0.536
1.8100,-0.0722,-0.3497,-0.4086,0.543
1.8210,0.0239,-0.5290,-0.2345,0.579
1.8300,0.1006,-0.6944,-0.2264,0.737
1.8600,0.0647,-0.6972,-0.1748,0.722
1.8610,-0.0288,-0.7616,-0.3364,0.833
1.8610,-0.0502,-0.8114,-0.3882,0.901
1.8700,-0.0283,-0.8299,-0.1542,0.845
1.8790,0.1464,-0.9108,0.0639,0.925
1.8900,0.3390,-0.9772,0.1093,1.040
1.9000,0.3793,-0.9457,0.0081,1.019
1.9100,0.2924,-0.8089,-0.2811,0.905
1.9210,0.2118,-0.7088,-0.3647,0.825
1.9560,0.3158,-0.6916,-0.2641,0.805
1.9570,0.4565,-0.6890,-0.4692,0.950
1.9580,0.3735,-0.7116,-0.4688,0.930
1.9600,0.3362,-0.8039,-0.3160,0.927
1.9700,0.4475,-0.8660,-0.2362,1.003
1.9800,0.5392,-0.8017,-0.2916,1.009
1.9900,0.5203,-0.7344,-0.4868,1.023
2.0000,0.4666,-0.6026,-0.6378,0.994
2.0100,0.4397,-0.4964,-0.7035,0.967
2.0200,0.4479,-0.4238,-0.4941,0.790
2.0300,0.6624,-0.3957,-0.3703,0.856
2.0610,0.2677,-0.3314,-0.1125,0.441
2.0620,0.2915,-0.3012,-0.2216,0.474
2.0620,0.5543,-0.2857,-0.4433,0.765
2.0700,0.6156,-0.2476,-0.6399,0.922
2.0800,0.4584,-0.2786,-0.6112,0.813
2.0900,0.2919,-0.3445,-0.5684,0.726
2.1000,0.2441,-0.3183,-0.6879,0.796
2.1100,0.2154,-0.2131,-0.6250,0.695
2.1200,0.0847,-0.1585,-0.4549,0.489
2.1300,0.0497,-0.1967,-0.4327,0.478
2.1600,-0.1254,-0.0936,-0.3852,0.416
2.1610,-0.3444,-0.0805,-0.1185,0.373
2.1610,-0.5255,-0.0552,0.1491,0.549
2.1700,-0.6162,-0.1237,0.2397,0.673
2.1810,-0.6540,-0.1878,0.1153,0.690
2.1990,-0.5167,-0.1459,-0.2047,0.575
2.2000,-0.5712,-0.1452,-0.1215,0.602
2.2150,-0.1669,-0.0613,-0.2990,0.348
2.2310,0.0491,0.0775,-0.2841,0.299
2.2310,0.1559,0.0445,0.2183,0.272
2.2400,0.4660,-0.3895,0.9246,1.106
2.2730,0.8277,-0.8425,1.7962,2.150
2.2740,0.7862,-0.8726,2.0689,2.379
2.2750,0.4056,-0.4832,1.5011,1.628
2.2810,0.3452,-0.1218,0.8107,0.890
2.2900,0.2741,-0.0139,0.1779,0.327
2.3040,0.0824,0.1562,-0.7018,0.724
2.3100,-0.2315,0.1353,-0.8487,0.890
2.3210,-0.1254,0.0001,-0.5344,0.549
2.3380,0.1689,-0.1286,-0.1772,0.277
2.3400,0.0184,-0.2862,0.1317,0.316
2.3830,-0.1325,-0.3777,0.0006,0.400
2.3830,-0.2845,-0.2271,-0.3122,0.480
2.3840,-0.5407,-0.1057,-0.6063,0.819
2.3840,-0.8231,-0.2276,-0.3079,0.908
2.3900,-1.0707,-0.4377,-0.0072,1.157
2.4030,-1.4512,-0.5885,0.3143,1.597
2.4090,-1.6175,-0.6776,0.5169,1.828
2.4210,-1.2301,-0.6905,0.4799,1.490
2.4370,-0.6673,-0.6352,0.3995,1.004
2.4390,-0.3581,-0.4585,0.1414,0.599
2.4880,-0.2490,-0.1750,-0.2419,0.389
2.4900,-0.2012,0.0259,-0.2761,0.343
2.4900,-0.3632,-0.0003,-0.0230,0.364
2.4910,-0.4605,-0.1732,0.3020,0.577
2.4910,-0.3815,-0.3777,0.7193,0.898
2.5000,-0.3157,-0.5201,0.8727,1.064
2.5100,-0.2608,-0.5764,0.9826,1.169
2.5210,-0.1171,-0.5791,1.1602,1.302
2.5550,0.0079,-0.3948,0.8806,0.965
2.5550,-0.0819,-0.0469,0.6433,0.650
2.5560,-0.1458,0.1862,0.2849,0.370
2.5590,-0.1503,0.2831,0.3355,0.464
2.5700,-0.0827,0.0838,0.2430,0.270
2.5810,0.0547,0.0318,0.0681,0.093
2.5900,0.0179,-0.0033,0.2278,0.229
2.6000,0.1175,-0.1947,0.5545,0.599
2.6090,0.4208,-0.3202,0.4880,0.720
2.6200,0.7223,-0.3050,0.0126,0.784
2.6590,0.5667,-0.4394,-0.2835,0.771
2.6610,-0.0424,-0.6290,-0.8776,1.081
2.6610,-0.7000,-0.6425,-1.6457,1.900
2.6620,-1.4301,-0.5080,-2.0899,2.583
