time,ax,ay,az,aT
0.0080,0.1046,-0.0552,-0.2191,0.249
0.0120,0.0192,0.0440,-0.1403,0.148
0.0190,0.0166,0.0315,-0.1108,0.116
0.0290,0.1175,-0.1069,-0.0614,0.170
0.0470,0.2114,-0.1570,-0.0121,0.264
0.0490,0.1896,-0.1835,0.0081,0.264
0.0600,0.1668,-0.2043,0.0670,0.272
0.0690,0.1037,-0.2208,0.0968,0.262
0.0890,0.1242,-0.1933,0.0869,0.246
0.0890,0.0836,-0.1648,0.0870,0.204
0.0990,0.0948,-0.1382,0.0477,0.174
0.1120,0.0462,-0.1128,0.0772,0.144
0.1190,-0.0288,-0.1261,0.0475,0.138
0.1290,-0.0820,-0.0835,0.0375,0.123
0.1450,-0.0705,-0.0584,-0.0116,0.092
0.1490,-0.0964,-0.0374,-0.0313,0.108
0.1590,-0.1062,-0.0410,-0.0510,0.125
0.1690,-0.1510,-0.0013,-0.1198,0.193
0.1810,-0.1815,-0.0133,-0.0512,0.189
0.1900,-0.1587,-0.0211,-0.0415,0.165
0.1990,-0.1915,-0.0213,-0.0609,0.202
0.2090,-0.1524,-0.0370,-0.0609,0.168
0.2190,-0.1297,-0.0357,-0.0213,0.136
0.2300,-0.0866,-0.0783,0.0083,0.117
0.2400,-0.0771,-0.0967,0.0187,0.125
0.2490,-0.0287,-0.0896,0.0291,0.098
0.2650,0.0179,-0.0775,0.0298,0.085
0.2690,0.0913,-0.0530,0.0012,0.106
0.2790,0.1292,-0.0621,0.0607,0.156
0.2960,0.1339,-0.0766,-0.0167,0.155
0.2990,0.1433,-0.0969,0.0230,0.175
0.3090,0.1670,-0.0914,-0.0445,0.196
0.3190,0.1576,-0.0627,-0.0145,0.170
0.3300,0.2016,-0.0779,0.0158,0.217
0.3390,0.2042,-0.0767,-0.0229,0.219
0.3490,0.1537,-0.0353,-0.0516,0.166
0.3660,0.1491,-0.0157,-0.1101,0.186
0.3690,0.1412,0.0798,-0.1684,0.234
0.3790,0.0713,0.0317,-0.1683,0.186
0.3890,-0.0452,-0.0241,-0.0997,0.112
0.3990,-0.1534,-0.0817,0.0081,0.174
0.4090,-0.1603,-0.0662,0.0374,0.177
0.4190,-0.1644,-0.0943,0.0181,0.190
0.4300,-0.1550,-0.0591,0.0182,0.167
0.4390,-0.1020,-0.0180,0.0382,0.110
0.4490,-0.0763,-0.0053,-0.0104,0.077
0.4640,-0.0532,0.0047,-0.0492,0.073
0.4690,-0.0010,0.0165,-0.0880,0.090
0.4790,0.0326,-0.0234,-0.0386,0.056
0.4890,0.0932,-0.0858,-0.0281,0.130
0.4990,0.1485,-0.1268,0.0112,0.196
0.5090,0.1790,-0.1484,0.0316,0.235
0.5190,0.2071,-0.1820,0.0611,0.282
0.5300,0.2005,-0.1647,0.0715,0.269
0.5400,0.1629,-0.1389,0.0124,0.214
0.5490,0.1799,-0.0589,-0.0363,0.193
0.5690,0.1363,0.0365,-0.0759,0.160
0.5700,0.0705,0.1090,-0.0959,0.161
0.5790,0.0196,0.0969,-0.0376,0.106
0.5890,-0.0762,0.0159,0.0006,0.078
0.5990,-0.1550,0.0225,0.1666,0.229
0.6090,-0.1990,-0.0174,0.3029,0.363
0.6190,-0.2315,-0.0897,0.4495,0.514
0.6290,-0.2087,-0.1555,0.5958,0.650
0.6570,-0.0865,-0.2882,0.6837,0.747
0.6580,0.0252,-0.3600,0.7914,0.870
0.6590,0.1268,-0.3808,0.8106,0.905
0.6690,0.2055,-0.2478,0.7615,0.827
0.6790,0.3225,-0.1001,0.8294,0.896
0.6890,0.2814,-0.1080,0.9169,0.965
0.6990,0.0759,0.0034,0.5036,0.509
0.7090,0.0118,0.0037,0.3844,0.385
0.7190,-0.0581,-0.0355,0.6083,0.612
0.7300,-0.3109,-0.1595,0.9395,1.002
0.7400,-0.5059,-0.1616,1.0656,1.191
0.7490,-0.4547,-0.0888,1.0640,1.160
0.7650,-0.4155,-0.1262,1.1420,1.222
0.7690,-0.3738,-0.1257,0.9553,1.034
0.7790,-0.3896,-0.1508,1.2502,1.318
0.7890,-0.6027,-0.1121,1.2408,1.384
0.7990,-0.7870,-0.1064,1.5070,1.703
0.8090,-0.8631,-0.0419,1.6751,1.885
0.8190,-0.6387,-0.0523,1.7073,1.824
0.8300,-0.2362,-0.1037,1.6130,1.633
0.8400,0.0919,-0.1988,1.3915,1.409
0.8490,0.2778,-0.2642,1.1318,1.195
0.8630,0.1795,-0.1521,0.9513,0.980
0.8690,-0.0755,-0.0794,0.9473,0.954
0.8790,-0.3595,-0.0088,0.8665,0.938
0.8890,-0.5604,0.0287,0.7479,0.935
0.8990,-0.6625,-0.0176,0.8285,1.061
0.9110,-0.7382,-0.0734,0.9926,1.239
0.9190,-0.9380,-0.0237,0.7421,1.196
0.9300,-0.9512,0.0578,0.6062,1.129
0.9560,-0.8830,0.1379,0.4816,1.015
0.9570,-0.8028,0.2790,0.3316,0.912
0.9590,-0.6792,0.3909,0.2486,0.822
0.9690,-0.6166,0.3814,0.0137,0.725
0.9790,-0.4013,0.2812,-0.0088,0.490
0.9890,-0.1950,0.0803,-0.1076,0.237
0.9990,0.0607,-0.1454,-0.1378,0.209
1.0090,0.2232,-0.2158,-0.0414,0.313
1.0190,0.2535,-0.2068,-0.0581,0.332
1.0300,0.2814,-0.2198,-0.0264,0.358
1.0600,0.2618,-0.1636,-0.0579,0.314
1.0610,0.1961,-0.0870,-0.1368,0.254
1.0610,0.1071,-0.0224,-0.1925,0.221
1.0690,0.0693,-0.0372,-0.1770,0.194
1.0790,-0.0437,-0.1674,-0.2090,0.271
1.0900,-0.1135,-0.2046,-0.2894,0.372
1.0990,-0.1528,-0.2850,-0.3572,0.482
1.1090,-0.1572,-0.3298,-0.5327,0.646
1.1190,-0.1172,-0.3784,-0.4904,0.630
1.1290,-0.0400,-0.3717,-0.5863,0.695
1.1520,0.0939,-0.3490,-0.6802,0.770
1.1530,0.1424,-0.3265,-0.8023,0.878
1.1610,0.0931,-0.3889,-0.9731,1.052
1.1690,0.1224,-0.4994,-1.0446,1.164
1.1790,0.1312,-0.6268,-1.0471,1.227
1.1890,0.2602,-0.7053,-0.9461,1.208
1.1990,0.2368,-0.7715,-0.9567,1.252
1.2090,0.1808,-0.7919,-1.1168,1.381
1.2190,0.1437,-0.7007,-1.2329,1.425
1.2290,0.1349,-0.5388,-1.3721,1.480
1.2400,0.1299,-0.4117,-1.4109,1.475
1.2490,0.1114,-0.3962,-1.4304,1.488
1.2720,0.1808,-0.5235,-1.4548,1.557
1.2730,0.2683,-0.6659,-1.4367,1.606
1.2790,0.4442,-0.7934,-1.2994,1.586
1.2890,0.5683,-0.9427,-1.1497,1.592
1.2990,0.4583,-0.9870,-1.2393,1.649
1.3090,0.3487,-0.9055,-1.3771,1.685
1.3190,0.3164,-0.8277,-1.4190,1.673
1.3300,0.3585,-0.7729,-1.3413,1.589
1.3610,0.4561,-0.8039,-1.3005,1.595
1.3620,0.5843,-0.8536,-1.2234,1.602
1.3620,0.7828,-0.7578,-1.1591,1.591
1.3690,0.9107,-0.7861,-0.9536,1.535
1.3790,1.1797,-0.9087,-0.8639,1.722
1.3890,1.3300,-1.0204,-0.8264,1.869
1.3990,1.4129,-0.9916,-0.7969,1.901
1.4090,1.3597,-0.8389,-0.7956,1.785
1.4190,1.4905,-0.6123,-0.7108,1.761
1.4300,1.4288,-0.6342,-0.6225,1.683
1.4640,1.5659,-0.6521,-0.4417,1.753
1.4650,1.4314,-0.5899,-0.3872,1.596
1.4650,1.4554,-0.2992,-0.3785,1.533
1.4690,1.3298,0.0088,-0.3262,1.369
1.4790,1.3561,0.4081,-0.3279,1.454
1.4890,1.3319,0.6653,-0.2358,1.507
1.4990,1.4735,0.7314,-0.0511,1.646
1.5090,1.4296,0.5685,0.2691,1.562
1.5190,1.5303,0.2621,0.5028,1.632
1.5290,1.4895,0.0008,0.6920,1.642
1.5500,1.6723,-0.2487,0.7212,1.838
1.5510,1.7622,-0.3806,0.5170,1.875
1.5590,1.9292,-0.3764,0.3688,2.000
1.5710,1.8907,-0.2423,0.1799,1.915
1.5790,1.7894,0.0462,0.0799,1.792
1.5890,1.5103,0.2953,-0.0500,1.540
1.5990,1.5011,0.4783,-0.1233,1.580
1.6090,1.4770,0.3657,-0.2558,1.543
1.6190,1.5846,0.2133,-0.3371,1.634
1.6300,1.5097,0.0781,-0.3477,1.551
1.6610,1.6067,0.0241,-0.3993,1.656
1.6620,1.5227,0.0449,-0.4388,1.585
1.6620,1.5370,0.2057,-0.4015,1.602
1.6710,1.4608,0.3084,-0.4944,1.573
1.6790,1.5196,0.3898,-0.5044,1.648
1.6900,1.4053,0.3165,-0.4789,1.518
1.6990,1.4011,0.2129,-0.5375,1.516
1.7090,1.2162,0.1164,-0.5443,1.338
1.7190,1.1517,0.1038,-0.4950,1.258
1.7290,1.0730,0.0829,-0.3577,1.134
1.7600,1.1834,0.1002,-0.3060,1.226
1.7610,1.2549,0.0409,-0.3845,1.313
1.7610,1.3116,0.0903,-0.6657,1.474
1.7690,1.2525,0.0458,-0.8273,1.502
1.7790,1.0547,0.1301,-0.7656,1.310
1.7890,0.7374,0.1716,-0.6512,0.999
