time,ax,ay,az,aT,label
0.008,0.4344,0.0046,-0.1874,0.473,0
0.008,0.3436,-0.0649,-0.2038,0.405,0
0.009,0.332,-0.0911,-0.1591,0.379,0
0.033,0.322,-0.0331,-0.1001,0.33899999999999997,0
0.034,0.2914,-0.0515,-0.0875,0.309,0
0.04,0.1991,-0.0134,-0.089,0.218,0
0.053,0.0668,0.0045,-0.0804,0.105,0
0.059,-0.0304,0.013,-0.0243,0.040999999999999995,0
0.069,-0.113,0.0392,-0.0282,0.12300000000000001,0
0.085,-0.1617,0.0481,-0.021,0.17,0
0.089,-0.2114,0.0359,0.0624,0.223,0
0.134,-0.2623,0.0451,0.0604,0.273,0
0.135,-0.2536,0.0239,0.0852,0.26899999999999996,0
0.136,-0.2393,0.0233,0.0154,0.24100000000000002,0
0.136,-0.1899,0.0502,-0.0065,0.19699999999999998,0
0.144,-0.1312,0.0111,-0.0653,0.147,0
0.153,-0.0714,-0.0174,-0.0558,0.092,0
0.159,0.0243,-0.027,0.0721,0.081,0
0.17,0.0677,-0.0072,-0.0342,0.076,0
0.185,0.1242,0.0124,-0.0925,0.155,0
0.189,0.1437,0.0212,-0.1193,0.188,0
0.234,0.1222,0.0015,-0.0894,0.151,0
0.235,0.1158,0.0018,-0.0584,0.13,0
0.235,0.0578,-0.0174,0.0001,0.06,0
0.235,-0.0365,-0.0161,-0.0008,0.04,0
0.241,-0.0821,-0.0155,-0.0017,0.084,0
0.253,-0.1315,0.0042,-0.0139,0.132,0
0.259,-0.1478,-0.005,-0.0049,0.14800000000000002,0
0.269,-0.1677,0.0142,-0.0269,0.17,0
0.285,-0.1265,0.0245,0.0215,0.131,0
0.289,-0.0547,0.0053,0.0011,0.055,0
0.338,0.0528,0.055,-0.0576,0.096,0
0.34,0.0682,0.0623,-0.027,0.096,0
0.34,0.1261,0.0041,-0.0366,0.131,0
0.341,0.1571,0.0421,-0.0738,0.179,0
0.341,0.1971,0.0432,-0.123,0.23600000000000002,0
0.35,0.1533,0.0424,-0.0434,0.165,0
0.359,0.109,-0.0052,-0.0348,0.115,0
0.369,0.0923,-0.0132,0.0035,0.09300000000000001,0
0.387,0.0814,-0.0518,0.0307,0.10099999999999999,0
0.389,0.0891,-0.1335,0.1266,0.204,0
0.4,0.081,-0.075,0.0453,0.11900000000000001,0
0.409,0.1192,-0.1201,0.0724,0.184,0
0.452,0.1235,-0.0638,0.0592,0.151,0
0.454,0.1055,-0.0361,0.0564,0.125,0
0.454,0.1131,-0.0305,0.0818,0.14300000000000002,0
0.454,0.0332,-0.1372,0.0381,0.146,0
0.46,-0.0927,-0.104,0.0235,0.141,0
0.469,-0.2169,-0.0589,0.0551,0.231,0
0.486,-0.2623,0.0223,0.099,0.281,0
0.492,-0.1406,0.0788,0.131,0.20800000000000002,0
0.5,-0.0274,0.1024,0.2455,0.267,0
0.509,0.0204,0.1378,0.2125,0.254,0
0.536,0.0395,0.1283,0.3166,0.344,0
0.536,-0.0584,0.0296,0.4968,0.501,0
0.54,-0.1497,-0.1006,0.7172,0.74,0
0.55,-0.1754,-0.1295,0.7281,0.76,0
0.559,-0.0656,-0.1002,0.7127,0.723,0
0.57,-0.075,-0.0592,0.6465,0.654,0
0.586,-0.1718,0.0048,0.573,0.598,0
0.589,-0.2714,0.102,0.4966,0.575,0
0.601,-0.4345,0.2097,0.5802,0.755,1
0.609,-0.5497,0.2184,0.6005,0.843,1
0.645,-0.5866,0.2521,0.6363,0.9009999999999999,1
0.646,-0.5306,0.1787,0.6783,0.88,1
0.646,-0.5051,0.1175,0.7456,0.9079999999999999,1
0.65,-0.4574,0.0433,0.7508,0.88,1
0.659,-0.4534,-0.0154,0.7902,0.9109999999999999,1
0.669,-0.4707,-0.1091,0.776,0.914,1
0.686,-0.5565,-0.1734,0.7368,0.9390000000000001,1
0.69,-0.569,-0.1896,0.7409,0.953,1
0.7,-0.6068,-0.2683,0.7018,0.966,1
0.71,-0.5492,-0.2196,0.7074,0.922,1
0.736,-0.4522,-0.176,0.5919,0.765,1
0.737,-0.3123,-0.0705,0.4846,0.581,1
0.74,-0.24,-0.0205,0.342,0.418,1
0.75,-0.244,-0.0176,0.3649,0.439,1
0.759,-0.2493,0.1478,0.4885,0.568,1
0.77,-0.3145,0.1784,0.5234,0.636,1
0.787,-0.3735,0.141,0.4429,0.596,1
