time,ax,ay,az,aT,label
0.009,0.3107,0.0098,-0.0019,0.311,0
0.01,0.3448,0.0799,-0.0504,0.358,0
0.01,0.3869,0.075,-0.0782,0.402,0
0.026,0.3809,0.0253,-0.157,0.413,0
0.031,0.3183,0.0704,-0.1664,0.366,0
0.073,0.2532,0.1688,-0.0794,0.314,0
0.074,0.1836,0.1345,-0.0409,0.231,0
0.074,0.1629,0.0976,-0.0035,0.19,0
0.075,0.1001,0.0574,0.0342,0.12,0
0.082,0.0424,0.0,0.0912,0.10099999999999999,0
0.093,0.0158,-0.0649,0.05,0.083,0
0.101,-0.0384,-0.0743,-0.0108,0.084,0
0.11,-0.0317,-0.0522,-0.0424,0.07400000000000001,0
0.126,-0.045,-0.0122,-0.0347,0.057999999999999996,0
0.13,-0.0467,0.0077,-0.0172,0.05,0
0.174,-0.0493,-0.0501,0.0493,0.086,0
0.175,-0.0782,-0.0662,0.0275,0.106,0
0.176,-0.0911,-0.0762,0.0159,0.12,0
0.176,-0.1375,-0.0625,0.0432,0.157,0
0.183,-0.1426,-0.0743,0.0515,0.16899999999999998,0
0.194,-0.1326,-0.1185,0.2066,0.273,0
0.2,-0.0908,-0.0928,0.0289,0.133,0
0.21,-0.027,-0.0049,0.0177,0.033,0
0.228,-0.0225,-0.0658,0.1048,0.126,0
0.23,-0.1123,-0.0849,0.0445,0.14800000000000002,0
0.273,-0.1777,-0.0692,0.0239,0.192,0
0.274,-0.1488,-0.0216,0.0521,0.159,0
0.274,-0.1559,-0.0163,0.1002,0.18600000000000003,0
0.275,-0.1294,-0.0105,0.0894,0.158,0
0.281,-0.118,-0.0167,-0.0288,0.12300000000000001,0
0.293,-0.0502,0.0151,0.1467,0.156,0
0.3,-0.0245,0.0063,0.0581,0.063,0
0.311,-0.0033,0.0552,0.0478,0.073,0
0.325,0.0652,0.1131,0.0082,0.131,0
0.33,0.0555,0.1299,0.0275,0.14400000000000002,0
0.377,0.107,0.1105,0.1057,0.187,0
