time,ax,ay,az,aT
0.0090,0.0982,-0.1098,-0.2363,0.278
0.0100,-0.0109,0.0159,-0.0498,0.053
0.0170,0.1065,0.0327,-0.0007,0.111
0.0230,0.1016,-0.0060,-0.0597,0.118
0.0320,0.0350,0.0117,-0.0499,0.062
0.0460,0.0212,0.0316,0.0381,0.054
0.0520,-0.0216,0.0112,0.1067,0.109
0.0620,-0.0364,-0.0083,0.0477,0.061
0.0720,-0.0305,0.0295,0.0084,0.043
0.0820,-0.0164,0.0686,-0.0406,0.081
0.0920,0.0067,0.0657,-0.0798,0.104
0.1020,0.0203,0.0569,-0.0603,0.085
0.1120,-0.0151,0.0368,0.0376,0.055
0.1310,-0.0306,-0.0214,-0.0114,0.039
0.1320,-0.0166,0.0179,-0.0311,0.040
0.1420,-0.0049,-0.0020,0.0080,0.010
0.1520,0.0164,-0.0387,0.0275,0.050
0.1620,0.0278,-0.0671,0.0274,0.078
0.1720,0.0004,-0.0354,0.0077,0.036
0.1820,0.0410,-0.0161,0.0076,0.045
0.1920,0.0323,0.0227,-0.0315,0.051
0.2020,0.0246,0.0419,0.0664,0.082
0.2120,0.0174,-0.0154,0.0369,0.044
0.2300,0.0297,-0.0359,-0.0316,0.056
0.2320,0.0137,0.0227,0.0172,0.032
0.2420,0.0168,-0.0167,0.0074,0.025
0.2520,-0.0093,-0.0437,0.0171,0.048
0.2620,-0.0351,-0.0426,0.0170,0.058
0.2790,-0.0401,-0.0025,0.0267,0.048
0.2820,-0.0159,0.0094,0.0854,0.087
0.2920,0.0067,0.0094,-0.0029,0.012
0.3020,0.0708,0.0609,0.0361,0.100
0.3120,0.1197,0.0396,0.0558,0.138
0.3300,0.0964,0.0017,0.0556,0.111
0.3320,0.0597,0.0013,-0.0423,0.073
0.3420,0.0157,0.0304,-0.0718,0.080
0.3520,-0.0066,0.0201,0.0261,0.034
0.3620,-0.0887,-0.0198,0.0064,0.091
0.3720,-0.1080,-0.0369,0.0749,0.137
0.3820,-0.1027,0.0025,0.0061,0.103
0.3920,-0.0580,-0.0070,0.0159,0.061
0.4020,-0.0150,0.0140,-0.0233,0.031
0.4120,0.0156,0.0225,0.0649,0.070
0.4290,0.0380,0.0134,0.0844,0.094
0.4310,0.0303,-0.0252,0.0158,0.042
0.4420,0.0632,-0.0065,0.0942,0.114
0.4520,0.0459,0.0212,0.1433,0.152
0.4620,0.1185,-0.0585,0.0354,0.137
0.4720,0.1480,-0.0679,0.0550,0.172
0.4820,0.1560,0.0103,0.0550,0.166
0.4920,0.1584,0.0449,0.0453,0.171
0.5020,0.1799,0.0454,0.0256,0.187
0.5120,0.1375,0.0124,0.0649,0.153
0.5290,0.0832,0.0206,0.0355,0.093
0.5310,0.0947,0.0257,0.0356,0.104
0.5420,0.1126,0.0532,0.1043,0.162
0.5520,0.0685,0.0472,0.1437,0.166
0.5620,0.0575,0.0043,0.1733,0.183
0.5720,0.0445,0.0078,-0.0616,0.076
0.5820,0.1028,0.0522,-0.1006,0.153
0.5920,0.0995,0.0930,-0.1296,0.188
0.6020,0.0522,0.0605,-0.0606,0.100
0.6120,-0.0516,0.0371,-0.0700,0.095
0.6280,-0.1870,0.0156,-0.0598,0.197
0.6310,-0.2661,0.0340,-0.0005,0.268
0.6420,-0.2502,0.0141,0.1272,0.281
0.6520,-0.2506,0.0140,0.2159,0.331
0.6620,-0.3704,0.0027,0.1573,0.402
0.6720,-0.3435,-0.0740,0.1870,0.398
0.6820,-0.2327,-0.0473,0.1676,0.291
0.6920,-0.1592,-0.0400,0.0893,0.187
0.7020,-0.1613,-0.0053,0.0208,0.163
0.7120,-0.1593,-0.0003,-0.0671,0.173
0.7290,-0.1517,-0.0133,-0.1161,0.191
0.7310,-0.1592,-0.0451,-0.0767,0.182
0.7420,-0.1922,-0.0579,-0.0276,0.203
0.7520,-0.2304,-0.0397,0.0803,0.247
0.7620,-0.2702,-0.0334,0.0802,0.284
0.7720,-0.2080,-0.1390,0.0995,0.269
0.7820,-0.1386,-0.1540,0.0895,0.226
0.7920,-0.0691,-0.1337,0.0009,0.151
0.8020,-0.0140,-0.0895,-0.0189,0.093
0.8120,0.0102,-0.0347,-0.0191,0.041
0.8290,0.0939,-0.0377,0.0003,0.101
0.8320,0.0832,-0.0419,0.0198,0.095
0.8420,0.0562,-0.0558,0.0590,0.099
0.8520,0.1118,-0.0792,0.0296,0.140
0.8630,0.1804,-0.1149,0.0985,0.235
0.8720,0.2607,-0.0619,0.0400,0.271
0.8820,0.2450,0.0193,0.0013,0.246
0.8920,0.2894,0.0383,-0.0371,0.294
0.9020,0.2885,0.0910,-0.0169,0.303
0.9120,0.2700,0.0793,0.1016,0.299
0.9280,0.2464,0.1128,0.1610,0.315
0.9320,0.2335,0.1463,0.1720,0.325
0.9470,0.2426,0.1187,0.1040,0.289
0.9520,0.2425,0.1779,0.0564,0.306
0.9620,0.1876,0.1881,-0.0017,0.266
0.9720,0.2051,0.1125,-0.0201,0.235
