time,ax,ay,az,aT
0.0170,-0.1951,0.0543,-0.0601,0.211
0.0180,-0.0371,-0.0600,-0.2526,0.262
0.0180,0.2190,-0.0198,-0.3367,0.402
0.0180,0.3924,0.0490,-0.3185,0.508
0.0280,0.4473,0.0233,-0.3554,0.572
0.0380,0.3634,0.0266,-0.3202,0.485
0.0470,0.2701,-0.0242,-0.2135,0.345
0.0570,0.1892,-0.0634,-0.0558,0.207
0.0670,0.1767,-0.0339,0.0007,0.180
0.0770,0.1200,-0.0527,-0.0196,0.133
0.1000,0.0211,-0.0327,0.0659,0.077
0.1010,-0.1027,-0.0516,0.0519,0.126
0.1090,-0.1692,0.0165,0.0190,0.171
0.1160,-0.2100,-0.0056,-0.0054,0.210
0.1270,-0.2294,-0.0083,0.0019,0.230
0.1380,-0.2423,-0.0007,-0.0417,0.246
0.1500,-0.2413,-0.0039,-0.0246,0.243
0.1560,-0.2019,0.0148,0.0019,0.202
0.1660,-0.1771,0.0153,0.0102,0.178
0.1760,-0.1220,0.0429,-0.0500,0.139
0.1880,-0.0613,0.0049,-0.0311,0.069
0.1960,0.0065,0.0046,-0.0309,0.032
0.2100,0.0643,-0.0243,-0.0307,0.075
0.2160,0.0986,0.0141,-0.0291,0.104
0.2260,0.0681,-0.0255,-0.1072,0.130
0.2380,0.1313,-0.0161,-0.0761,0.153
0.2470,0.0918,-0.0076,-0.1150,0.147
0.2560,0.0617,-0.0080,-0.0657,0.090
0.2660,0.0733,-0.0001,-0.0364,0.082
0.2810,0.0074,-0.1994,-0.1463,0.247
0.2890,0.0906,-0.0723,0.1563,0.195
0.2960,0.0207,0.0070,0.1144,0.116
0.3290,0.0492,-0.1504,0.0532,0.167
0.3290,0.0835,-0.1280,0.1003,0.183
0.3300,0.0601,-0.1120,0.0698,0.145
0.3430,0.1721,-0.0545,0.2258,0.289
0.3460,0.2128,0.1181,0.1350,0.278
0.3600,0.1977,-0.0625,-0.0223,0.209
0.3670,0.1688,-0.1374,-0.0339,0.220
0.3780,0.0787,-0.2377,-0.1338,0.284
0.4130,0.2300,0.0013,0.1084,0.254
0.4140,0.2394,0.1344,0.0005,0.275
0.4140,0.3073,-0.0105,-0.0523,0.312
0.4220,0.2664,0.0075,0.0162,0.267
0.4310,0.2384,-0.0121,0.0220,0.240
0.4370,0.2444,-0.0605,0.0979,0.270
0.4460,0.3016,0.1552,0.0824,0.349
0.4560,0.2268,0.1389,0.1283,0.295
0.4660,0.1205,0.0176,0.1424,0.187
0.4790,0.0085,-0.0224,0.2726,0.274
0.4870,-0.0045,0.1898,0.2856,0.343
0.4960,-0.0411,0.1167,0.2876,0.313
0.5170,-0.0527,0.0854,0.3296,0.345
0.5180,0.0137,0.0150,0.2052,0.206
0.5270,-0.0190,-0.0174,0.2580,0.259
0.5380,-0.1795,0.0181,0.3383,0.383
0.5460,-0.3421,0.0413,0.5178,0.622
0.5560,-0.3757,0.0928,0.7128,0.811
0.5660,-0.4119,0.0822,0.7841,0.890
0.5770,-0.4126,0.0735,0.8422,0.941
0.6050,-0.5125,0.0682,0.7298,0.894
0.6070,-0.5627,0.0734,0.6822,0.887
0.6080,-0.5775,0.0529,0.6900,0.901
0.6160,-0.5433,0.0429,0.6648,0.860
0.6270,-0.5814,-0.0229,0.7635,0.960
0.6360,-0.6010,-0.0653,0.7408,0.956
0.6460,-0.6980,-0.0613,0.6967,0.988
0.6560,-0.7433,0.0226,0.5214,0.908
0.6660,-0.7311,0.0912,0.3725,0.826
0.6790,-0.7020,0.1373,0.3886,0.814
0.6870,-0.6828,0.1272,0.4777,0.843
0.6970,-0.5765,0.0956,0.5565,0.807
0.7090,-0.4389,0.0845,0.5612,0.717
0.7160,-0.2220,0.1819,0.3935,0.487
0.7280,-0.0343,0.2983,0.4116,0.509
0.7370,0.0128,0.3989,0.3779,0.550
0.7460,0.0640,0.5751,0.2805,0.643
0.7560,0.1103,0.7333,0.2238,0.775
0.7660,0.2269,0.8237,0.1569,0.869
0.7790,0.2658,0.8825,0.2312,0.950
0.7870,0.2656,1.0065,0.3208,1.089
0.7960,0.2073,0.9396,0.3178,1.013
0.8130,0.2425,0.8866,0.3114,0.970
0.8170,0.2662,0.7645,0.3300,0.874
0.8260,0.3198,0.6597,0.2672,0.780
0.8370,0.3789,0.4840,0.2867,0.678
0.8470,0.5183,0.2868,0.0704,0.597
0.8560,0.6064,0.2743,-0.1395,0.680
0.8660,0.6373,0.4244,-0.2955,0.821
0.8780,0.5398,0.6120,-0.2669,0.859
0.8870,0.4566,0.5637,-0.2990,0.785
0.8960,0.3199,0.4710,-0.3658,0.677
0.9160,0.1795,0.3473,-0.4821,0.621
0.9170,-0.0082,0.2804,-0.5866,0.650
0.9270,-0.1636,0.2585,-0.5799,0.656
0.9370,-0.2953,0.1591,-0.5337,0.630
0.9460,-0.5163,0.0912,-0.5478,0.758
0.9560,-0.5967,0.0209,-0.5079,0.784
0.9670,-0.5675,-0.0908,-0.4930,0.757
0.9770,-0.3712,-0.1984,-0.4728,0.633
1.0060,-0.1866,-0.2380,-0.5837,0.657
1.0070,-0.0811,-0.2747,-0.6564,0.716
1.0080,-0.0308,-0.2741,-0.8145,0.860
1.0160,-0.0264,-0.3312,-0.9247,0.983
1.0270,-0.1164,-0.3774,-0.9774,1.054
1.0370,-0.1576,-0.5440,-1.0259,1.172
1.0460,-0.1893,-0.7138,-1.0041,1.246
1.0560,-0.2675,-0.8564,-1.0037,1.346
1.0660,-0.3136,-0.9540,-1.0437,1.448
1.0770,-0.2616,-0.9636,-1.0663,1.461
1.1030,-0.2079,-0.9897,-1.1372,1.522
1.1040,-0.1794,-1.0815,-1.1815,1.612
1.1060,-0.1689,-1.1427,-1.3025,1.741
1.1160,-0.1593,-1.1640,-1.5513,1.946
1.1270,-0.0262,-1.2093,-1.6252,2.026
1.1360,0.0448,-1.2031,-1.6386,2.033
1.1500,0.1329,-1.3029,-1.5270,2.012
1.1560,0.1471,-1.3274,-1.4894,2.000
1.1660,0.1704,-1.3948,-1.3341,1.938
1.1770,0.1885,-1.4736,-1.1848,1.900
1.2070,0.3226,-1.4456,-1.1590,1.881
1.2080,0.4613,-1.4385,-1.0875,1.861
1.2090,0.5987,-1.3446,-1.2009,1.900
1.2160,0.7101,-1.1823,-1.2017,1.829
1.2260,0.8270,-1.0603,-1.1426,1.765
1.2360,0.7584,-0.8641,-0.7838,1.391
1.2460,0.7041,-0.7144,-0.4062,1.082
1.2560,0.5885,-0.5963,-0.0186,0.838
1.2660,0.5822,-0.4985,0.1894,0.790
1.2770,0.5838,-0.3376,0.3114,0.743
1.3030,0.6266,-0.2254,0.3174,0.738
1.3030,0.7007,-0.1192,0.4135,0.822
1.3060,0.7596,-0.0876,0.4305,0.877
1.3160,0.8938,-0.0205,0.2294,0.923
1.3270,0.9768,0.0604,0.1509,0.990
1.3370,1.0651,0.1589,0.1336,1.085
1.3460,1.0639,0.2163,0.1157,1.092
1.3560,0.9188,0.2659,0.1200,0.964
1.3660,0.7484,0.2368,0.2706,0.830
1.3760,0.6419,0.1769,0.4566,0.807
1.4010,0.6008,0.0924,0.5807,0.841
1.4020,0.6006,-0.0057,0.5910,0.843
1.4060,0.6299,-0.0371,0.4659,0.784
1.4160,0.6649,-0.0263,0.2404,0.708
1.4260,0.6929,-0.0037,0.0105,0.693
1.4360,0.7095,-0.0382,-0.0845,0.716
1.4460,0.7520,-0.1154,0.0344,0.762
1.4560,0.6910,-0.2212,0.1550,0.742
1.4660,0.5538,-0.2624,0.1517,0.631
1.4770,0.3206,-0.2461,0.0793,0.412
1.4990,0.1793,-0.2223,0.1538,0.324
1.5010,0.1698,-0.1807,0.1684,0.300
1.5090,0.1821,-0.1985,0.1961,0.333
1.5160,0.2139,-0.2077,0.2047,0.362
1.5270,0.2687,-0.2298,0.1974,0.405
1.5360,0.3017,-0.1576,0.1042,0.356
1.5460,0.3661,-0.0954,-0.0189,0.379
1.5560,0.4370,0.0254,-0.0291,0.439
1.5670,0.4127,0.0567,0.0210,0.417
1.5770,0.2779,0.0761,0.0632,0.295
1.5870,0.1179,0.0850,0.1197,0.188
1.5960,0.0302,0.0827,0.1950,0.214
1.6130,0.0182,0.0698,0.2226,0.234
1.6160,0.0338,0.0838,0.1538,0.178
1.6270,0.1457,0.1482,0.0993,0.230
1.6360,0.1596,0.1842,-0.0110,0.244
1.6460,0.2088,0.1385,-0.0924,0.267
1.6560,0.1735,0.1058,-0.1439,0.249
1.6660,0.1168,0.0783,-0.3430,0.371
1.6770,0.1404,0.0438,-0.4625,0.485
1.7010,0.1632,0.0077,-0.4661,0.494
1.7020,0.0665,-0.0036,-0.4523,0.457
1.7060,0.0126,-0.0089,-0.4177,0.418
1.7160,-0.0535,-0.0278,-0.4186,0.423
1.7260,-0.0672,-0.0403,-0.3752,0.383
1.7360,-0.0323,0.0379,-0.5240,0.526
1.7460,0.0846,0.0186,-0.6100,0.616
1.7560,0.1391,0.0514,-0.6325,0.650
1.7660,0.1884,0.0955,-0.6551,0.688
1.7770,0.1037,0.1314,-0.5083,0.535
1.8070,0.0584,0.1109,-0.4479,0.465
1.8080,0.0318,0.1022,-0.4654,0.478
1.8080,-0.0073,0.1023,-0.4356,0.448
1.8160,-0.0636,0.0660,-0.4951,0.504
1.8260,-0.1634,0.0890,-0.5362,0.568
1.8360,-0.3875,0.1044,-0.4441,0.599
1.8460,-0.5500,0.1516,-0.2977,0.644
1.8560,-0.6405,0.1916,-0.1290,0.681
1.8660,-0.5867,0.2122,-0.0776,0.629
1.8770,-0.3725,0.1966,-0.0998,0.433
1.9070,-0.1360,0.1507,-0.1623,0.260
1.9080,0.0462,0.0914,-0.1582,0.188
1.9090,0.2754,0.0764,-0.1967,0.347
1.9160,0.3979,0.0668,-0.2344,0.467
1.9270,0.3434,0.0799,-0.2995,0.463
1.9360,0.1225,0.0681,-0.3776,0.403
1.9460,-0.0557,0.0047,-0.2107,0.218
1.9560,-0.0839,-0.1226,-0.2004,0.249
1.9660,0.0287,-0.2011,-0.1358,0.244
1.9770,0.1366,-0.2221,-0.0391,0.264
2.0060,0.1578,-0.2410,0.0955,0.303
2.0070,0.1274,-0.1475,0.0373,0.198
2.0070,0.2095,-0.1287,0.0669,0.255
2.0160,0.2475,-0.1422,0.1385,0.317
2.0260,0.3496,-0.1707,-0.2222,0.448
2.0360,0.2752,-0.1681,-0.4978,0.593
2.0460,0.1120,-0.1085,-0.5995,0.619
2.0560,0.0259,-0.1086,-0.6072,0.617
2.0660,0.1948,-0.1072,-0.4814,0.530
2.0760,0.3501,-0.1303,-0.3886,0.539
2.1000,0.4537,-0.1268,-0.3290,0.575
2.1010,0.5038,-0.1094,-0.2803,0.587
2.1090,0.6480,-0.0285,-0.2363,0.690
2.1160,0.6732,0.0427,-0.3867,0.778
2.1260,0.7181,0.0930,-0.5456,0.907
2.1360,0.7353,0.0452,-0.6906,1.010
2.1510,0.8399,-0.0502,-0.7188,1.107
2.1560,0.7227,-0.0427,-0.6888,0.999
2.1680,0.9407,0.0210,-0.4347,1.036
2.1760,1.3260,-0.0223,-0.3388,1.369
2.1920,1.4313,-0.1034,-0.5220,1.527
2.1960,1.2530,-0.1085,-0.6350,1.409
2.2060,1.2485,-0.2645,-0.4643,1.358
2.2160,1.1379,-0.3460,-0.2419,1.214
2.2260,1.0710,-0.4400,-0.0097,1.158
2.2360,1.0019,-0.4830,0.1836,1.127
2.2460,1.0573,-0.4708,0.3831,1.219
2.2560,1.0630,-0.4106,0.4398,1.221
2.2660,1.1589,-0.3379,0.4058,1.274
2.2760,1.1597,-0.3365,0.2613,1.235
2.3000,1.2167,-0.3092,-0.1341,1.263
2.3010,1.0802,-0.3060,-0.2660,1.154
2.3090,1.1133,-0.4188,0.0925,1.193
2.3190,1.5305,-0.6224,0.4877,1.723
2.3270,1.9380,-0.6387,0.2958,2.062
2.3360,1.9410,-0.5801,0.5284,2.094
2.3460,1.8756,-0.4969,0.5022,2.004
2.3560,1.7279,-0.4587,0.4869,1.853
2.3730,1.7713,-0.4823,0.3117,1.862
2.3770,1.7413,-0.3573,-0.0640,1.779
2.4040,1.6220,-0.2709,-0.2129,1.658
2.4050,1.3589,-0.1579,-0.1360,1.375
2.4070,1.0747,-0.1226,-0.1640,1.094
2.4160,0.5447,-0.1148,-0.2777,0.622
2.4260,0.4522,-0.2354,-0.1727,0.538
2.4360,0.6932,-0.2895,-0.1130,0.760
2.4460,0.9772,-0.3327,0.0539,1.034
2.4560,1.0389,-0.2939,-0.3164,1.125
2.4710,0.9276,-0.2639,-0.4674,1.072
