time,ax,ay,az,aT,label
0.01,0.1434,0.1145,-0.0137,0.184,0
0.01,0.2026,0.004,-0.0803,0.218,0
0.016,0.3238,-0.0469,-0.0502,0.331,0
0.024,0.3002,0.0001,-0.0487,0.304,0
0.033,0.212,-0.0216,-0.029,0.215,0
0.044,0.1323,-0.0318,0.0005,0.136,0
0.081,0.0984,-0.0243,0.0393,0.109,0
0.082,0.0635,-0.0058,0.0879,0.109,0
0.083,0.0699,-0.0364,0.0089,0.079,0
0.084,0.0451,0.0008,-0.011,0.046,0
0.094,0.0127,0.0584,-0.0411,0.073,0
0.104,-0.0382,0.036,-0.0515,0.07400000000000001,0
0.114,-0.0705,0.0347,-0.0325,0.085,0
0.124,-0.1273,0.0146,0.0447,0.136,0
0.133,-0.1318,0.0124,0.0639,0.147,0
0.144,-0.1309,0.0027,0.0237,0.133,0
0.154,-0.1475,0.0393,-0.0156,0.153,0
0.164,-0.1106,-0.0088,0.0325,0.11599999999999999,0
0.185,-0.091,-0.0108,0.0621,0.111,0
0.185,-0.0598,-0.0288,0.0814,0.105,0
0.194,-0.0138,0.0192,0.0523,0.057,0
0.204,0.0588,0.0275,-0.0156,0.067,0
0.214,0.1039,0.0466,-0.025,0.11699999999999999,0
0.224,0.1444,0.0254,-0.0731,0.16399999999999998,0
0.233,0.1532,0.0163,-0.024,0.156,0
0.244,0.139,0.0441,-0.0431,0.152,0
0.269,0.064,0.0358,-0.0239,0.077,0
0.27,0.057,0.0074,-0.0046,0.057999999999999996,0
0.278,0.013,0.018,0.0634,0.067,0
0.283,-0.029,-0.0184,-0.006,0.035,0
0.294,-0.0534,0.0123,-0.0359,0.066,0
0.309,-0.0471,0.014,-0.0268,0.055999999999999994,0
0.313,-0.0639,-0.014,-0.0173,0.068,0
0.325,-0.0684,-0.0388,-0.018,0.081,0
0.333,-0.0868,-0.0368,0.0209,0.09699999999999999,0
0.344,-0.035,-0.0419,0.0302,0.062,0
0.39,-0.0043,0.0002,0.0594,0.06,0
0.391,-0.0311,0.0125,-0.0095,0.035,0
0.392,0.0104,-0.0134,-0.0099,0.02,0
0.393,0.0038,-0.0189,-0.0104,0.022000000000000002,0
0.394,-0.0021,-0.0346,0.0086,0.036000000000000004,0
0.404,0.0678,-0.0398,0.0279,0.083,0
0.413,0.1007,0.0609,0.0274,0.121,0
0.424,0.1015,0.0898,-0.0117,0.136,0
0.433,0.0881,0.0541,0.0071,0.10400000000000001,0
0.444,0.0165,-0.0006,0.0161,0.023,0
0.454,-0.0434,-0.1036,0.123,0.16699999999999998,0
0.464,-0.0528,-0.1247,0.1609,0.21,0
0.485,-0.0542,-0.111,0.0522,0.134,0
0.486,-0.0167,-0.0583,-0.0172,0.063,0
0.494,-0.0073,-0.0067,0.0112,0.015,0
0.504,-0.0259,-0.0336,0.0788,0.08900000000000001,0
0.514,-0.083,-0.0205,0.0777,0.11599999999999999,0
0.523,-0.1461,-0.0178,0.0862,0.171,0
0.533,-0.1365,0.0134,0.0755,0.157,0
0.544,-0.1348,0.0423,0.0648,0.155,0
0.554,-0.13,0.0729,0.0154,0.15,0
0.564,-0.1236,0.0333,0.0541,0.139,0
0.585,-0.1333,0.0234,0.0737,0.154,0
0.586,-0.0728,-0.0049,0.103,0.126,0
0.594,-0.0456,0.0055,0.0835,0.095,0
0.604,0.0186,-0.0231,0.074,0.08,0
0.614,0.0146,-0.013,0.0351,0.04,0
0.623,0.0951,0.0239,0.0064,0.098,0
0.634,0.1109,0.0624,-0.003,0.127,0
0.644,0.1324,0.0872,0.0173,0.159,0
0.655,0.1404,0.1255,-0.002,0.188,0
0.663,0.1348,0.1006,-0.0111,0.16899999999999998,0
0.678,0.0872,0.1103,-0.0112,0.141,0
0.683,0.0587,0.0303,-0.0211,0.069,0
0.694,0.0638,-0.0187,0.0471,0.081,0
0.704,0.0589,-0.0749,0.076,0.122,0
0.714,0.1053,-0.0851,0.0852,0.16,0
0.724,0.1183,-0.0172,0.0066,0.12,0
0.733,0.0972,-0.0572,-0.0038,0.113,0
0.744,0.0745,-0.0379,0.0054,0.084,0
0.755,0.0166,-0.0391,-0.005,0.043,0
0.764,-0.0387,-0.0864,0.0722,0.11900000000000001,0
0.786,-0.0578,-0.0502,0.101,0.127,0
0.787,-0.0551,-0.0313,0.1296,0.14400000000000002,0
0.796,-0.0163,0.0037,0.08,0.08199999999999999,0
0.804,0.0091,0.0011,0.1484,0.149,0
0.813,0.0752,0.0172,0.1382,0.158,0
0.824,0.0995,-0.0166,0.2067,0.23,0
0.833,0.0602,-0.0128,0.1475,0.16,0
0.844,-0.0159,0.0186,0.196,0.198,0
0.855,-0.0724,-0.009,0.1465,0.16399999999999998,0
0.863,-0.1431,-0.0068,0.185,0.23399999999999999,0
0.885,-0.1913,-0.0266,0.3613,0.41,0
0.886,-0.1754,-0.083,0.5862,0.617,0
0.893,-0.1573,-0.1555,0.6942,0.7290000000000001,0
0.904,-0.1036,-0.1948,0.7527,0.784,0
0.914,-0.0179,-0.235,0.8214,0.855,0
0.924,-0.161,-0.1574,0.7912,0.823,0
0.934,-0.3689,-0.0905,0.8695,0.9490000000000001,1
0.944,-0.4357,-0.0053,1.0843,1.169,1
0.968,-0.4538,0.1194,1.0652,1.1640000000000001,1
0.969,-0.4375,0.1974,1.2624,1.351,1
0.974,-0.4662,0.2445,1.2058,1.3159999999999998,1
0.984,-0.6544,0.196,1.2186,1.3969999999999998,1
0.994,-0.9893,0.1381,0.9873,1.4040000000000001,1
1.004,-1.2969,-0.0634,0.9814,1.6280000000000001,1
1.014,-1.2063,-0.2258,0.9874,1.575,1
1.023,-0.7467,-0.3013,0.846,1.168,1
1.034,-0.4033,-0.337,0.5405,0.754,1
1.045,-0.2212,-0.334,0.2246,0.45899999999999996,1
1.069,-0.3055,-0.1973,0.1756,0.40399999999999997,1
1.07,-0.6223,-0.0495,0.2645,0.6779999999999999,1
1.074,-0.9015,-0.062,0.1679,0.919,1
1.083,-0.7647,-0.1813,0.2373,0.821,1
1.094,-0.6365,-0.2554,0.3875,0.7879999999999999,1
1.104,-0.5787,-0.0417,0.4793,0.753,1
1.114,-0.6131,0.3366,0.4757,0.846,1
1.123,-0.5399,0.3857,0.3975,0.773,1
1.134,-0.4685,0.3228,0.3096,0.648,1
1.144,-0.3443,0.232,0.2345,0.47700000000000004,1
1.168,-0.2955,0.2325,0.1502,0.405,1
1.169,-0.2588,0.2708,0.0111,0.375,1
1.174,-0.2131,0.446,0.0186,0.495,1
1.185,-0.1467,0.5347,0.1209,0.5670000000000001,1
1.193,-0.14,0.6025,0.103,0.627,1
1.204,-0.14,0.6098,0.0642,0.629,1
1.214,-0.1869,0.5819,0.0604,0.614,1
1.224,-0.2247,0.5178,0.0351,0.5660000000000001,1
1.233,-0.1927,0.5127,0.084,0.5539999999999999,1
1.244,-0.2364,0.4449,0.0811,0.51,1
1.268,-0.2167,0.4329,0.0736,0.49,1
1.269,-0.0852,0.2969,0.1483,0.34299999999999997,1
1.274,0.0557,0.2006,0.1123,0.237,1
1.283,0.1524,0.1108,0.0285,0.191,1
1.294,0.2487,0.0951,-0.0461,0.27,1
1.304,0.3718,0.0922,-0.2172,0.44,1
1.313,0.5241,0.0507,-0.3313,0.622,1
1.324,0.6643,-0.0264,-0.4747,0.8170000000000001,1
1.333,0.7721,-0.1107,-0.5311,0.9440000000000001,1
1.344,0.9192,-0.2176,-0.6096,1.124,1
1.371,1.1256,-0.3039,-0.6816,1.351,1
1.371,1.1618,-0.4428,-0.7918,1.474,1
1.374,1.2073,-0.3732,-0.9099,1.557,1
1.383,1.1237,-0.3803,-0.9657,1.53,1
1.394,1.1428,-0.3596,-0.9344,1.5190000000000001,1
1.404,1.0252,-0.3598,-0.7936,1.345,1
1.413,1.0799,-0.412,-0.6445,1.3230000000000002,1
1.424,1.0318,-0.495,-0.5494,1.2690000000000001,1
1.438,1.0579,-0.6259,-0.5367,1.341,1
1.443,1.0285,-0.6232,-0.613,1.35,1
1.468,1.0712,-0.6725,-0.6421,1.4180000000000001,1
1.469,1.0744,-0.6956,-0.6537,1.4369999999999998,1
1.474,1.2204,-0.7623,-0.7542,1.625,1
1.486,1.318,-0.7944,-0.8185,1.743,1
1.493,1.3883,-0.7511,-0.9009,1.817,1
1.504,1.4191,-0.7673,-1.0319,1.915,1
1.514,1.4323,-0.7113,-1.1836,1.99,1
1.524,1.3908,-0.7681,-1.243,2.017,1
1.54,1.4133,-0.8255,-1.2675,2.07,1
1.544,1.3276,-0.8671,-1.3269,2.068,1
1.573,1.3038,-0.8913,-1.3213,2.059,1
1.575,1.2527,-0.9076,-1.3125,2.029,1
1.575,1.1888,-0.8477,-1.2398,1.915,1
1.585,1.0167,-0.5742,-0.9467,1.5030000000000001,1
1.593,0.5902,0.4583,0.0014,0.747,1
1.604,-0.2742,1.8959,0.3495,1.9469999999999998,1
1.613,-0.5215,2.1488,0.1808,2.219,1
1.624,0.2117,0.9942,0.3629,1.079,1
1.639,1.1879,-0.5046,0.1551,1.3,1
1.644,1.5229,-1.2983,-0.2339,2.015,1
1.673,1.583,-1.066,-0.3377,1.9380000000000002,1
1.674,1.4351,-0.602,-0.2969,1.584,1
1.674,1.2256,-0.319,-0.228,1.287,1
1.685,1.0017,-0.1862,-0.2504,1.0490000000000002,1
1.693,0.8676,-0.2244,-0.1669,0.912,1
1.704,0.7587,-0.2937,0.0746,0.8170000000000001,1
1.713,0.6933,-0.359,0.1924,0.804,1
1.724,0.6178,-0.4324,0.0349,0.755,1
1.739,0.576,-0.5561,-0.0592,0.8029999999999999,1
1.744,0.4404,-0.528,-0.065,0.691,1
1.773,0.3783,-0.4857,-0.0058,0.616,1
1.774,0.3495,-0.4606,-0.0609,0.581,1
1.775,0.3371,-0.402,-0.3065,0.608,1
1.785,0.2091,-0.4577,-0.1942,0.539,1
1.795,0.0486,-0.4212,0.0503,0.42700000000000005,1
1.804,-0.215,-0.392,0.2842,0.53,1
1.813,-0.4399,-0.3116,0.3775,0.6579999999999999,1
1.824,-0.5656,-0.2343,0.4308,0.7490000000000001,1
1.84,-0.6437,-0.2223,0.4621,0.823,1
1.844,-0.586,-0.2024,0.4123,0.745,1
1.874,-0.5168,-0.2552,0.2667,0.635,1
1.875,-0.4509,-0.2709,0.1072,0.537,1
1.875,-0.3341,-0.1388,0.0052,0.36200000000000004,1
1.885,-0.2168,-0.0195,-0.1866,0.287,1
1.896,-0.1796,0.0744,-0.2086,0.285,1
1.908,-0.1824,0.1305,-0.2992,0.374,1
1.913,-0.1523,0.1956,-0.4561,0.519,1
1.924,-0.1808,0.1592,-0.5856,0.633,1
1.941,-0.2452,0.1158,-0.5876,0.647,1
1.943,-0.3859,0.0854,-0.4913,0.631,1
1.96,-0.7527,0.1793,-0.2172,0.804,1
1.964,-0.7347,0.1515,-0.0617,0.753,1
1.974,-0.2451,-0.0739,0.2172,0.336,1
1.998,0.0941,-0.0368,-0.0047,0.10099999999999999,1
2.001,0.1103,0.18,-0.2137,0.3,1
2.008,0.0218,0.2788,-0.2591,0.381,1
2.013,-0.0381,0.3606,-0.5369,0.648,1
2.024,-0.1135,0.3171,-0.5484,0.644,1
2.038,-0.2241,0.2501,-0.5463,0.6409999999999999,1
2.044,-0.3542,0.2386,-0.5468,0.6940000000000001,1
2.072,-0.5142,0.2487,-0.436,0.7190000000000001,1
2.073,-0.6128,0.2125,-0.4277,0.777,1
2.074,-0.4438,0.1058,-0.6282,0.7759999999999999,1
2.084,-0.3904,-0.0372,0.0045,0.392,1
2.094,0.1398,-0.2335,0.5932,0.653,1
2.104,0.5764,-0.1288,0.4398,0.736,1
2.113,0.4544,0.1036,0.3359,0.574,1
2.124,0.2875,0.2104,0.1645,0.392,1
2.138,0.3836,0.1981,0.0373,0.433,1
2.144,0.4089,0.0863,-0.1244,0.436,1
2.167,0.2971,0.003,-0.1824,0.349,1
2.167,0.2243,0.0402,-0.1339,0.264,1
2.174,0.3757,0.1267,0.0951,0.408,1
2.184,0.5014,0.1556,0.0808,0.531,1
2.194,0.5081,0.0972,0.0749,0.523,1
2.204,0.4118,0.0501,0.0321,0.41600000000000004,1
2.214,0.3571,-0.0392,0.2711,0.45,1
2.224,0.2877,-0.1583,0.2344,0.40299999999999997,1
2.238,0.3224,-0.2896,0.3043,0.53,1
2.243,0.2495,-0.3567,0.2509,0.502,1
2.266,0.2756,-0.2936,0.2888,0.496,1
2.266,0.2806,-0.2291,0.1952,0.41100000000000003,1
2.274,0.3874,-0.1694,0.3356,0.54,1
2.284,0.7668,-0.1512,0.3976,0.877,1
2.293,0.9348,-0.104,0.1215,0.948,1
2.304,0.9527,-0.0022,-0.2854,0.995,1
2.314,1.0779,-0.0129,-0.6141,1.2409999999999999,1
2.324,1.194,-0.1513,-1.2742,1.7530000000000001,1
2.338,0.9515,-0.2652,-1.3265,1.6540000000000001,1
2.343,0.3378,-0.1123,-0.8673,0.938,1
2.368,0.2584,-0.2184,-0.089,0.35,1
2.369,0.2082,-0.3114,1.3544,1.405,1
2.374,0.3152,-0.4151,1.9174,1.9869999999999999,1
2.384,-0.0426,-0.5175,2.6382,2.6889999999999996,1
2.394,-0.0622,-0.2376,2.1378,2.1519999999999997,1
2.404,0.0231,0.0002,1.489,1.489,1
2.413,0.054,0.1057,0.6354,0.6459999999999999,1
2.424,0.0051,0.2325,-0.1988,0.306,1
2.437,0.0875,0.2151,-0.4354,0.493,1
2.443,0.4142,0.1521,-0.4659,0.642,1
2.472,0.9445,0.1651,-0.3658,1.026,1
2.473,1.1731,0.156,0.0804,1.186,1
2.473,1.4406,0.0344,0.5076,1.528,1
2.484,1.4297,0.0697,0.505,1.518,1
2.494,1.1005,0.1799,0.1647,1.127,1
2.504,0.739,0.1496,-0.1558,0.77,1
2.514,0.3733,-0.1706,-0.1465,0.436,1
2.524,-0.1564,-0.3221,-0.371,0.516,1
2.537,-0.7779,-0.091,-1.0515,1.311,1
2.543,-1.1217,-0.0119,-0.9053,1.4409999999999998,1
2.573,-1.3683,0.3131,-1.1107,1.79,1
2.574,-1.0012,0.298,-0.3242,1.094,1
2.574,-0.6885,0.116,0.2744,0.75,1
2.584,-0.637,0.0242,0.5377,0.8340000000000001,1
2.593,-0.46,0.0605,0.4845,0.6709999999999999,1
2.604,-0.0396,0.1681,0.067,0.185,1
2.613,0.4688,0.2429,-0.2456,0.5820000000000001,1
2.624,0.777,0.3595,-0.7512,1.139,1
2.637,1.0938,0.4574,-1.1255,1.635,1
2.643,1.1752,0.449,-1.3841,1.87,1
2.672,1.2364,0.3417,-1.3298,1.848,1
2.674,1.2113,0.2342,-1.2612,1.764,1
2.674,1.0635,0.1367,-0.9141,1.409,1
2.684,0.9562,0.1502,-0.6356,1.158,1
2.693,0.7342,0.2367,-0.603,0.9790000000000001,1
2.704,0.436,0.2884,-0.4487,0.6890000000000001,1
2.713,0.3721,0.2718,-0.1608,0.488,1
2.724,0.3603,0.1776,0.0396,0.40399999999999997,1
2.737,0.1814,0.1578,0.1144,0.266,1
2.744,-0.0045,0.1341,0.2093,0.249,1
2.766,-0.0046,0.1005,0.2971,0.314,1
2.767,0.1121,-0.0202,0.4896,0.503,1
2.774,0.3327,-0.0802,0.4944,0.601,1
2.784,0.2764,0.0053,0.4578,0.535,1
2.795,0.2364,-0.053,0.3562,0.431,1
2.803,0.3129,-0.0711,0.0963,0.335,1
2.813,0.2639,-0.0433,-0.2114,0.341,1
2.823,0.1487,-0.0394,-0.4205,0.44799999999999995,1
2.837,0.0507,0.0509,-0.2877,0.297,1
2.843,-0.1629,0.0862,-0.2878,0.342,1
2.872,-0.3524,0.0667,-0.2027,0.41200000000000003,1
2.873,-0.2485,0.0695,-0.3455,0.431,1
2.874,0.0003,0.0463,-0.2778,0.282,1
2.884,0.2221,0.1416,-0.266,0.374,1
2.893,0.1834,0.2176,-0.4931,0.569,1
2.903,0.189,0.2047,-0.4998,0.5720000000000001,1
2.913,0.1547,0.1767,-0.5044,0.556,1
2.923,0.153,0.1023,-0.4189,0.45799999999999996,1
2.937,0.1666,0.0678,-0.6348,0.66,1
2.943,-0.0377,0.0435,-0.9205,0.922,1
2.965,-0.245,0.0055,-1.1904,1.215,1
2.966,-0.3052,0.0246,-1.2845,1.32,1
2.974,-0.329,0.1004,-1.1228,1.1740000000000002,1
2.984,-0.2263,0.1652,-0.8191,0.866,1
2.994,-0.141,0.283,-0.6479,0.721,1
3.004,-0.0835,0.2462,-0.3439,0.431,1
3.014,-0.0256,0.1902,-0.0889,0.212,1
3.024,-0.1189,0.153,0.1354,0.23600000000000002,1
3.036,-0.2022,-0.0004,0.3352,0.391,1
3.044,-0.1409,-0.0498,0.4912,0.513,1
3.066,0.004,-0.1385,0.6509,0.665,1
3.066,0.2531,-0.2086,0.5248,0.619,1
3.074,0.435,-0.2798,0.2728,0.585,1
3.084,0.4975,-0.2975,0.1109,0.59,1
3.094,0.5887,-0.3124,0.0306,0.667,1
3.104,0.6364,-0.1921,-0.2807,0.722,1
3.113,0.5353,-0.1373,-0.4088,0.687,1
3.124,0.4729,-0.1905,-0.3749,0.633,1
3.137,0.4531,-0.289,-0.1014,0.547,1
3.144,0.4208,-0.3503,0.2009,0.583,1
3.171,0.4184,-0.2733,0.2584,0.563,1
3.172,0.3873,-0.0308,0.0622,0.39299999999999996,1
3.174,0.3987,0.0486,-0.0755,0.409,1
3.184,0.4783,-0.0495,-0.2322,0.534,1
3.193,0.5383,-0.2095,-0.2799,0.642,1
3.203,0.488,-0.2136,-0.2545,0.59,1
3.213,0.2389,-0.1196,0.0241,0.268,1
3.224,-0.0388,-0.0986,0.418,0.431,1
3.236,0.0932,-0.2059,0.9882,1.014,1
3.243,0.1711,-0.2641,1.0162,1.064,1
3.265,0.1893,-0.3614,1.0689,1.1440000000000001,1
3.266,0.3555,-0.2807,0.886,0.995,1
3.273,0.5642,-0.2078,0.5619,0.823,1
3.284,0.6746,-0.1188,0.0883,0.691,1
3.294,0.8227,-0.0979,-0.0779,0.8320000000000001,1
3.304,0.8702,-0.1522,-0.261,0.9209999999999999,1
3.313,0.5465,-0.0724,-0.1146,0.563,1
3.323,0.4898,-0.043,0.0289,0.493,1
3.337,0.5533,-0.1106,0.1676,0.589,1
3.344,0.5363,-0.1934,0.3473,0.6679999999999999,1
3.371,0.585,-0.2914,0.5626,0.862,1
3.373,0.6592,-0.3894,0.6535,1.0070000000000001,1
3.374,0.584,-0.3455,0.5897,0.899,1
3.384,0.5231,-0.2096,0.4037,0.693,1
3.394,0.4778,-0.0617,0.1714,0.511,1
3.404,0.4984,0.0609,0.0585,0.506,1
3.413,0.4976,0.0888,-0.2479,0.563,1
3.424,0.3249,0.0872,-0.5021,0.604,1
3.436,0.058,0.0971,-0.643,0.653,1
3.443,-0.1239,0.0523,-0.6637,0.677,1
3.473,-0.2123,-0.0133,-0.53,0.5710000000000001,1
3.474,-0.3085,0.0354,-0.5587,0.639,1
3.474,-0.494,0.0886,-0.5618,0.753,1
3.484,-0.3477,0.0902,-0.4451,0.5720000000000001,1
3.493,-0.1182,0.0755,-0.3932,0.41700000000000004,1
3.503,-0.0206,0.0754,-0.5016,0.508,1
3.513,-0.0083,0.1034,-0.5953,0.604,1
3.523,0.0295,0.0858,-0.6325,0.639,1
3.536,0.0639,0.0793,-0.5667,0.5760000000000001,1
3.543,0.0693,0.0298,-0.3609,0.369,1
3.574,-0.0292,-0.0541,-0.1126,0.128,1
3.575,-0.0693,-0.0956,0.153,0.193,1
3.576,-0.3204,-0.0554,0.0472,0.32899999999999996,1
3.586,-0.3886,-0.032,-0.037,0.392,1
3.593,-0.1859,-0.0517,-0.1325,0.23399999999999999,1
3.604,0.0089,-0.0556,-0.597,0.6,1
3.614,0.1871,-0.0028,-0.6936,0.718,1
3.624,0.3899,0.0214,-0.6695,0.775,1
3.637,0.3909,0.1272,-0.7782,0.88,1
3.643,0.2136,0.1514,-0.825,0.866,1
3.673,0.1677,0.1443,-0.6061,0.645,1
3.674,0.0704,0.1294,-0.3878,0.415,1
3.674,-0.0822,0.0241,-0.2999,0.312,1
3.684,-0.1195,0.0064,-0.0603,0.134,1
3.693,-0.2784,-0.0419,0.0014,0.282,1
3.704,-0.3956,-0.1152,-0.0309,0.413,1
3.713,-0.3427,-0.2833,0.3241,0.55,1
3.723,-0.3426,-0.3401,0.3899,0.621,1
3.737,-0.5004,-0.3177,0.1282,0.606,1
3.743,-0.3505,-0.2565,0.0444,0.43700000000000006,1
3.775,-0.1361,-0.3731,-0.0692,0.40299999999999997,1
3.776,-0.0282,-0.4305,-0.0949,0.442,1
3.776,0.0303,-0.3623,0.0433,0.366,1
3.784,-0.0067,-0.1541,-0.0782,0.17300000000000001,1
3.795,0.0802,-0.0025,-0.3441,0.353,1
3.804,0.3583,-0.0772,-0.4747,0.6,1
3.813,0.5872,-0.2059,-0.3437,0.711,1
3.824,0.7471,-0.1722,-0.3186,0.83,1
3.836,0.8184,-0.081,-0.2886,0.872,1
