time,ax,ay,az,aT,label
0.008,0.1046,-0.0552,-0.2191,0.249,0
0.012,0.0192,0.044,-0.1403,0.14800000000000002,0
0.019,0.0166,0.0315,-0.1108,0.11599999999999999,0
0.029,0.1175,-0.1069,-0.0614,0.17,0
0.047,0.2114,-0.157,-0.0121,0.264,0
0.049,0.1896,-0.1835,0.0081,0.264,0
0.06,0.1668,-0.2043,0.067,0.272,0
0.069,0.1037,-0.2208,0.0968,0.262,0
0.089,0.1242,-0.1933,0.0869,0.24600000000000002,0
0.089,0.0836,-0.1648,0.087,0.204,0
0.099,0.0948,-0.1382,0.0477,0.174,0
0.112,0.0462,-0.1128,0.0772,0.14400000000000002,0
0.119,-0.0288,-0.1261,0.0475,0.138,0
0.129,-0.082,-0.0835,0.0375,0.12300000000000001,0
0.145,-0.0705,-0.0584,-0.0116,0.092,0
0.149,-0.0964,-0.0374,-0.0313,0.10800000000000001,0
0.159,-0.1062,-0.041,-0.051,0.125,0
0.169,-0.151,-0.0013,-0.1198,0.193,0
0.181,-0.1815,-0.0133,-0.0512,0.18899999999999997,0
0.19,-0.1587,-0.0211,-0.0415,0.165,0
0.199,-0.1915,-0.0213,-0.0609,0.20199999999999999,0
0.209,-0.1524,-0.037,-0.0609,0.168,0
0.219,-0.1297,-0.0357,-0.0213,0.136,0
0.23,-0.0866,-0.0783,0.0083,0.11699999999999999,0
0.24,-0.0771,-0.0967,0.0187,0.125,0
0.249,-0.0287,-0.0896,0.0291,0.098,0
0.265,0.0179,-0.0775,0.0298,0.085,0
0.269,0.0913,-0.053,0.0012,0.106,0
0.279,0.1292,-0.0621,0.0607,0.156,0
0.296,0.1339,-0.0766,-0.0167,0.155,0
0.299,0.1433,-0.0969,0.023,0.175,0
0.309,0.167,-0.0914,-0.0445,0.196,0
0.319,0.1576,-0.0627,-0.0145,0.17,0
0.33,0.2016,-0.0779,0.0158,0.217,0
0.339,0.2042,-0.0767,-0.0229,0.21899999999999997,0
0.349,0.1537,-0.0353,-0.0516,0.166,0
0.366,0.1491,-0.0157,-0.1101,0.18600000000000003,0
0.369,0.1412,0.0798,-0.1684,0.23399999999999999,0
0.379,0.0713,0.0317,-0.1683,0.18600000000000003,0
0.389,-0.0452,-0.0241,-0.0997,0.11199999999999999,0
0.399,-0.1534,-0.0817,0.0081,0.174,0
0.409,-0.1603,-0.0662,0.0374,0.177,0
0.419,-0.1644,-0.0943,0.0181,0.19,0
0.43,-0.155,-0.0591,0.0182,0.16699999999999998,0
0.439,-0.102,-0.018,0.0382,0.11,0
0.449,-0.0763,-0.0053,-0.0104,0.077,0
0.464,-0.0532,0.0047,-0.0492,0.073,0
0.469,-0.001,0.0165,-0.088,0.09,0
0.479,0.0326,-0.0234,-0.0386,0.055999999999999994,0
0.489,0.0932,-0.0858,-0.0281,0.13,0
0.499,0.1485,-0.1268,0.0112,0.196,0
0.509,0.179,-0.1484,0.0316,0.235,0
0.519,0.2071,-0.182,0.0611,0.282,0
0.53,0.2005,-0.1647,0.0715,0.26899999999999996,0
0.54,0.1629,-0.1389,0.0124,0.214,0
0.549,0.1799,-0.0589,-0.0363,0.193,0
0.569,0.1363,0.0365,-0.0759,0.16,0
0.57,0.0705,0.109,-0.0959,0.161,0
0.579,0.0196,0.0969,-0.0376,0.106,0
0.589,-0.0762,0.0159,0.0006,0.078,0
0.599,-0.155,0.0225,0.1666,0.22899999999999998,0
0.609,-0.199,-0.0174,0.3029,0.363,0
0.619,-0.2315,-0.0897,0.4495,0.514,0
0.629,-0.2087,-0.1555,0.5958,0.65,0
0.657,-0.0865,-0.2882,0.6837,0.747,0
0.658,0.0252,-0.36,0.7914,0.87,1
0.659,0.1268,-0.3808,0.8106,0.905,1
0.669,0.2055,-0.2478,0.7615,0.8270000000000001,1
0.679,0.3225,-0.1001,0.8294,0.8959999999999999,1
0.689,0.2814,-0.108,0.9169,0.965,1
0.699,0.0759,0.0034,0.5036,0.509,1
0.709,0.0118,0.0037,0.3844,0.385,1
0.719,-0.0581,-0.0355,0.6083,0.612,1
0.73,-0.3109,-0.1595,0.9395,1.002,1
0.74,-0.5059,-0.1616,1.0656,1.1909999999999998,1
0.749,-0.4547,-0.0888,1.064,1.16,1
0.765,-0.4155,-0.1262,1.142,1.222,1
0.769,-0.3738,-0.1257,0.9553,1.034,1
0.779,-0.3896,-0.1508,1.2502,1.318,1
0.789,-0.6027,-0.1121,1.2408,1.3840000000000001,1
0.799,-0.787,-0.1064,1.507,1.703,1
0.809,-0.8631,-0.0419,1.6751,1.885,1
0.819,-0.6387,-0.0523,1.7073,1.824,1
0.83,-0.2362,-0.1037,1.613,1.633,1
0.84,0.0919,-0.1988,1.3915,1.409,1
0.849,0.2778,-0.2642,1.1318,1.195,1
0.863,0.1795,-0.1521,0.9513,0.98,1
0.869,-0.0755,-0.0794,0.9473,0.9540000000000001,1
0.879,-0.3595,-0.0088,0.8665,0.938,1
0.889,-0.5604,0.0287,0.7479,0.935,1
0.899,-0.6625,-0.0176,0.8285,1.061,1
0.911,-0.7382,-0.0734,0.9926,1.239,1
0.919,-0.938,-0.0237,0.7421,1.196,1
0.93,-0.9512,0.0578,0.6062,1.129,1
0.956,-0.883,0.1379,0.4816,1.015,1
0.957,-0.8028,0.279,0.3316,0.912,1
0.959,-0.6792,0.3909,0.2486,0.8220000000000001,1
0.969,-0.6166,0.3814,0.0137,0.725,1
0.979,-0.4013,0.2812,-0.0088,0.49,1
0.989,-0.195,0.0803,-0.1076,0.237,1
0.999,0.0607,-0.1454,-0.1378,0.209,1
1.009,0.2232,-0.2158,-0.0414,0.313,1
1.019,0.2535,-0.2068,-0.0581,0.332,1
1.03,0.2814,-0.2198,-0.0264,0.358,1
1.06,0.2618,-0.1636,-0.0579,0.314,1
1.061,0.1961,-0.087,-0.1368,0.254,1
1.061,0.1071,-0.0224,-0.1925,0.221,1
1.069,0.0693,-0.0372,-0.177,0.19399999999999998,1
1.079,-0.0437,-0.1674,-0.209,0.271,1
1.09,-0.1135,-0.2046,-0.2894,0.37200000000000005,1
1.099,-0.1528,-0.285,-0.3572,0.48200000000000004,1
1.109,-0.1572,-0.3298,-0.5327,0.6459999999999999,1
1.119,-0.1172,-0.3784,-0.4904,0.63,1
1.129,-0.04,-0.3717,-0.5863,0.695,1
1.152,0.0939,-0.349,-0.6802,0.77,1
1.153,0.1424,-0.3265,-0.8023,0.878,1
1.161,0.0931,-0.3889,-0.9731,1.052,1
1.169,0.1224,-0.4994,-1.0446,1.1640000000000001,1
1.179,0.1312,-0.6268,-1.0471,1.227,1
1.189,0.2602,-0.7053,-0.9461,1.208,1
1.199,0.2368,-0.7715,-0.9567,1.252,1
1.209,0.1808,-0.7919,-1.1168,1.381,1
1.219,0.1437,-0.7007,-1.2329,1.425,1
1.229,0.1349,-0.5388,-1.3721,1.48,1
1.24,0.1299,-0.4117,-1.4109,1.475,1
1.249,0.1114,-0.3962,-1.4304,1.4880000000000002,1
1.272,0.1808,-0.5235,-1.4548,1.557,1
1.273,0.2683,-0.6659,-1.4367,1.6059999999999999,1
1.279,0.4442,-0.7934,-1.2994,1.5859999999999999,1
1.289,0.5683,-0.9427,-1.1497,1.5919999999999999,1
1.299,0.4583,-0.987,-1.2393,1.649,1
1.309,0.3487,-0.9055,-1.3771,1.685,1
1.319,0.3164,-0.8277,-1.419,1.673,1
1.33,0.3585,-0.7729,-1.3413,1.589,1
1.361,0.4561,-0.8039,-1.3005,1.595,1
1.362,0.5843,-0.8536,-1.2234,1.6019999999999999,1
1.362,0.7828,-0.7578,-1.1591,1.591,1
1.369,0.9107,-0.7861,-0.9536,1.535,1
1.379,1.1797,-0.9087,-0.8639,1.722,1
1.389,1.33,-1.0204,-0.8264,1.869,1
1.399,1.4129,-0.9916,-0.7969,1.901,1
1.409,1.3597,-0.8389,-0.7956,1.785,1
1.419,1.4905,-0.6123,-0.7108,1.761,1
1.43,1.4288,-0.6342,-0.6225,1.683,1
1.464,1.5659,-0.6521,-0.4417,1.7530000000000001,1
1.465,1.4314,-0.5899,-0.3872,1.5959999999999999,1
1.465,1.4554,-0.2992,-0.3785,1.5330000000000001,1
1.469,1.3298,0.0088,-0.3262,1.369,1
1.479,1.3561,0.4081,-0.3279,1.454,1
1.489,1.3319,0.6653,-0.2358,1.507,1
1.499,1.4735,0.7314,-0.0511,1.646,1
1.509,1.4296,0.5685,0.2691,1.5619999999999998,1
1.519,1.5303,0.2621,0.5028,1.632,1
1.529,1.4895,0.0008,0.692,1.642,1
1.55,1.6723,-0.2487,0.7212,1.838,1
