time,ax,ay,az,aT,label
1.125,0.3696,0.005,0.0675,0.376,1
1.135,0.3823,0.0702,-0.0042,0.389,1
1.145,0.4455,0.1479,-0.0148,0.47,1
1.155,0.4607,0.2238,-0.0443,0.514,1
1.169,0.4208,0.1833,-0.139,0.48,1
1.177,0.3459,0.0972,-0.0278,0.36,1
1.199,0.2536,-0.0226,-0.0354,0.257,1
1.201,0.2698,-0.0279,0.0168,0.272,1
1.205,0.2382,-0.0834,-0.0378,0.255,1
1.215,0.1602,-0.2248,0.0751,0.28600000000000003,1
1.224,0.1285,-0.3523,0.2109,0.43,1
1.235,0.2085,-0.5025,0.2857,0.614,1
1.245,0.3547,-0.6126,0.2688,0.757,1
1.255,0.5392,-0.6575,0.1783,0.8690000000000001,1
1.267,0.6747,-0.6373,-0.0038,0.9279999999999999,1
1.275,0.8096,-0.6258,-0.2201,1.047,1
1.289,0.8761,-0.6999,-0.3796,1.1840000000000002,1
1.295,0.9999,-0.8353,-0.4369,1.374,1
1.305,1.007,-0.9904,-0.5108,1.5019999999999998,1
1.315,0.9929,-1.0751,-0.5276,1.556,1
1.325,0.8803,-1.115,-0.5241,1.514,1
1.335,0.833,-1.1808,-0.5023,1.53,1
1.345,0.8362,-1.2325,-0.4539,1.557,1
1.355,0.9304,-1.3062,-0.5013,1.68,1
1.366,0.9998,-1.3367,-0.5443,1.756,1
1.375,1.0884,-1.3592,-0.6615,1.8630000000000002,1
1.385,1.0791,-1.2265,-0.684,1.771,1
1.395,1.1209,-1.1555,-0.5895,1.714,1
1.405,1.1945,-1.193,-0.5708,1.7819999999999998,1
1.415,1.2569,-1.2618,-0.6202,1.886,1
1.424,1.214,-1.2707,-0.5904,1.854,1
1.434,1.2117,-1.2925,-0.5974,1.87,1
1.445,1.1664,-1.2854,-0.6705,1.861,1
1.455,1.1809,-1.2224,-0.5943,1.801,1
1.466,1.2179,-1.1442,-0.5724,1.766,1
1.475,1.3467,-1.1248,-0.5302,1.8330000000000002,1
1.492,1.3996,-1.1212,-0.5637,1.88,1
1.496,1.5381,-1.0872,-0.5742,1.969,1
1.505,1.4353,-0.8301,-0.4191,1.71,1
1.515,1.1769,0.371,0.8636,1.506,1
1.524,0.4402,2.3901,1.7914,3.0189999999999997,1
1.535,-0.3471,3.5757,0.9311,3.7110000000000003,1
1.545,-0.1745,2.6723,0.3119,2.696,1
1.555,0.6812,0.6028,0.366,0.98,1
1.569,1.0774,-0.913,0.1474,1.42,1
1.574,1.0996,-1.4866,-0.0175,1.849,1
1.596,0.7678,-1.2974,-0.0779,1.51,1
1.598,0.4688,-0.6471,-0.0407,0.8,1
1.604,0.3334,-0.0614,0.0247,0.34,1
1.615,0.2819,0.2201,-0.1182,0.377,1
1.625,0.1902,0.2066,-0.1204,0.306,1
1.635,0.1141,0.0542,-0.1345,0.185,1
1.645,0.0551,-0.1189,-0.0432,0.138,1
1.655,0.0433,-0.2941,0.0427,0.3,1
1.669,0.0398,-0.4313,0.1964,0.47600000000000003,1
1.675,0.0039,-0.4449,0.2469,0.509,1
1.694,-0.0182,-0.3424,0.2982,0.45399999999999996,1
1.695,-0.0727,-0.2031,0.3336,0.397,1
1.704,-0.0517,-0.1364,0.2553,0.294,1
1.715,0.0021,-0.174,0.3802,0.418,1
1.724,0.1112,-0.269,0.5005,0.579,1
1.735,0.2355,-0.3571,0.4776,0.6409999999999999,1
1.745,0.3095,-0.4045,0.4177,0.659,1
1.755,0.3776,-0.396,0.306,0.627,1
1.767,0.362,-0.3242,0.1165,0.5,1
1.775,0.2364,-0.2004,-0.0208,0.311,1
1.789,0.1003,-0.1262,-0.0593,0.172,1
1.797,0.139,-0.1416,0.0344,0.201,1
1.804,0.1532,-0.1085,-0.0392,0.192,1
1.815,0.1455,0.0323,-0.1485,0.21,1
1.824,-0.0244,0.0888,-0.328,0.341,1
1.835,-0.1857,0.0838,-0.4063,0.455,1
1.846,-0.1806,0.0417,-0.5408,0.5720000000000001,1
1.854,-0.1803,0.1055,-0.7178,0.748,1
1.865,-0.132,0.1188,-0.7117,0.7340000000000001,1
1.874,-0.0971,0.1152,-0.871,0.884,1
1.885,-0.1211,0.1463,-0.882,0.902,1
1.906,-0.0899,0.1154,-0.8674,0.88,1
1.907,-0.1271,0.0745,-0.7577,0.772,1
1.916,-0.2581,0.0757,-0.6394,0.6940000000000001,1
1.924,-0.3375,0.1192,-0.6051,0.703,1
1.935,-0.4025,0.1418,-0.6901,0.8109999999999999,1
1.946,-0.3376,0.0118,-0.6446,0.728,1
1.954,-0.329,-0.0021,-0.7294,0.8,1
1.964,-0.2725,-0.0408,-0.6663,0.721,1
1.974,-0.0256,0.0168,-0.6351,0.636,1
1.985,0.2769,0.0423,-0.7121,0.765,1
2.001,0.4424,0.152,-0.9351,1.046,1
2.005,0.5674,0.2988,-1.0132,1.199,1
2.014,0.7237,0.4151,-1.0865,1.37,1
2.024,0.7097,0.454,-1.2619,1.517,1
2.035,0.6104,0.3818,-1.33,1.5119999999999998,1
2.045,0.4785,0.3168,-1.1894,1.321,1
2.054,0.4666,0.2434,-1.1071,1.226,1
2.065,0.3985,0.1324,-1.0249,1.1079999999999999,1
2.074,0.0898,-0.0231,-0.6038,0.611,1
2.085,0.5854,-0.4368,0.1443,0.745,1
2.106,1.2677,-0.5222,0.8191,1.597,1
2.108,1.328,-0.348,0.7903,1.584,1
2.115,1.1015,-0.3111,0.7377,1.3619999999999999,1
2.124,0.5727,-0.2603,0.3888,0.74,1
2.135,0.3313,-0.0971,-0.1959,0.397,1
2.145,-0.2273,0.0757,-0.8015,0.8370000000000001,1
2.154,-0.2248,-0.1375,-0.076,0.27399999999999997,1
2.164,0.3189,-0.4416,0.2847,0.615,1
2.177,0.473,-0.452,0.1076,0.6629999999999999,1
2.186,0.1687,-0.2224,-0.2228,0.35700000000000004,1
2.214,-0.1953,-0.0879,-0.4904,0.535,1
2.215,-0.4755,-0.1112,-0.452,0.665,1
2.216,-0.4286,-0.2516,-0.2286,0.547,1
2.224,-0.2746,-0.3085,0.0124,0.413,1
2.235,-0.1583,-0.2862,0.0214,0.32799999999999996,1
2.246,-0.0679,-0.2035,-0.1265,0.249,1
2.254,0.0534,-0.2195,-0.0812,0.24,1
2.265,0.2422,-0.355,0.3026,0.526,1
2.274,0.4655,-0.4515,0.6027,0.885,1
2.286,0.6964,-0.4397,0.7979,1.147,1
2.322,1.041,-0.4418,0.8839,1.435,1
2.324,1.1487,-0.2091,0.4325,1.245,1
2.325,1.15,0.0041,-0.222,1.171,1
2.326,0.9629,0.264,-0.9381,1.37,1
2.335,0.7386,0.4271,-1.1526,1.4340000000000002,1
2.346,0.7036,0.131,-0.9562,1.194,1
2.354,0.5997,0.0264,-0.9226,1.101,1
2.365,0.3245,-0.0234,-0.9276,0.983,1
2.375,0.1865,-0.055,-0.9491,0.9690000000000001,1
2.385,0.2059,-0.155,-0.8641,0.902,1
2.419,0.0942,-0.1231,-0.9049,0.9179999999999999,1
2.421,-0.3337,-0.1219,-0.7316,0.813,1
2.422,-0.8034,-0.1558,-0.5109,0.965,1
2.425,-1.0811,-0.2499,-0.4392,1.193,1
2.435,-1.2006,-0.2967,-0.3823,1.294,1
2.446,-1.0469,-0.4081,-0.2495,1.151,1
2.454,-0.9073,-0.4666,0.0305,1.021,1
2.465,-0.8267,-0.3732,-0.0115,0.907,1
2.474,-0.6684,-0.2666,0.0518,0.721,1
2.485,-0.1892,-0.2327,-0.0047,0.3,1
2.514,0.3172,-0.2161,-0.1052,0.39799999999999996,1
2.516,0.5826,-0.1955,-0.2873,0.6779999999999999,1
2.516,0.5495,-0.0591,-0.4687,0.725,1
2.524,0.4723,-0.1334,-0.3435,0.599,1
2.535,0.3516,-0.1804,-0.296,0.494,1
2.545,0.2973,-0.2663,-0.1324,0.42100000000000004,1
2.554,0.358,-0.3325,-0.0328,0.49,1
2.564,0.0432,-0.2756,0.0355,0.281,1
2.574,-0.2162,-0.2246,-0.0775,0.321,1
2.585,-0.1973,-0.3144,-0.0909,0.382,1
2.612,-0.139,-0.3338,-0.0779,0.37,1
2.613,-0.2899,-0.3526,0.0613,0.461,1
2.615,-0.6466,-0.3254,0.2518,0.7659999999999999,1
2.624,-0.706,-0.3696,0.4775,0.929,1
2.635,-0.7594,-0.2703,0.2175,0.835,1
2.645,-0.7191,-0.324,0.0957,0.795,1
2.654,-0.4403,-0.442,-0.1401,0.639,1
2.665,-0.2917,-0.2998,-0.3217,0.528,1
2.674,-0.4133,-0.173,-0.2582,0.517,1
2.685,-0.2097,-0.1996,-0.1029,0.307,1
2.704,0.1146,-0.1828,-0.0692,0.22699999999999998,1
2.705,0.2303,-0.1763,-0.1542,0.32799999999999996,1
2.715,0.1219,-0.2177,-0.0432,0.253,1
2.724,0.1234,-0.1154,-0.3486,0.387,1
2.735,0.1915,-0.097,-0.444,0.493,1
2.745,0.3951,-0.1527,-0.452,0.619,1
2.754,0.4112,-0.2482,-0.1699,0.509,1
2.765,0.4718,-0.2264,-0.0815,0.53,1
2.774,0.3026,-0.1141,-0.2315,0.39799999999999996,1
2.785,-0.3964,-0.0407,-0.2924,0.494,1
2.803,-0.7158,-0.0761,-0.212,0.75,1
2.805,-0.334,-0.1965,-0.0482,0.391,1
2.815,-0.1022,-0.2561,-0.0598,0.282,1
2.824,0.0183,-0.2812,0.0885,0.295,1
2.835,-0.1385,-0.1665,0.0173,0.217,1
2.845,-0.4154,-0.2654,0.37,0.616,1
2.855,-0.4683,-0.3503,0.8547,1.036,1
2.865,-0.5277,-0.2522,0.9137,1.085,1
2.875,-0.2441,-0.3547,0.4472,0.621,1
2.885,0.3526,-0.4168,-0.0979,0.555,1
2.904,0.7616,-0.2854,-0.1061,0.82,1
2.906,0.9905,-0.2522,0.0974,1.0270000000000001,1
2.916,1.0865,-0.188,0.0749,1.105,1
2.924,1.1029,-0.1123,-0.1425,1.1179999999999999,1
2.935,1.1344,-0.0951,0.2914,1.175,1
2.945,0.7843,0.049,-0.1879,0.8079999999999999,1
2.954,0.4818,0.1352,-1.0246,1.14,1
2.965,0.409,-0.0228,-0.6131,0.737,1
2.975,0.0528,-0.0572,-0.5025,0.508,1
2.984,-0.1117,-0.0282,-0.4928,0.506,1
2.999,0.0171,-0.1176,0.0183,0.12,1
3.004,0.0865,-0.133,0.256,0.301,1
3.015,-0.0383,-0.0954,0.0035,0.10300000000000001,1
3.024,-0.0232,-0.2629,0.5136,0.5770000000000001,1
3.034,-0.3797,-0.1515,0.2768,0.494,1
3.045,-1.2109,0.019,-0.1147,1.216,1
3.054,-1.7126,0.0153,0.1623,1.72,1
3.065,-1.7907,-0.0087,0.2624,1.81,1
3.075,-1.6182,-0.1295,-0.0446,1.624,1
3.085,-0.4125,-0.3046,0.5651,0.763,1
3.112,0.7146,-0.3708,0.9437,1.24,1
3.114,1.1839,-0.2182,0.7886,1.439,1
3.115,1.7549,-0.0946,0.2059,1.7690000000000001,1
3.125,2.2293,-0.064,-0.1167,2.233,1
3.135,2.4166,-0.1267,-0.3531,2.4459999999999997,1
3.145,1.9703,-0.1162,-0.5843,2.0580000000000003,1
3.155,1.9235,-0.1629,-0.4535,1.983,1
3.165,2.1713,-0.226,-0.735,2.303,1
3.182,2.0305,-0.4172,-0.5572,2.146,1
3.185,1.4347,-0.6372,-0.1935,1.5819999999999999,1
3.206,0.9056,-0.5928,-0.0695,1.085,1
3.207,0.1191,-0.417,-0.3536,0.56,1
3.216,-0.447,-0.1992,-0.3531,0.603,1
3.224,-0.7444,0.0587,-0.7908,1.088,1
3.235,-0.866,-0.0516,-0.8239,1.196,1
3.244,-1.0875,-0.1146,-0.6222,1.258,1
3.254,-1.6715,-0.1913,-0.3065,1.71,1
3.265,-1.7522,-0.2286,-0.0377,1.767,1
3.274,-1.1565,-0.2299,0.0441,1.18,1
3.285,-0.3845,0.0954,-0.2381,0.462,1
3.295,0.4734,0.1688,-0.1215,0.517,1
3.304,0.4085,0.3003,-0.0314,0.508,1
3.325,-0.4806,0.7348,-1.669,1.886,1
3.327,0.1181,-0.0084,-1.9647,1.9680000000000002,1
3.335,0.9886,-0.593,-1.0909,1.587,1
3.35,0.8935,-0.633,-0.0923,1.099,1
3.354,0.3842,-0.5353,0.8298,1.06,1
3.365,0.0728,-0.3982,0.8631,0.953,1
3.375,-0.0996,-0.326,0.84,0.907,1
