time,ax,ay,az,aT
0.0100,0.7425,-0.1272,-0.4802,0.893
0.0100,0.5885,-0.0607,-0.2353,0.637
0.0300,0.3967,-0.0508,-0.0778,0.407
0.0310,0.0983,-0.0723,0.0382,0.128
0.0330,-0.1434,-0.0241,0.0947,0.174
0.0460,-0.2631,0.0221,0.0635,0.272
0.0530,-0.3668,0.0182,0.0014,0.367
0.0630,-0.4213,0.0354,0.0295,0.424
0.0730,-0.4113,0.0602,-0.0123,0.416
0.0830,-0.3738,0.0199,0.0359,0.376
0.0930,-0.2866,0.0186,0.0146,0.288
0.1030,-0.1949,0.0184,0.0438,0.201
0.1270,-0.1754,0.0084,0.0135,0.176
0.1280,-0.1065,0.0089,-0.0355,0.113
0.1430,-0.0745,-0.0001,0.0231,0.078
0.1430,0.0421,0.0102,-0.0356,0.056
0.1580,0.1130,-0.0082,-0.0546,0.126
0.1730,0.1890,-0.0074,-0.0249,0.191
0.1730,0.1978,-0.0156,-0.0534,0.205
0.1880,0.1877,-0.0051,-0.0141,0.188
0.1930,0.0962,0.0048,-0.0041,0.096
0.2030,0.0403,0.0147,-0.0141,0.045
0.2340,-0.0043,0.0139,-0.0047,0.015
0.2350,-0.0483,0.0136,-0.0542,0.074
0.2360,-0.0689,0.0127,-0.0255,0.075
0.2500,-0.1219,0.0125,0.0229,0.125
0.2650,-0.1488,0.0119,0.0317,0.153
0.2660,-0.0955,0.0118,-0.0274,0.100
0.2810,-0.0046,-0.0167,-0.0472,0.050
0.2990,0.0556,-0.0065,-0.0376,0.067
0.3010,0.0917,-0.0340,-0.0275,0.102
0.3030,0.1325,0.0057,-0.0374,0.138
0.3340,0.0910,0.0060,-0.0274,0.095
0.3350,0.0542,0.0162,-0.0080,0.057
0.3360,0.0177,0.0156,-0.0475,0.053
0.3470,-0.0067,0.0155,-0.0479,0.051
0.3590,-0.0299,0.0146,-0.0386,0.051
0.3790,-0.0545,-0.0151,-0.0292,0.064
0.3790,-0.0758,0.0041,0.0093,0.076
0.3950,-0.0320,0.0038,0.0579,0.066
0.3960,-0.0268,0.0125,0.0968,0.101
0.4030,0.0049,0.0114,0.0083,0.015
0.4340,0.0248,0.0095,-0.0014,0.027
0.4350,-0.0035,0.0078,-0.0407,0.042
0.4350,-0.0026,0.0058,-0.0800,0.080
0.4490,-0.0216,0.0235,-0.0801,0.086
0.4650,-0.0018,0.0022,-0.0311,0.031
0.4660,0.0084,0.0009,-0.0017,0.009
0.4810,-0.0003,-0.0003,0.0374,0.037
0.4830,-0.0197,-0.0013,0.0766,0.079
0.4980,-0.0557,-0.0024,0.1057,0.120
0.5140,-0.1247,-0.0041,0.0960,0.157
0.5150,-0.1112,-0.0060,0.0074,0.112
0.5560,-0.0944,0.0015,-0.0511,0.107
0.5560,-0.0473,-0.0008,-0.0510,0.070
0.5570,-0.0121,-0.0127,0.0669,0.069
0.5570,0.0508,-0.0141,0.1655,0.174
0.5710,0.1541,-0.0462,0.2541,0.301
0.5730,0.2377,-0.0855,0.2258,0.339
0.5860,0.2732,-0.0713,0.1183,0.306
0.6020,0.2219,-0.0840,0.0408,0.241
0.6030,0.1526,-0.0326,-0.0767,0.174
0.6480,0.1654,-0.0390,-0.0172,0.171
0.6490,0.0887,-0.0376,0.1199,0.154
0.6490,0.0122,0.0308,0.2080,0.211
0.6500,0.0034,0.0118,0.3158,0.316
0.6530,0.0050,-0.0171,0.3452,0.346
0.6630,0.0739,-0.0679,0.3845,0.397
0.6730,0.0741,-0.0966,0.3944,0.413
0.6830,0.0394,-0.1324,0.3648,0.390
0.6990,0.0458,-0.1261,0.2957,0.325
0.7030,-0.0221,-0.0690,0.2167,0.228
0.7130,-0.0465,0.0440,0.2453,0.254
0.7230,-0.0740,0.0018,0.3331,0.341
0.7370,-0.1057,-0.1423,0.2536,0.309
0.7530,-0.0331,-0.2450,0.5865,0.636
0.7540,-0.0247,-0.2595,0.5463,0.605
0.7680,0.0501,-0.2791,0.7126,0.767
0.7730,0.0451,-0.1661,0.5652,0.591
0.7830,0.0779,-0.1031,0.4968,0.513
0.7980,0.0977,-0.0679,0.4188,0.435
0.8030,0.1517,-0.1275,0.4390,0.482
0.8310,0.1842,-0.1627,0.5084,0.565
0.8320,0.1116,-0.0721,0.5187,0.535
0.8330,-0.0677,0.0066,0.6073,0.611
0.8470,-0.2255,0.0420,0.7945,0.827
0.8530,-0.2864,0.0261,0.9028,0.947
0.8630,-0.3414,-0.0040,1.0030,1.060
0.8730,-0.3534,-0.0707,0.9656,1.031
0.8840,-0.3527,-0.1386,0.9696,1.041
0.9160,-0.4373,-0.1904,1.0514,1.155
0.9180,-0.6590,-0.2485,1.1190,1.322
0.9180,-0.7393,-0.1927,1.1638,1.392
0.9230,-0.8497,-0.2447,1.1541,1.454
0.9330,-0.8351,-0.2635,0.9864,1.319
0.9460,-0.8257,-0.3310,0.8360,1.221
0.9530,-0.8262,-0.3916,0.7275,1.168
0.9630,-0.9095,-0.4379,0.6175,1.183
0.9750,-0.9559,-0.3903,0.5655,1.177
0.9830,-1.0271,-0.2476,0.4989,1.168
0.9950,-1.0248,-0.1456,0.4428,1.126
1.0030,-1.0262,-0.2104,0.4089,1.125
1.0390,-0.8735,-0.3090,0.2466,0.959
1.0410,-0.7215,-0.3936,0.0284,0.822
1.0420,-0.6215,-0.4141,-0.2992,0.805
1.0430,-0.5604,-0.2827,-0.3588,0.723
1.0530,-0.5474,-0.2148,-0.4959,0.769
1.0630,-0.4179,-0.1783,-0.4363,0.630
1.0820,-0.2330,-0.3642,-0.3691,0.568
1.0840,-0.0563,-0.5198,-0.5146,0.734
1.1230,-0.0855,-0.4587,-0.7503,0.884
1.1240,-0.0937,-0.4358,-0.7665,0.887
1.1240,-0.0114,-0.4425,-0.8140,0.927
1.1250,0.1084,-0.4347,-0.8683,0.977
1.1330,0.2078,-0.4970,-0.9735,1.113
1.1430,0.3046,-0.5228,-1.1254,1.278
1.1530,0.4383,-0.4951,-1.2094,1.378
1.1630,0.5569,-0.4643,-1.2637,1.457
1.1780,0.6166,-0.5111,-1.4348,1.643
1.1830,0.6430,-0.4122,-1.6182,1.789
1.2110,0.6574,-0.3356,-1.7360,1.886
1.2120,0.6383,-0.1543,-1.8157,1.931
1.2130,0.6118,-0.0871,-1.8827,1.982
1.2260,0.6574,-0.0851,-1.6062,1.738
1.2330,0.5968,-0.2598,-1.4909,1.627
1.2430,0.5151,-0.3812,-1.3774,1.519
1.2530,0.2755,-0.4317,-1.4659,1.553
1.2630,0.1065,-0.3199,-1.6208,1.655
1.2800,0.0269,-0.1846,-1.8024,1.812
1.2820,0.0101,-0.1006,-1.8745,1.877
1.2930,0.0336,-0.1253,-1.6812,1.686
1.3030,0.1398,-0.1801,-1.5362,1.553
1.3230,0.1728,-0.1809,-1.3642,1.387
1.3240,0.1540,-0.0795,-1.2628,1.275
1.3330,0.0803,-0.0460,-1.2305,1.234
1.3430,0.1308,0.0451,-1.1337,1.142
1.3530,0.1861,0.0709,-1.0582,1.077
1.3630,0.2582,0.0771,-0.9876,1.024
1.3780,0.2922,0.0691,-0.9195,0.967
1.3830,0.3651,0.0366,-0.6477,0.744
1.4190,0.3650,-0.0694,-0.6377,0.738
1.4210,0.3961,-0.0946,-0.6040,0.728
1.4210,0.4950,-0.1504,-0.5692,0.769
1.4340,0.6223,-0.1878,-0.5379,0.844
1.4350,0.5888,-0.2460,-0.3626,0.734
1.4490,0.4970,-0.3012,-0.1486,0.600
1.4530,0.3369,-0.3369,-0.0948,0.486
1.4640,0.2732,-0.3916,-0.0552,0.481
1.4740,0.3295,-0.4595,0.0275,0.566
1.4830,0.4202,-0.4742,-0.0190,0.634
1.4960,0.4467,-0.4265,-0.1493,0.635
1.5030,0.5724,-0.4375,-0.3329,0.794
1.5320,0.6979,-0.3606,-0.5210,0.943
1.5330,0.7508,-0.4050,-0.3621,0.927
1.5340,0.6384,-0.5197,-0.0533,0.825
1.5470,0.5069,-0.6654,0.1778,0.855
1.5530,0.3852,-0.7361,0.3811,0.914
1.5630,0.3432,-0.7208,0.5097,0.947
1.5790,0.5346,-0.6785,0.7078,1.117
1.5830,0.7075,-0.6705,0.7828,1.250
1.6150,1.4468,-0.7459,1.3241,2.098
1.6160,1.9618,-0.8720,1.5116,2.626
1.6170,1.6628,-0.8776,1.4010,2.345
1.6300,0.8929,-0.7527,0.9195,1.486
1.6330,0.0707,-0.5099,0.6009,0.791
1.6450,-0.5761,-0.2592,0.3613,0.728
1.6520,-0.8344,-0.0620,0.0956,0.842
1.6640,-0.7843,0.0503,-0.3086,0.844
1.6780,-0.6963,0.1983,-0.7361,1.032
1.6830,-0.3542,0.3084,-0.6599,0.810
1.7190,0.1491,0.3478,-0.5240,0.646
1.7210,0.1906,0.3140,-0.7124,0.802
1.7230,-0.2281,0.2322,-0.6526,0.729
1.7230,-0.7173,-0.0144,-0.1260,0.728
1.7340,-0.8755,-0.2812,0.5799,1.087
1.7490,-0.7409,-0.4998,1.2668,1.550
1.7530,-0.4625,-0.5876,1.7383,1.892
1.7640,-0.1208,-0.6898,2.1643,2.275
1.7740,0.0736,-0.7367,1.7595,1.909
1.7830,0.4938,-0.7144,1.3940,1.642
1.7950,0.9791,-0.6654,1.1632,1.660
1.8030,1.2301,-0.4564,0.2330,1.333
1.8290,1.5179,-0.2130,-0.7061,1.688
1.8300,1.7133,-0.0449,-1.1466,2.062
1.8330,1.4948,0.1177,-1.3022,1.986
1.8440,0.7423,0.3986,-1.1263,1.407
1.8530,-0.1270,0.3963,-0.5818,0.715
1.8630,-0.7296,0.0636,0.4316,0.850
1.8770,-0.8653,-0.3342,1.3365,1.627
1.8830,-0.8468,-0.6865,1.8017,2.106
1.8940,-0.6931,-0.7093,1.7088,1.976
1.9030,-0.6117,-0.6528,1.2152,1.509
1.9240,-0.5430,-0.3861,0.7537,1.006
1.9250,-0.5124,-0.1345,0.6066,0.805
1.9330,-0.5028,-0.0062,0.6628,0.832
1.9450,-0.4714,-0.0319,0.7565,0.892
1.9530,-0.5456,-0.1584,1.1072,1.244
1.9630,-0.6320,-0.3521,1.5936,1.750
1.9780,-0.4897,-0.4680,1.7097,1.839
1.9830,0.0470,-0.3853,0.8997,0.980
2.0200,0.8686,-0.4324,0.3942,1.047
2.0210,1.7297,-0.5805,0.2257,1.838
2.0220,2.1889,-0.6417,0.1292,2.285
2.0230,2.7702,-0.5891,0.5346,2.882
2.0330,2.6712,-0.4219,-0.1836,2.711
2.0440,2.5386,-0.3322,0.2105,2.569
2.0530,2.1320,-0.1087,0.0576,2.136
2.0630,1.4961,0.0668,0.2128,1.513
2.0780,0.7423,0.3728,0.0127,0.831
2.0830,-0.2737,0.5549,-0.4205,0.748
2.1090,-1.0260,0.4130,-0.7332,1.327
2.1100,-1.2191,0.3289,-0.7486,1.468
2.1130,-1.1370,0.1948,-0.9064,1.467
2.1240,-1.3298,0.0061,-0.5800,1.451
2.1330,-0.8716,-0.0790,-0.7144,1.130
2.1430,-0.0024,-0.0822,-0.9790,0.982
2.1530,0.4719,-0.2113,-1.0492,1.170
2.1630,0.7443,-0.1058,-1.3419,1.538
2.1790,0.5385,0.0061,-1.6121,1.700
2.1830,0.2438,-0.0003,-1.6907,1.708
2.2190,0.1867,-0.1138,-1.4874,1.503
2.2200,0.2922,-0.1927,-1.2689,1.316
2.2210,0.1309,-0.0645,-1.3709,1.379
2.2230,-0.2334,0.0344,-1.3620,1.382
2.2350,-0.1992,0.0649,-1.2736,1.291
2.2500,0.2049,0.2105,-1.4136,1.444
2.2530,0.4654,0.3145,-1.4251,1.532
2.2660,0.5613,0.3496,-1.3634,1.515
2.2810,0.4862,0.2271,-1.5200,1.612
2.2830,0.4678,0.2092,-1.6613,1.739
2.2960,0.4417,0.1258,-1.4515,1.522
2.3030,0.3687,0.0678,-1.1234,1.184
2.3400,0.0537,0.0272,-0.9408,0.943
2.3410,-0.3928,-0.0228,-0.7453,0.843
2.3410,-0.8735,-0.0711,-0.6303,1.080
2.3560,-1.1954,-0.1070,-0.6563,1.368
2.3570,-1.2137,-0.1107,-0.4344,1.294
2.3710,-1.2049,-0.1923,-0.1620,1.231
2.3860,-1.1315,-0.2168,0.2258,1.174
2.3870,-1.0213,-0.1476,0.3024,1.075
2.4010,-0.7958,-0.1407,0.0735,0.811
2.4030,-0.5111,-0.1627,-0.4645,0.710
2.4440,-0.4127,-0.1514,-0.3801,0.581
2.4450,-0.4301,-0.2580,0.0671,0.506
2.4460,-0.3830,-0.3232,0.6623,0.831
2.4460,-0.4146,-0.3673,0.7443,0.928
2.4530,-0.3872,-0.3866,0.7599,0.936
2.4630,-0.4247,-0.4040,0.6037,0.841
2.4770,-0.4043,-0.4252,0.4671,0.750
2.4830,-0.5358,-0.4376,0.3911,0.795
2.5140,-0.6619,-0.3343,-0.0526,0.743
2.5150,-0.8018,-0.1771,-0.5681,0.998
2.5150,-0.8611,-0.0692,-0.4548,0.976
2.5290,-1.0252,-0.1502,0.0372,1.037
2.5330,-1.1314,-0.3120,0.7706,1.404
2.5430,-1.0899,-0.5588,1.5663,1.988
2.5530,-0.9502,-0.6456,2.1238,2.415
2.5630,-0.6791,-0.6147,2.2092,2.392
2.5790,-0.4380,-0.5625,1.9184,2.047
2.5830,-0.2049,-0.6631,1.6468,1.787
2.5930,-0.0300,-0.6736,1.1756,1.355
2.6030,0.1366,-0.7208,0.6226,0.962
2.6250,0.6091,-0.6272,0.1122,0.881
2.6260,0.8546,-0.5391,0.2268,1.036
2.6330,1.5269,-0.3235,0.0227,1.561
2.6440,1.6994,-0.0776,-0.2046,1.713
2.6530,1.4855,0.1539,-0.5407,1.588
2.6630,1.5147,0.2043,-0.5672,1.630
2.6770,1.3134,0.1931,0.1716,1.339
2.6830,0.9654,0.1228,0.7196,1.210
2.7180,0.4199,0.0332,1.0405,1.123
2.7200,-0.0012,-0.0832,1.4587,1.461
2.7210,-0.0020,-0.0828,1.3292,1.332
2.7230,-0.0604,-0.2858,1.2926,1.325
2.7330,-0.1599,-0.4158,0.8412,0.952
2.7450,-0.0670,-0.4672,0.4657,0.663
2.7530,0.1420,-0.3373,0.3821,0.529
2.7630,0.3215,-0.3144,0.2718,0.525
2.7770,0.2965,-0.2975,0.1402,0.443
2.7830,0.0943,-0.2205,-0.5586,0.608
2.8160,-0.0218,-0.0041,-1.0782,1.078
2.8170,0.0851,0.2430,-1.1914,1.219
2.8170,0.3091,0.2730,-0.9186,1.007
2.8310,0.2744,0.1007,-0.9499,0.994
2.8330,0.1945,-0.1003,-1.4497,1.466
2.8460,-0.0249,-0.0249,-1.0862,1.087
2.8530,-0.4302,0.1298,-0.7823,0.902
2.8630,-0.5310,0.2783,-0.5903,0.841
2.8760,-0.4576,0.2824,-0.6820,0.868
2.8830,-0.1433,0.0999,-0.7570,0.777
2.9170,0.4703,-0.0318,-0.8220,0.948
2.9180,0.9526,-0.0924,-1.0660,1.433
2.9190,0.9962,-0.0838,-1.2105,1.570
2.9330,0.8697,-0.1182,-1.0550,1.372
2.9330,0.5358,-0.1205,-0.9388,1.088
2.9470,-0.0203,-0.0593,-0.9711,0.973
2.9530,-0.1505,-0.0634,-1.0188,1.032
2.9630,-0.5039,-0.0520,-0.8617,1.000
2.9760,-0.7463,-0.0214,-0.6602,0.997
2.9830,-0.7840,0.0297,-0.4388,0.899
3.0300,-0.6369,0.0018,-0.3484,0.726
3.0310,-0.4968,-0.1047,-0.3477,0.615
3.0320,-0.3682,-0.1649,-0.1971,0.449
3.0320,-0.0600,-0.0294,-0.1641,0.177
3.0330,0.2368,0.0394,-0.6269,0.671
3.0450,0.4574,-0.0104,-0.5000,0.678
3.0530,0.4727,-0.1139,-0.2673,0.555
3.0630,0.1919,-0.1360,-0.4157,0.478
3.0790,-0.5960,-0.1858,-0.3631,0.722
3.0830,-1.2237,-0.1985,-0.0829,1.242
3.0930,-1.2246,-0.1757,0.3909,1.297
3.1030,-1.0267,-0.2216,1.0039,1.453
3.1290,-0.8021,-0.2684,1.1474,1.425
3.1300,-0.7513,-0.3623,1.0401,1.333
3.1330,-0.6432,-0.3969,0.7543,1.068
3.1440,-0.3784,-0.3428,0.3856,0.640
3.1530,-0.2510,-0.2911,0.3294,0.506
3.1630,-0.2163,-0.2623,0.3697,0.502
3.1780,-0.3310,-0.3426,0.4372,0.647
3.1830,-0.4239,-0.4407,0.5223,0.804
3.2260,-0.3750,-0.5428,0.6719,0.942
3.2270,-0.0965,-0.6008,1.1350,1.288
3.2280,0.5237,-0.5531,1.2695,1.480
3.2280,0.9497,-0.3992,1.1905,1.574
3.2330,1.2464,-0.2619,0.8843,1.551
3.2430,1.1973,-0.2091,0.3173,1.256
3.2530,1.0162,-0.1434,-0.5570,1.168
3.2630,1.0511,-0.1591,-0.8728,1.375
3.2760,0.8792,-0.1970,-0.3716,0.975
3.2830,0.6997,-0.1557,0.3965,0.819
3.3190,0.3704,-0.0771,1.5030,1.550
3.3200,-0.2575,-0.1342,2.3718,2.390
3.3200,-0.9929,-0.1834,2.3821,2.587
3.3230,-1.4132,-0.2159,1.5267,2.092
3.3330,-1.4494,-0.1362,1.1222,1.838
3.3430,-1.2001,-0.0286,0.5009,1.301
3.3530,-0.5774,0.0662,0.1613,0.603
3.3630,0.2533,0.1208,-0.2843,0.399
3.3760,0.9523,0.1107,-0.8041,1.251
3.3830,1.4604,-0.0757,-0.8104,1.672
3.4210,1.9606,-0.3510,-0.9812,2.220
3.4230,2.3544,-0.6020,-1.0737,2.657
3.4230,2.4480,-0.6557,-1.0033,2.726
3.4240,2.6014,-0.7793,-0.6235,2.786
3.4330,2.3851,-0.8274,-0.7599,2.636
3.4430,2.0127,-0.7799,-0.4100,2.197
3.4520,1.1083,-0.4733,-0.3740,1.262
3.4630,0.8245,-0.3153,-0.0328,0.883
3.4760,0.9649,-0.3902,0.2879,1.080
3.4830,0.9125,-0.7248,0.4987,1.268
3.5180,0.5530,-0.9738,0.1270,1.127
3.5190,0.4273,-0.9353,-0.2879,1.068
3.5200,0.8103,-0.6311,-0.7297,1.260
3.5230,1.3469,-0.4070,-0.9858,1.718
3.5330,1.9235,-0.3452,-0.8612,2.136
3.5440,2.3210,-0.3918,-0.8274,2.495
3.5540,2.3564,-0.4803,-0.9438,2.583
3.5630,2.2357,-0.5654,-1.0627,2.539
3.5730,1.9410,-0.6575,-0.6219,2.142
3.5830,1.6347,-0.6209,-0.1432,1.754
3.5930,0.9313,-0.5352,-0.1178,1.081
3.6340,0.4304,-0.5105,-0.1350,0.681
3.6350,0.4374,-0.6064,-0.1236,0.758
3.6350,0.7034,-0.7709,-0.2701,1.078
3.6360,0.6950,-0.9030,-0.7817,1.382
3.6430,0.4996,-0.9183,-1.1937,1.587
3.6540,0.4466,-0.8402,-1.4303,1.718
3.6630,0.4295,-0.8545,-1.6916,1.943
3.6760,0.2766,-0.8469,-1.9509,2.145
3.6830,-0.0917,-0.8707,-2.0706,2.248
3.6940,-0.4934,-0.8535,-2.2101,2.420
3.7320,-0.9744,-0.8158,-2.0714,2.430
3.7330,-1.0816,-0.8387,-2.0429,2.459
3.7340,-1.3063,-0.8274,-2.0957,2.604
3.7340,-1.3860,-0.7432,-2.0819,2.609
3.7470,-1.7358,-0.7160,-1.7866,2.592
3.7620,-2.0168,-0.7751,-1.2850,2.514
3.7640,-2.3129,-0.7451,-1.3719,2.790
3.7770,-2.2331,-0.6582,-1.8047,2.946
3.7830,-2.0400,-0.6655,-1.8307,2.821
3.7950,-1.6232,-0.5607,-2.2513,2.832
3.8050,-1.2630,-0.3379,-2.4106,2.742
3.8130,-0.8992,-0.1721,-1.8940,2.104
3.8390,-1.1420,-0.1356,-1.2879,1.727
3.8400,-1.6833,-0.3240,-0.7542,1.873
3.8430,-2.0227,-0.6029,-0.1870,2.119
3.8540,-2.1872,-0.8042,0.3298,2.354
3.8630,-2.4563,-0.9639,0.2304,2.649
3.8730,-2.5268,-0.8806,0.3206,2.695
3.8830,-2.2809,-0.8400,-0.1396,2.435
3.8940,-1.8985,-0.6943,-0.3041,2.044
3.9340,-1.8013,-0.5751,-0.6183,1.989
3.9350,-1.7867,-0.4094,-0.6646,1.950
3.9350,-1.8728,-0.2748,-0.5639,1.975
3.9370,-1.8148,-0.3504,-0.2487,1.865
3.9440,-1.5685,-0.4135,-0.2883,1.648
3.9540,-1.2473,-0.3657,-0.3558,1.348
3.9630,-1.2034,-0.3014,-0.1786,1.253
3.9730,-1.2828,-0.2435,-0.0358,1.306
3.9840,-1.3453,-0.3191,0.1904,1.396
3.9940,-1.1441,-0.3614,0.2479,1.225
4.0360,-0.9046,-0.3480,0.1719,0.984
4.0370,-0.6385,-0.3721,-0.0114,0.739
4.0370,-0.4695,-0.3674,-0.1056,0.605
4.0370,-0.3120,-0.3217,-0.1106,0.462
4.0430,-0.2500,-0.2720,-0.1669,0.405
4.0540,-0.2800,-0.2524,-0.1844,0.420
4.0630,-0.4982,-0.1963,-0.1095,0.547
4.0730,-0.6061,-0.1921,-0.0410,0.637
4.0830,-0.4579,-0.1708,0.0665,0.493
4.0940,-0.3527,-0.1453,0.1484,0.409
4.1340,-0.4061,-0.1182,0.4302,0.603
4.1360,-0.3218,-0.1542,0.4868,0.604
4.1370,-0.0934,-0.2211,0.6406,0.684
4.1380,0.0587,-0.2785,0.6766,0.734
4.1440,0.1404,-0.3402,0.4534,0.584
4.1540,0.0184,-0.1434,0.6916,0.707
4.1630,-0.3356,-0.3213,0.9441,1.052
4.1730,-0.3246,-0.2901,0.4620,0.635
4.1840,0.0146,-0.3363,0.2952,0.448
4.1940,0.3815,-0.3504,0.1143,0.530
4.2400,0.5376,-0.4836,-0.1459,0.738
4.2410,0.6341,-0.4841,0.1527,0.812
4.2420,0.2984,-0.5239,0.0621,0.606
4.2430,0.2053,-0.5174,0.1105,0.568
4.2430,0.1131,-0.5478,0.0355,0.560
4.2550,0.0772,-0.4509,-0.0200,0.458
4.2630,0.1490,-0.4285,-0.1056,0.466
4.2730,0.1800,-0.4041,-0.1962,0.484
4.2830,0.1144,-0.5268,-0.2961,0.615
4.2940,0.1752,-0.4730,-0.3920,0.639
4.3040,0.1103,-0.4989,-0.4176,0.660
4.3130,0.0653,-0.4836,-0.2832,0.564
4.3410,-0.0384,-0.6152,-0.2648,0.671
4.3430,-0.0487,-0.6810,-0.3898,0.786
4.3430,-0.1296,-0.6982,-0.6408,0.957
4.3560,-0.1141,-0.6178,-0.6222,0.884
4.3630,-0.2237,-0.5560,-0.3892,0.715
4.3730,-0.4401,-0.5351,-0.0260,0.693
4.3830,-0.8449,-0.6533,0.2758,1.103
4.3940,-1.4151,-0.6233,0.5192,1.631
4.4400,-1.9076,-0.7111,0.5735,2.115
4.4420,-1.9505,-0.7248,0.5715,2.158
4.4420,-1.7751,-0.7712,0.4040,1.977
4.4430,-1.3876,-0.6681,0.0968,1.543
4.4450,-1.1346,-0.6085,-0.2442,1.310
4.4550,-0.8434,-0.4953,-0.4886,1.093
4.4630,-0.7318,-0.5426,-0.6144,1.099
4.4730,-0.4333,-0.5104,-0.7648,1.016
4.4830,-0.1775,-0.5355,-1.0340,1.178
4.4940,-0.1206,-0.4571,-1.1529,1.246
4.5390,-0.3476,-0.4360,-1.3504,1.461
4.5400,-0.6021,-0.3226,-1.1874,1.370
4.5410,-1.0597,-0.3281,-1.0020,1.495
4.5420,-1.4497,-0.3569,-0.9122,1.750
4.5440,-1.5947,-0.4531,-0.6728,1.789
4.5550,-1.2901,-0.5187,-0.6161,1.521
4.5620,-0.6956,-0.5870,-0.7625,1.187
4.5730,-0.2898,-0.5196,-0.7521,0.959
4.5830,-0.1220,-0.5303,-0.8509,1.010
4.5930,-0.0861,-0.4815,-0.7833,0.923
4.6410,0.0481,-0.5030,-0.6660,0.836
4.6430,0.1819,-0.6109,-0.5969,0.873
4.6440,0.3312,-0.6478,-0.5120,0.890
4.6440,0.3887,-0.6793,-0.4405,0.898
4.6450,0.4092,-0.6418,-0.4105,0.865
4.6560,0.4499,-0.6578,-0.4441,0.912
4.6630,0.4529,-0.7314,-0.4514,0.972
4.6730,0.3831,-0.7740,-0.3863,0.946
4.6830,0.4109,-0.7138,-0.3438,0.892
4.6940,0.4557,-0.7139,-0.2667,0.888
4.7410,0.5291,-0.7287,-0.2304,0.930
4.7430,0.5863,-0.7066,-0.0714,0.921
4.7430,0.6630,-0.8572,0.0575,1.085
4.7440,0.6701,-0.8668,0.1515,1.106
4.7440,0.7183,-0.9205,0.2058,1.186
4.7560,0.6465,-0.8542,0.1668,1.084
4.7630,0.5348,-0.8125,0.2435,1.003
4.7730,0.4663,-0.7705,0.2382,0.932
4.7830,0.5109,-0.7715,0.2979,0.972
4.7940,0.5389,-0.7930,0.3839,1.033
4.8320,0.4589,-0.8195,0.3777,1.012
4.8330,0.3771,-0.7405,0.4181,0.930
4.8330,0.2372,-0.6842,0.3745,0.815
4.8340,0.1626,-0.5676,0.2316,0.634
4.8470,0.1182,-0.5358,0.0618,0.552
4.8620,-0.0009,-0.4190,-0.0201,0.419
4.8630,-0.1554,-0.3994,-0.0419,0.431
4.8770,-0.2551,-0.3658,-0.0237,0.447
4.8830,-0.3351,-0.3489,-0.0350,0.485
4.8930,-0.3612,-0.3183,0.0230,0.482
4.9070,-0.3663,-0.3311,0.0409,0.495
4.9130,-0.3015,-0.3115,-0.0190,0.434
4.9500,-0.3306,-0.2766,-0.0601,0.435
4.9520,-0.3641,-0.2412,-0.1199,0.453
4.9530,-0.2783,-0.2090,-0.1914,0.397
4.9530,-0.2760,-0.1929,-0.1719,0.378
4.9630,-0.3083,-0.2256,-0.1640,0.416
4.9730,-0.3278,-0.2465,0.0407,0.412
4.9830,-0.4523,-0.2197,-0.1966,0.540
4.9940,-0.3871,-0.3551,0.3414,0.626
5.0340,-0.3495,-0.3990,0.2903,0.605
5.0350,-0.5048,-0.3614,0.2602,0.673
5.0360,-0.5012,-0.3506,0.1017,0.620
5.0360,-0.4157,-0.2604,-0.0162,0.491
5.0430,-0.3951,-0.2811,-0.1741,0.515
5.0530,-0.3752,-0.2794,-0.2134,0.514
5.0630,-0.3044,-0.2707,-0.1751,0.443
5.0730,-0.4402,-0.2789,0.0015,0.521
5.0830,-0.6530,-0.5113,0.3207,0.889
5.0940,-0.6712,-0.4475,0.4779,0.938
5.1270,-0.7100,-0.5238,0.2600,0.920
5.1270,-0.5273,-0.4151,-0.0346,0.672
5.1280,-0.4358,-0.4724,-0.1432,0.658
5.1320,-0.3491,-0.4404,-0.2228,0.605
5.1430,-0.3524,-0.5297,-0.1923,0.665
5.1570,-0.3609,-0.5055,-0.0561,0.624
