time,ax,ay,az,aT,label
0.009,0.1754,-0.0999,0.0174,0.203,0
0.009,0.7284,0.0324,-0.3243,0.7979999999999999,1
0.009,0.59,0.0501,-0.3629,0.6940000000000001,1
0.058,0.6294,0.0451,-0.0873,0.637,1
0.059,0.5574,0.0242,-0.0384,0.5589999999999999,1
0.059,0.3953,0.0408,-0.0283,0.39799999999999996,1
0.059,0.2534,0.0417,-0.0484,0.261,1
0.06,0.1286,0.0303,-0.0291,0.135,1
0.069,-0.0389,-0.0065,-0.0002,0.039,1
0.079,-0.1804,-0.0418,0.0676,0.19699999999999998,1
0.089,-0.2413,-0.08,0.1456,0.293,1
0.099,-0.2738,-0.0841,0.2135,0.35700000000000004,1
0.109,-0.2517,-0.0749,0.1349,0.295,1
0.162,-0.1483,0.0042,0.0071,0.149,1
0.163,-0.0935,0.043,-0.0223,0.105,1
0.163,-0.0097,0.0333,-0.042,0.054000000000000006,1
0.163,0.0054,0.0054,-0.0029,0.008,1
0.164,-0.0354,0.0167,0.0753,0.085,1
0.171,-0.018,0.0187,0.0653,0.07,1
0.179,-0.0679,0.0299,0.0652,0.099,1
0.189,-0.0722,0.0127,0.0552,0.092,1
0.263,-0.0558,-0.013,0.0354,0.067,1
0.264,-0.0426,-0.06,0.0549,0.092,1
0.264,-0.0756,-0.0921,0.0252,0.122,1
0.264,-0.0328,-0.0882,0.0446,0.10400000000000001,1
0.265,-0.0292,-0.0631,0.0444,0.08199999999999999,1
0.265,-0.0273,-0.0014,0.0149,0.031,1
0.265,0.0227,-0.0182,0.0148,0.033,1
0.273,0.0448,0.0224,0.0343,0.061,1
0.279,0.0466,0.0517,0.0245,0.07400000000000001,1
0.289,0.0013,0.0922,0.0636,0.11199999999999999,1
0.369,-0.0133,0.0625,0.0048,0.064,1
0.37,0.0108,0.0451,0.0243,0.052000000000000005,1
0.37,0.0333,-0.0015,0.0242,0.040999999999999995,1
0.371,-0.022,0.0003,-0.0052,0.023,1
0.371,0.0106,-0.0351,-0.0053,0.037000000000000005,1
0.371,0.0437,-0.0219,0.0238,0.054000000000000006,1
0.371,0.0168,-0.0282,0.0629,0.071,1
0.372,-0.0379,-0.0156,0.1511,0.157,1
0.387,0.0056,-0.014,0.0628,0.065,1
0.389,0.059,0.0349,0.0431,0.081,1
0.46,0.0619,0.015,-0.0156,0.066,1
0.46,0.0676,0.0438,-0.0744,0.11,1
0.461,0.1199,0.0413,-0.0155,0.128,1
0.461,0.1678,-0.0379,0.0236,0.174,1
0.461,0.134,-0.028,0.053,0.147,1
0.462,0.096,-0.0192,0.0335,0.10300000000000001,1
0.462,0.048,-0.0196,0.0433,0.068,1
0.47,0.0312,0.0173,0.0924,0.099,1
0.492,0.0435,0.0436,0.122,0.13699999999999998,1
0.492,0.0578,0.0214,0.1222,0.13699999999999998,1
0.5,0.0426,0.0273,0.0734,0.08900000000000001,1
0.509,0.0005,-0.0158,0.0932,0.095,1
0.561,-0.0578,-0.0367,0.0347,0.077,1
0.562,-0.0709,-0.1098,0.0644,0.146,1
0.563,-0.1102,-0.0427,0.0549,0.13,1
0.563,-0.0664,0.0026,0.0847,0.10800000000000001,1
0.563,-0.0238,0.0745,0.1636,0.18100000000000002,1
0.569,-0.0413,0.1004,0.1051,0.151,1
0.58,0.0597,-0.0401,0.2722,0.282,1
0.589,0.1002,-0.1365,0.0964,0.195,1
0.605,-0.0002,-0.1018,0.1267,0.163,1
0.609,0.0116,-0.0633,0.3338,0.34,1
0.619,-0.0608,0.0044,0.3157,0.322,1
0.628,-0.0786,0.0802,0.3271,0.34600000000000003,1
0.676,-0.0302,0.0275,0.1816,0.18600000000000003,1
0.678,-0.0058,0.0128,0.0459,0.048,1
0.678,0.0838,-0.0301,-0.031,0.094,1
0.679,0.1185,-0.0654,0.0002,0.135,1
0.679,0.1499,0.0067,0.1196,0.192,1
0.744,0.0987,-0.0101,0.2689,0.287,1
0.745,0.1135,-0.0367,0.271,0.29600000000000004,1
0.747,0.1412,-0.0662,0.2735,0.315,1
0.748,0.2055,-0.0932,0.2073,0.306,1
0.749,0.2319,-0.0975,0.1422,0.289,1
0.75,0.2664,-0.0696,0.1358,0.307,1
0.751,0.2183,0.0154,0.0818,0.23399999999999999,1
0.759,0.1477,0.0945,0.0478,0.182,1
0.77,0.0754,0.0898,-0.0344,0.122,1
0.789,0.0788,0.0145,0.0404,0.09,1
0.79,-0.0508,-0.0786,0.1747,0.198,1
