time,ax,ay,az,aT
0.0080,0.2279,-0.2036,-0.2065,0.369
0.0090,0.0805,0.0884,-0.1379,0.183
0.0270,0.0992,0.1015,-0.1182,0.185
0.0270,0.0735,-0.0952,-0.0692,0.139
0.0360,-0.0654,-0.0073,0.0286,0.072
0.0430,-0.0587,0.0107,0.0874,0.106
0.0590,-0.0512,-0.0098,0.0285,0.059
0.0620,-0.0372,0.0089,-0.0400,0.055
0.0760,-0.0589,0.0260,-0.0793,0.102
0.0820,-0.0535,0.0447,-0.0499,0.086
0.0920,-0.0558,0.0048,0.0088,0.057
0.1110,-0.0616,-0.0149,0.0284,0.069
0.1120,-0.0655,0.0042,0.0284,0.072
0.1230,-0.0436,-0.0056,0.0382,0.058
0.1320,-0.0309,-0.0147,0.0087,0.035
0.1460,-0.0297,-0.0147,0.0185,0.038
0.1560,-0.0275,-0.0140,-0.0108,0.033
0.1620,-0.0265,0.0056,0.0283,0.039
0.1720,-0.0241,-0.0134,0.0381,0.047
0.1820,0.0264,-0.0036,-0.0108,0.029
0.1930,0.0365,-0.0037,-0.0206,0.042
0.2030,0.0687,-0.0040,-0.0206,0.072
0.2120,0.0496,-0.0041,-0.0010,0.050
0.2300,-0.0154,-0.0141,0.0087,0.023
0.2320,-0.0109,-0.0134,-0.0010,0.017
0.2420,-0.0162,-0.0134,0.0479,0.052
0.2540,-0.0301,-0.0128,0.0283,0.043
0.2620,-0.0065,-0.0032,0.0283,0.029
0.2720,0.0064,-0.0127,0.0087,0.017
0.2820,0.0097,-0.0034,-0.0108,0.015
0.2940,0.0129,-0.0039,0.0185,0.023
0.3030,0.0172,0.0249,0.0185,0.035
0.3120,0.0207,0.0513,-0.0500,0.075
0.3290,0.0250,0.0114,-0.0010,0.027
0.3320,0.0283,0.0012,-0.0206,0.035
0.3420,0.0232,0.0011,-0.0108,0.026
0.3530,0.0266,-0.0177,0.0480,0.058
0.3620,0.0119,-0.0081,0.0382,0.041
0.3720,0.0064,-0.0173,0.0382,0.042
0.3820,0.0498,-0.0176,0.0775,0.094
0.3930,0.0513,-0.0269,0.0578,0.082
0.4030,0.0551,-0.0179,0.0284,0.065
0.4120,0.0562,-0.0654,0.0775,0.116
0.4350,0.0501,-0.0673,0.1854,0.204
0.4360,0.0053,-0.0197,-0.0498,0.054
0.4420,0.0511,-0.0230,0.1168,0.130
0.4530,0.1211,-0.0164,-0.0007,0.122
0.4620,0.1177,0.0382,-0.0203,0.125
0.4720,0.1013,0.0610,-0.0006,0.118
0.4820,0.0922,0.0075,0.0876,0.127
0.4920,0.0902,-0.0069,0.1368,0.164
0.5190,0.0444,-0.0124,0.1958,0.201
0.5190,0.0457,-0.0461,0.1763,0.188
0.5280,0.0881,-0.0632,0.2059,0.233
0.5320,0.1347,-0.0684,0.2845,0.322
0.5420,0.1591,-0.1373,0.4123,0.463
0.5580,0.1676,-0.1057,0.3733,0.423
0.5620,0.2057,-0.1016,0.2953,0.374
0.5740,0.2071,-0.0761,0.1976,0.296
0.5820,0.2201,-0.0263,0.2572,0.340
0.5920,0.1881,-0.0071,0.3069,0.360
0.6080,0.1182,0.0097,0.3668,0.385
0.6120,0.1213,0.0055,0.3189,0.341
0.6220,0.2274,0.0195,0.2516,0.340
0.6320,0.1958,-0.0526,0.3018,0.364
0.6460,0.1153,-0.1585,0.2937,0.353
0.6540,0.0913,-0.2550,0.3834,0.469
0.6620,0.0541,-0.2675,0.3661,0.457
0.6720,-0.0293,-0.2417,0.3389,0.417
0.6820,-0.1199,-0.1706,0.1950,0.285
0.6930,-0.2638,-0.1343,0.2578,0.393
0.7020,-0.4738,-0.0568,0.1151,0.491
0.7120,-0.6354,0.0283,0.1120,0.646
0.7290,-0.7888,0.0654,0.2740,0.838
0.7320,-0.7875,0.0428,0.3601,0.867
0.7420,-0.7861,0.0098,0.4437,0.903
0.7520,-0.7677,-0.0790,0.5786,0.965
0.7620,-0.7810,-0.0976,0.6431,1.016
0.7720,-0.7361,-0.0841,0.5437,0.919
0.7820,-0.6919,-0.0785,0.4523,0.830
0.7920,-0.8221,-0.0506,0.5702,1.002
0.8020,-1.1379,0.0077,0.4997,1.243
0.8120,-1.2497,0.1050,0.5224,1.359
0.8420,-1.3787,0.0898,0.5619,1.492
0.8430,-1.2642,0.0804,0.6230,1.412
0.8430,-1.1476,0.0771,0.8556,1.434
0.8520,-1.1544,0.1303,0.8865,1.461
0.8620,-1.2342,0.1586,1.1493,1.694
0.8720,-1.2904,0.0803,1.2994,1.833
0.8820,-1.3016,-0.0673,1.3099,1.848
0.8930,-1.1746,-0.1460,1.3921,1.827
0.9220,-1.1842,-0.1570,1.1214,1.638
0.9240,-1.0980,-0.1948,1.0787,1.551
0.9250,-0.9664,-0.2712,0.9476,1.380
0.9320,-0.7833,-0.3581,0.9139,1.256
0.9420,-0.6542,-0.4799,0.7259,1.089
0.9520,-0.5288,-0.5016,0.3789,0.821
0.9620,-0.4194,-0.4900,0.0656,0.648
0.9720,-0.3827,-0.4300,-0.0239,0.576
0.9820,-0.4641,-0.2798,-0.0803,0.548
0.9930,-0.5358,-0.0773,-0.1443,0.560
1.0260,-0.4426,-0.0714,-0.3662,0.579
1.0270,-0.3565,-0.1489,-0.4204,0.571
1.0270,-0.2115,-0.2158,-0.3964,0.498
1.0320,0.0034,-0.2845,-0.3535,0.454
1.0420,0.1713,-0.4296,-0.4734,0.662
1.0530,0.3022,-0.4936,-0.5669,0.810
1.0620,0.3345,-0.4827,-0.7909,0.985
1.0720,0.3181,-0.5044,-0.9965,1.161
1.0820,0.3544,-0.4726,-1.2278,1.363
1.0930,0.4318,-0.4726,-1.4277,1.565
1.1200,0.5041,-0.4766,-1.6769,1.815
1.1200,0.5559,-0.5191,-1.9017,2.048
1.1220,0.6582,-0.5640,-2.0241,2.202
1.1320,0.7075,-0.6930,-2.1620,2.378
1.1420,0.7710,-0.6774,-2.2378,2.462
1.1520,0.7793,-0.6582,-2.0931,2.328
1.1620,0.7991,-0.6194,-1.9279,2.177
1.1720,0.8222,-0.5643,-1.7293,1.996
1.1820,0.8472,-0.5707,-1.8242,2.091
1.1920,0.8805,-0.5058,-1.7950,2.062
1.2170,0.9303,-0.4664,-1.8578,2.129
1.2180,0.9071,-0.4048,-1.7075,1.975
