time,ax,ay,az,aT,label
0.009,0.0982,-0.1098,-0.2363,0.278,0
0.01,-0.0109,0.0159,-0.0498,0.053,0
0.017,0.1065,0.0327,-0.0007,0.111,0
0.023,0.1016,-0.006,-0.0597,0.11800000000000001,0
0.032,0.035,0.0117,-0.0499,0.062,0
0.046,0.0212,0.0316,0.0381,0.054000000000000006,0
0.052,-0.0216,0.0112,0.1067,0.109,0
0.062,-0.0364,-0.0083,0.0477,0.061,0
0.072,-0.0305,0.0295,0.0084,0.043,0
0.082,-0.0164,0.0686,-0.0406,0.081,0
0.092,0.0067,0.0657,-0.0798,0.10400000000000001,0
0.102,0.0203,0.0569,-0.0603,0.085,0
0.112,-0.0151,0.0368,0.0376,0.055,0
0.131,-0.0306,-0.0214,-0.0114,0.039,0
0.132,-0.0166,0.0179,-0.0311,0.04,0
0.142,-0.0049,-0.002,0.008,0.01,0
0.152,0.0164,-0.0387,0.0275,0.05,0
0.162,0.0278,-0.0671,0.0274,0.078,0
0.172,0.0004,-0.0354,0.0077,0.036000000000000004,0
0.182,0.041,-0.0161,0.0076,0.045,0
0.192,0.0323,0.0227,-0.0315,0.051,0
0.202,0.0246,0.0419,0.0664,0.08199999999999999,0
0.212,0.0174,-0.0154,0.0369,0.044000000000000004,0
0.23,0.0297,-0.0359,-0.0316,0.055999999999999994,0
0.232,0.0137,0.0227,0.0172,0.032,0
0.242,0.0168,-0.0167,0.0074,0.025,0
0.252,-0.0093,-0.0437,0.0171,0.048,0
0.262,-0.0351,-0.0426,0.017,0.057999999999999996,0
0.279,-0.0401,-0.0025,0.0267,0.048,0
0.282,-0.0159,0.0094,0.0854,0.087,0
0.292,0.0067,0.0094,-0.0029,0.012,0
0.302,0.0708,0.0609,0.0361,0.1,0
0.312,0.1197,0.0396,0.0558,0.138,0
0.33,0.0964,0.0017,0.0556,0.111,0
0.332,0.0597,0.0013,-0.0423,0.073,0
0.342,0.0157,0.0304,-0.0718,0.08,0
